Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,AB-I-s-A-00001,Situl arheologic de la Alba Iulia,municipiul ALBA IULIA,Pe întreg teritoriul,
2,AB-I-m-A-00001.01,Castrul Legiunii a XIII-a Gemina,municipiul ALBA IULIA,Zona centrală a Cetăţii Vauban,"sec. II - IV p. Chr, Epoca romană"
3,AB-I-m-A-00001.02,Aşezare civilă,municipiul ALBA IULIA,În preajma castrului roman,"sec. II - IV p. Chr, Epoca romană"
4,AB-I-s-A-00002,Oraşul antic Apulum,municipiul ALBA IULIA,Cartier Partoş,Epoca romană
5,AB-I-s-B-00003,Necropolă de înhumaţie şi de incineraţie,municipiul ALBA IULIA,"""Podei”, la S de cetate, deasupra cimitirului ortodox","sec. II - III p. Chr., Epoca romană"
6,AB-I-s-B-00004,Cimitir,municipiul ALBA IULIA,"""Sf. Mihail"", Cartier Cetate, în zona de V a catedralei romano-catolice","sec. XI - XV, Epoca medievală"
7,AB-I-m-A-00005,"Aşezarea neolitică din Alba Iulia, ""Lumea Nouă""",municipiul ALBA IULIA,"""Lumea Nouă”, la 300 m NE de bazinul olimpic",Neolitic
8,AB-I-s-B-00006,Fortificaţie romană,oraş ABRUD,"""Cetăţeaua”, lângă Liceul „Horea, Cloşca şi Crişan”","sec. II - III p. Chr., Epoca romană"
9,AB-I-s-B-00007,Situl arheologic de la Aiud,municipiul AIUD,Pe întreg teritoriul,
10, AB-I-m-B-00007.01, Aşezare, municipiul AIUD, Pe întreg teritoriul, Latène
11, AB-I-m-B-00007.02, Aşezare, municipiul AIUD," Microraion III, la cca. 100 m S de gara CFR Aiud, pe prima terasă a Mureşului", Hallstatt
12,AB-I-m-B-00007.03,Aşezare,municipiul AIUD,"Microraion III, la cca. 100 m S de gara CFR Aiud, pe prima terasă a Mureşului","Epoca bronzului, Cultura Wietenberg"
13,AB-I-m-B-00007.04,Aşezare,municipiul AIUD,"Microraion III, la cca. 100 m S de gara CFR Aiud, pe prima terasă a Mureşului","Epoca bronzului timpuriu, Cultura Coţofeni"
14,AB-I-m-B-00007.05,Aşezare,municipiul AIUD,"Microraion III, la cca. 100 m S de gara CFR Aiud, pe prima terasă a Mureşului","Eneolitic, Cultura Tiszapolgár"
15,AB-I-s-B-00008,"Situl arheologic de la Aiud, punct ""Tinoasa""",municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”",
16,AB-I-m-B-00008.01,Aşezare,municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”, la 500 m SE de cantonul CFR","sec. IV - VI, Epoca migraţiilor"
17,AB-I-m-B-00008.02,Aşezare,municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”, la 500 m SE de cantonul CFR","sec. II - III p. Chr., Epoca romană"
18,AB-I-m-B-00008.03,Aşezare,municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”, la 500 m SE de cantonul CFR",Latène
19,AB-I-m-B-00008.04,Aşezare,municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”, la 500 m SE de cantonul CFR",Hallstatt
20,AB-I-m-B-00008.05,Aşezare,municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”, la 500 m SE de cantonul CFR",Neolitic
21,AB-I-m-B-00008.06,Aşezare,municipiul AIUD,"""Tinoasa” sau ""Cetăţuie”, la 500 m SE de cantonul CFR",Epoca bronzului
22, AB-I-s-B-00009, Oraşul roman Brucla, municipiul AIUD," Pe întreg teritoriul oraşului, fără Aiudul de Sus"," sec. II - III p. Chr., Epoca romană"
23,AB-I-s-B-00010,Aşezare,sat AMPOIŢA; comuna METEŞ,"""La Pietrii”, la 1 km V-NV de intersectia şoselei Alba Iulia - Zlatna cu drumul comunal spre Ampoiţa",Epoca bronzului
24,AB-I-s-B-00011,Aşezare,sat AMPOIŢA; comuna METEŞ,"""Piatra boului” sau ""Stogurile popii”, La 1 km S-SE de sat",Epoca bronzului
25,AB-I-s-B-00012,Villa rustica,sat BĂCĂINŢI; comuna ŞIBOT,"""Obreje”",Epoca romană
26,AB-I-s-B-00013,Necropolă,localitatea BĂRĂBANŢ; municipiul ALBA IULIA,"""Tabla Grofului”, la 200 m NV de Întreprinderea mecanică, lângă linia CFR spre Zlatna",Epoca romană
27,AB-I-s-B-00014,Situl arheologic de la Berghin,sat BERGHIN; comuna BERGHIN,"“În Peri”, la marginea SE a satului, grajdurile CAP",la
28,AB-I-m-B-00014.01,Necropolă,sat BERGHIN; comuna BERGHIN,"“În Peri”, la marginea SE a satului, grajdurile CAP",la Epoca migraţiilor
29,AB-I-m-B-00014.02,Necropolă,sat BERGHIN; comuna BERGHIN,"''În Peri”, la marginea SE a satului, grajdurile CAP",la Epoca romană
30,AB-I-s-B-00015,Aşezare medievală timpurie,sat BEŢA; comuna LOPADEA NOUĂ,În grădina Parohiei Bisericii Reformate,"sec. XI - XIII, Epoca medievală timpurie"
31,AB-I-s-A-00016,Necropolă,sat BLANDIANA; comuna BLANDIANA,"""În vii”, pe malul drept al Mureşului, la 200 m V de Şcoala generală","sec. X - XI, Epoca medievală timpurie"
32,AB-I-s-B-00017,Necropolă,sat BLANDIANA; comuna BLANDIANA,"""Depozitul MAN”, la 1 km V-NV de ferma IAS",Latène
33,AB-I-s-B-00018,Aşezare,sat BLANDIANA; comuna BLANDIANA,"""Lunca popii”, la 2 km NV de ferma IAS",Epoca daco-romană
34, AB-I-s-B-00019, Aşezare, sat BUCERDEA VINOASĂ; comuna IGHIU," ""Curături”, pe colina „Podei”"," Epoca bronzului, Cultura Wietenberg"
35,AB-I-s-A-00020,Cetatea dacică de la Căpâlna,sat CĂPÂLNA; comuna SĂSCIORI,"""La Cetate”, la 1000 m S-SV de podul peste Sebeş","sec. I a. Chr. - II p. Chr., Latène, Cultura geto - dacică"
36,AB-I-s-B-00021,Aşezare fortificată,sat aparţinător CĂPUD; oraş TEIUŞ,"""La Măgura”, pe malul stâng al Mureşului, pe un deal cu platou, dreptul localităţii Teiuş, cota 511","Epoca bronzului timpuriu, în Cultura Coţofeni m"
37,AB-I-s-B-00022,"Fundaţiile cetăţii medievale ""Cetatea de Baltă”",sat CETATEA DE BALTĂ; comuna CETATEA DE BALTĂ,În lunca Târnavei,"sec. XIII - XVI, Epoca medievală"
38,AB-I-s-B-00023,Situl arheologic de la Cetatea de Baltă,sat CETATEA DE BALTĂ; comuna CETATEA DE BALTĂ,"""Dealul Sântămăriei”, la 1 km V de podul peste Târnava Mică şi la 1,5 km V de staţia CFR",
39,AB-I-m-B-00023.01,Castru,sat CETATEA DE BALTĂ; comuna CETATEA DE BALTĂ,"""Dealul Sântămăriei”, la 1 km V de podul peste Târnava Mică şi la 1,5 km V de staţia CFR",Epoca romană
40, AB-I-m-B-00023.02, Fortificaţie cu val de pământ, sat CETATEA DE BALTĂ; comuna CETATEA DE BALTĂ," ""Dealul Sântămăriei”, la 1 km V de podul peste Târnava Mică şi la 1,5 km V de staţia CFR"," sec. I a. Chr., Latène, Cultura geto - dacică"
41,AB-I-s-B-00024,Situl arheologic de la Cicău,sat CICĂU; comuna MIRĂSLĂU,"""Sălişte”, la marginea de NV a satului, nr. topo A300",
42,AB-I-m-B-00024.01,Aşezare,sat CICĂU; comuna MIRĂSLĂU,"""Sălişte”, la marginea de NV a satului, nr. topo A300",Epoca migraţiilor
43,AB-I-m-B-00024.02,Aşezare,sat CICĂU; comuna MIRĂSLĂU,"""Sălişte”, la marginea de NV a satului, nr. topo A300",Epoca romană
44, AB-I-m-B-00024.03, Aşezare, sat CICĂU; comuna MIRĂSLĂU," ""Sălişte”, la marginea de NV a satului, nr. topo A300"," Latène, Cultura geto - dacică"
45,AB-I-m-B-00024.04,Aşezare,sat CICĂU; comuna MIRĂSLĂU,"""Sălişte”, la marginea de NV a satului, nr. topo A300",Hallstatt
46,AB-I-m-B-00024.05,Aşezare,sat CICĂU; comuna MIRĂSLĂU,"""Sălişte”, la marginea de NV a satului, nr. topo A300",Epoca bronzului
47,AB-I-m-B-00024.06,Aşezare,sat CICĂU; comuna MIRĂSLĂU,"""Sălişte”, la marginea de NV a satului, nr. topo A300",Neolitic
48,AB-I-s-B-00025,Situl arheologic de la Ciugud,sat CIUGUD; comuna CIUGUD,"""Cariera de Bentonită”",Neolitic
49,AB-I-s-B-00026,Situl arheologic de la Ciugud,sat CIUGUD; comuna CIUGUD,"""Gorneţ”",
50,AB-I-m-B-00026.01,Aşezare,sat CIUGUD; comuna CIUGUD,"""Gorneţ”",Epoca medievală timpurie
51,AB-I-m-B-00026.02,Aşezare,sat CIUGUD; comuna CIUGUD,"""Gorneţ”",Epoca romană
52,AB-I-s-B-00027,Aşezare,sat aparţinător CIUMBRUD; municipiul AIUD,"""Cioaca"", în curtea liceului agricol","Neolitic, Cultura Petreşti"
53,AB-I-s-A-00028,Cetatea dacică Apoulon sau Ranistorum,sat CRAIVA; comuna CRICĂU,"""Piatra Craivii”, la 5 km NE de sat","sec. I a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
54,AB-I-s-B-00029,Aşezare,sat CRAIVA; comuna CRICĂU,"""Sfredeluş”, la 1,5 km NV de Piatra Craivii","Epoca bronzului timpuriu, Cultura Coţofeni"
55,AB-I-s-B-00030,Situl arheologic de la Cugir,oraş CUGIR,"""Cetăţuia”",
56, AB-I-m-B-00030.01, Aşezare fortificată cu val de pământ, oraş CUGIR," ""Cetăţuia”, la 1 km V de marginea oraşului, pe dealul Crucea lui Maniu"," sec. III a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
57,AB-I-m-B-00030.02,Necropolă tumulară,oraş CUGIR,"""Cetăţuia”, la 1 km V de marginea oraşului, pe dealul Crucea lui Maniu","sec. III a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
58,AB-I-s-B-00031,Aşezare,sat DAIA ROMÂNĂ; comuna DAIA ROMÂNĂ,"""Parăuţ”, la 1 km V de sat","Neolitic, Cultura Petreşti"
59,AB-I-s-B-00032,Situl arheologic de la Daia Română,sat DAIA ROMÂNĂ; comuna DAIA ROMÂNĂ,"""Troian”, la cca. 1,5 km V de sat",
60,AB-I-m-B-00032.01,Aşezare,sat DAIA ROMÂNĂ; comuna DAIA ROMÂNĂ,"""Troian”, La cca. 1,5 km V de sat",Epoca romană
61,AB-I-m-B-00032.02,Aşezare,sat DAIA ROMÂNĂ; comuna DAIA ROMÂNĂ,"""Troian”, la cca. 1,5 km V de sat",Hallstatt
62,AB-I-m-B-00032.03,Aşezare,sat DAIA ROMÂNĂ; comuna DAIA ROMÂNĂ,"""Troian”, la cca. 1,5 km V de sat","sec. I a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
63,AB-I-m-B-00032.04,Aşezare,sat DAIA ROMÂNĂ; comuna DAIA ROMÂNĂ,"""Troian”, la cca. 1,5 km V de sat","Epoca bronzului, Cultura Wietenberg"
64,AB-I-s-B-00033,Aşezare,sat DECEA; comuna MIRĂSLĂU,"""După garduri”, la marginea de E satului, lângă şoseaua spre Cluj, nr. topo 1999",a Neolitic
65,AB-I-s-B-00034,Aşezarea fortificată Zidava,sat DRÂMBAR; comuna CIUGUD,"""Dealul Gruieţ”, pe malul stâng al Mureşului, la 4 km de Alba Iulia, deasupra „Râpii Roşii” şi a satului Teleac","Latène, Cultura geto - dacică"
66, AB-I-s-B-00035, Aşezare, sat DUMBRAVA; comuna CIUGUD," ""Vărar”, la 1 km V-SV de marginea satului", Neolitic
67,AB-I-s-B-00036,Aşezare,sat FEISA; comuna JIDVEI,"""Râpa Feisii”, la 1 km de marginea de NE a satului","Neolitic, Cultura Petreşti"
68,AB-I-s-B-00037,Aşezare,sat GALAŢI; oraş ZLATNA,"""Bulbuci”, la 800 m NV de sat","Epoca bronzului timpuriu, Cultura Coţofeni"
69,AB-I-s-B-00038,"Situl arheologic de la Berghin, punct ""Gruiul Fierului""",sat GHIRBOM; comuna BERGHIN,"""Gruiul Fierului”, la 1,5 km NE de",sat
70,AB-I-m-B-00038.01,Aşezare,sat GHIRBOM; comuna BERGHIN,"""Gruiul Fierului”, la 1,5 km NE de",sat Epoca migraţiilor
71,AB-I-m-B-00038.02,Necropolă,sat GHIRBOM; comuna BERGHIN,"""Gruiul Fierului”, la 1,5 km NE de",sat Epoca migraţiilor
72,AB-I-s-B-00039,"Situl arheologic de la Berghin, punct ""Gruiul Măciuliilor""",sat GHIRBOM; comuna BERGHIN,"""Gruiul Măciuliilor”, la 2,5 km NE sat",de
73,AB-I-m-B-00039.01,Aşezare,sat GHIRBOM; comuna BERGHIN,"""Gruiul Măciuliilor”, la 2,5 km NE sat",de Epoca migraţiilor
