Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,AR-I-s-B-00423,Aşezare,municipiul ARAD,"""Ceala”",sec. III - V p. Chr.
2,AR-I-s-B-00424,"Situl arheologic de la Arad, punct ""La Carieră""",municipiul ARAD,"""La Carieră”",
3,AR-I-m-B-00424.01,Necropolă,municipiul ARAD,"""La Carieră”","sec. III - II a. Chr., Latène"
4,AR-I-m-B-00424.02,Aşezare,municipiul ARAD,"""La Carieră”",Epoca bronzului
5,AR-I-m-B-00424.03,Aşezare,municipiul ARAD,"""La Carieră”",sec. III - II a. Chr.
6,AR-I-s-B-00425,Aşezarea daco-romană de la Arad,municipiul ARAD,Pe terenul Complexului de sere,sec. III - V p. Chr.
7,AR-I-s-B-00426,"Cetatea medievală de la Beliu, punct ""La Movilă""",comuna BELIU,"""La Movilă”, la 3 km SV de localitate, între şoseaua Beliu - Bocsig şi Valea Beliului",Epoca medievală timpurie
8,AR-I-m-B-00426.01,Cetate de pământ,comuna BELIU,"""La Movilă”, la 3 km SV de localitate, între şoseaua Beliu - Bocsig şi Valea Beliului",Epoca medievală timpurie
9,AR-I-m-B-00426.02,Movilă cu şanţ de apărare,comuna BELIU,"""La Movilă”, la 3 km SV de localitate, între şoseaua Beliu - Bocsig şi Valea Beliului",Epoca medievală timpurie
10,AR-I-s-A-00427,Situl arheologic de la Berindia,sat BERINDIA; comuna BUTENI,"""La Cetate”, dealul Şindrioara, la S de satul Livada",
11,AR-I-m-A-00427.01,Aşezare,sat BERINDIA; comuna BUTENI,"""La Cetate”, dealul Şindrioara, la S de satul Livada",sec. II - IV p. Chr.
12,AR-I-m-A-00427.02,Aşezare fortificată,sat BERINDIA; comuna BUTENI,"""La Cetate”, dealul Şindrioara, la S de satul Livada","sec. III a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
13,AR-I-s-A-00428,Situl arheologic de la Bulci,sat BULCI; comuna BATA,"""La Cetate”, la 500 m N de cimitir şi m V de malul Mureşului",10
14,AR-I-m-A-00428.01,Ruinele abaţiei benedictine,sat BULCI; comuna BATA,"""La Cetate”, la 500 m N de cimitir şi m V de malul Mureşului",10 sec. XIII - XVI
15,AR-I-m-A-00428.02,Cetate,sat BULCI; comuna BATA,"""La Cetate”, la 500 m N de cimitir şi m V de malul Mureşului",10 Epoca medievală timpurie
16,AR-I-m-A-00428.03,Castru,sat BULCI; comuna BATA,"""La Cetate”, la 500 m N de cimitir şi m V de malul Mureşului","10 sec. II - IV p. Chr., Epoca romană"
17,AR-I-s-B-00429,Zidurile Mănăstirii Eperyes,sat CHELMAC; comuna CONOP,La 500 m NE de sat şi la 300 m S de Mureş,sec. XIV - XV
18,AR-I-s-B-00430,Situl arheologic de la Chişineu-Criş,oraş CHIŞINEU-CRIŞ,La 2 km V,
19,AR-I-m-B-00430.01,Aşezare,oraş CHIŞINEU-CRIŞ,La 2 km V,sec. X - XI
20,AR-I-m-B-00430.02,Aşezare,oraş CHIŞINEU-CRIŞ,La 2 km V,sec. III - V p. Chr.
21,AR-I-s-B-00431,Aşezare dacică,sat CICIR; comuna VLADIMIRESCU,"""La Gropi”","sec. II - III p. Chr., Latène, Cultura geto - dacică"
22,AR-I-s-A-00432,Situl arheologic de la Cladova,sat CLADOVA; comuna PĂULIŞ,"""Dealul Carierei”",
23,AR-I-m-A-00432.01,Aşezare,sat CLADOVA; comuna PĂULIŞ,"""Dealul Carierei”",sec. XIV - XVI
24,AR-I-m-A-00432.02,Biserică,sat CLADOVA; comuna PĂULIŞ,"""Dealul Carierei”",sec. XIV - XVI
25,AR-I-m-A-00432.03,Fortificaţie de pământ,sat CLADOVA; comuna PĂULIŞ,"""Dealul Carierei”",sec. XII - XIII
26,AR-I-m-A-00432.04,Aşezare fortificată,sat CLADOVA; comuna PĂULIŞ,"""Dealul Carierei”","sec. II - I a. Chr., Latène, Cultura geto - dacică"
27,AR-I-m-A-00432.05,Aşezare,sat CLADOVA; comuna PĂULIŞ,"""Dealul Carierei”",Paleolitic
28,AR-I-s-B-00433,Situl arheologic de la Conop,sat CONOP; comuna CONOP,"""Dealul Hotărel” şi ""La Cotărci”",
29,AR-I-m-B-00433.01,Aşezare,sat CONOP; comuna CONOP,"""Dealul Hotărel” şi ""La Cotărci”",sec. XI - XII
30,AR-I-m-B-00433.02,Aşezare,sat CONOP; comuna CONOP,"""Dealul Hotărel” şi ""La Cotărci”",Paleolitic
31,AR-I-s-B-00434,Situl arheologic de la Covăsinţ,sat COVĂSINŢ; comuna COVĂSINŢ,La 350 m E de sat,
32,AR-I-m-B-00434.01,Aşezare,sat COVĂSINŢ; comuna COVĂSINŢ,"""Tornea""",Epoca medievală
33,AR-I-m-B-00434.02,Cetatea Hindec,sat COVĂSINŢ; comuna COVĂSINŢ,La 350 m E de sat,Epoca medievală
34,AR-I-s-A-00435,Cetatea şi aşezarea medievală de la Covăsinţ,sat COVĂSINŢ; comuna COVĂSINŢ,"""Tornea”",
35,AR-I-m-A-00435.01,Cetatea medievală Tornea,sat COVĂSINŢ; comuna COVĂSINŢ,"""Tornea”",sec. XIII - XIV
36,AR-I-m-A-00435.02,Așezare,sat COVĂSINŢ; comuna COVĂSINŢ,"""Tornea”",sec. XIII - XIV
37,AR-I-s-B-00436,Aşezare,sat CRUCENI; comuna SAGU,"""Movilă Teşită” (Stockbrunnen)",Hallstatt
38,AR-I-s-A-00437,Situl arheologic de la Felnac,sat FELNAC; comuna FELNAC,"""Complexul porcine”",
39,AR-I-m-A-00437.01,Aşezare,sat FELNAC; comuna FELNAC,"""Complexul porcine”",sec. X - XII
40,AR-I-m-A-00437.02,Aşezare,sat FELNAC; comuna FELNAC,"""Complexul porcine”",sec. III - V p. Chr.
