Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,AG-I-s-B-13352,Tabăra lui Mihai Viteazul,sat BĂDENI; comuna STOENEŞTI,"""Mălăişte”, la 1 km faţă de Valea Bădenilor",DC 25 1595
2,AG-I-m-A-13353,"Brazda lui Novac, fortificaţie cu val de pământ",sat BÂRLA; comuna,"BÂRLA ""Brazda lui Novac”, la N de către Mozăceni","sat, sec. III p. Chr., Epoca romană"
3,AG-I-s-A-13354,Ruinele bisericii Berevoieşti,sat BEREVOIEŞTI; comuna BEREVOIEŞTI,"Str. Valea Satului 744, în incinta bisericii „Intrarea în Biserică”",sec. XVI
4,AG-I-m-A-13493.01,Ruinele caselor boierilor Bucşeneşti,sat BUCŞENEŞTI; comuna CORBENI,"În partea de SE a satului, la de biserică",100 m sec. XV
5,AG-I-s-B-13355,Aşezare,sat BUCŞENEŞTI-LOTAŞI; comuna ŢIŢEŞTI,"""Dealul Solovanului”, în vatra satului, pe terasa mijlocie Târgului","Epoca bronzului, a Râului Cultura Tei"
6,AG-I-s-B-13356,"Necropola de la ""Apa Sărată""",municipiul CÂMPULUNG,Cartier „Apa Sărată”,Epoca bronzului
7,AG-I-s-A-13357,Sectorul nordic al Limesului Transalutan,municipiul CÂMPULUNG,"""Limes Transalutanus”, cartier „Pescăreasa”, de-a lungul", DN
8,AG-I-m-A-13357.01,Castrul de pământ Jidava,municipiul CÂMPULUNG,"""Limes Transalutanus”, cartier „Pescăreasa”, în dreptul Grupului Şcolar Minier, la 6 km S de municipiului, la 300 m de piatră",Epoca romană centrul castrul de
9,AG-I-m-A-13357.02,Castrul de piatră Jidava,municipiul CÂMPULUNG,"""Limes Transalutanus”, cartier „Pescăreasa”, în dreptul Grupului Şcolar Minier, la 6 km S de municipiului, la 300 m de pământ","sf. sec. II - prima jum. a sec. III p. Chr., Epoca centrul romană castrul de"
10,AG-I-m-A-13357.03,Fortificaţie de pământ,municipiul CÂMPULUNG,"""Limes Transalutanus”, cartier „Pescăreasa”, în dreptul Grupului Şcolar Minier, la 6 km S de municipiului","sf. sec. II - prima jum. a sec. III p. Chr., Epoca centrul romană"
11,AG-I-s-B-13358,Necropolă tumulară de incineraţie,sat CEPARI; comuna LACULUI,"POIANA ""Topliţa”, la N de sat, pe terasa mijlocie a Topologului","Hallstatt, Cultura Ferigile - Bârseşti"
12,AG-I-s-B-13360,Cetatea de pământ hallstattiană de la Cetăţeni,sat CETĂŢENI; comuna CETĂŢENI,"""Grigoroaia”, la V de sat",Hallstatt târziu
13,AG-I-s-A-13361,Aşezare,sat CORBŞORI; comuna,"CORBI ""Coasta Frumoasă-Cârstieneşti”, 400 m N de sat şi 500 m E Doamnei","la sec. XV, Epoca de Râul medievală"
14,AG-I-s-A-13362,"Situl arheologic de la Dobreşti, punct ""La Movile”",sat DOBREŞTI; comuna DOBREŞTI,"""La Movile”, pe islazul din Satului, la E de sat, la hotarul Dobreşti şi Fureşti",Dealul dintre
15,AG-I-s-A-13362.01,Tumul,sat DOBREŞTI; comuna DOBREŞTI,"""La Movile”, pe islazul din Satului, la E de sat, la hotarul Dobreşti şi Fureşti","Dealul Epoca bronzului, dintre Cultura Tei"
16,AG-I-s-A-13362.02,Aşezare,sat DOBREŞTI; comuna DOBREŞTI,"""La Movile”, pe islazul din Satului, la E de sat, la hotarul Dobreşti şi Fureşti","Dealul Epoca bronzului, dintre Cultura Tei"
17,AG-I-a-A-13363,Ansamblul curţilor boiereşti de la Domneşti,sat DOMNEŞTI; comuna DOMNEŞTI,"""Silişte”, la N de şoseaua spre Câmpulung",sec. XVI
18,AG-I-m-A-13363.01,Ruine biserică,sat DOMNEŞTI; comuna DOMNEŞTI,"""Silişte”, la N de şoseaua spre Câmpulung, suprapusă de mormântul lui Ioan Iancu",sec. XVI Negulici
19,AG-I-m-A-13363.02,Ruine zid de incintă,sat DOMNEŞTI; comuna DOMNEŞTI,"""Silişte”, la N de şoseaua spre Câmpulung",sec. XVI
20,AG-I-s-B-13364,"Ruinele bisericii de lemn ""Adormirea Maicii Domnului”",sat GORGANU; comuna CĂLINEŞTI,"În fostul sat Gorganu de Jos, marginea de V a localităţii",la sec. XVII-XVIII
21,AG-I-s-B-13365,Ruinele bisericii din Ioneşti,sat IONEŞTI; comuna,"BUZOEŞTI ""Dealul Ioneştilor”, lângă Piteşti-Alexandria, în curtea bisericii noi",şoseaua sec. XVIII
22,AG-I-s-A-13366,Ruinele bisericii din Lereşti,sat LEREŞTI; comuna,LEREŞTI În fostul sat Lereştii de Sus,sec. XV
23,AG-I-a-A-13368,Curtea boierească a marelui logofăt Vlaicu de la Piscani,sat PISCANI; comuna DĂRMĂNEŞTI,"""Dealul Iudei”",sec. XVI
24,AG-I-m-A-13368.01,Ruinele conacului marelui logofăt Vlaicu Piscanul,sat PISCANI; comuna DĂRMĂNEŞTI,"""Dealul Iudei”",sec. XVI
25,AG-I-m-A-13368.02,Incinta conacului marelui logofăt Vlaicu Piscanul,sat PISCANI; comuna DĂRMĂNEŞTI,"""Dealul Iudei”",sec. XVI
26,AG-I-s-A-13369,Aşezarea romană de la Podu Dâmboviţei,sat PODU DÂMBOVIŢEI; comuna DÂMBOVICIOARA,"1,5 km N de sat, pe platoul Cetăţii Oratea","din faţa sec. II - III p. Chr., Epoca romană"
27,AG-I-s-B-13370,Aşezare,sat POPEŞTI; comuna,"POPEŞTI ""Vârful Măgura” (cota 130), 860 m de albia actuală a râului Teleorman, la cca. 400 m 504 (km 113)","la cca. Eneolitic, Cultura Gumelniţa V de DJ"
28,AG-I-s-A-13371,Castrul şi Limesul de la Purcăreni,sat PURCĂRENI; comuna MICEŞTI,"""Limes Transalutanus”, în Leana lui Nica”, pe malul drept Râului Doamnei, la intersecţia","„Poiana sec. II-III p. Chr., al Epoca romană"
29,AG-I-m-A-13371.01,Castru,sat PURCĂRENI; comuna MICEŞTI,"""Limes Transalutanus”, în Leana lui Nica”, pe malul drept Râului Doamnei, la intersecţia şoselei Piteşti-Câmpulung şoseaua spre Purcăreni","„Poiana sec. II-III p. Chr., al Epoca romană cu"
30,AG-I-m-A-13371.02,Sectorul Limesului Transalutan,sat PURCĂRENI; comuna MICEŞTI,"""Limes Transalutanus”, în Leana lui Nica”, pe malul drept Râului Doamnei, la intersecţia şoselei Piteşti-Câmpulung şoseaua spre Purcăreni","„Poiana sec. II-III p. Chr., al Epoca romană cu"
31,AG-I-s-A-13372,Situl arheologic de la Râncăciov,sat RÂNCĂCIOV; comuna CĂLINEŞTI,"""Dealul Olarului”, la cca. 500 de şcoala din Râncăciov",m V
32,AG-I-m-A-13372.01,Aşezare,sat RÂNCĂCIOV; comuna CĂLINEŞTI,"""Dealul Olarului”, la cca. 500 de şcoala din Râncăciov","m V sec. XIV, Epoca medievală"
33,AG-I-m-A-13372.02,Aşezare,sat RÂNCĂCIOV; comuna CĂLINEŞTI,"""Dealul Olarului”, la cca. 500 de şcoala din Râncăciov",m V Hallstatt
34,AG-I-m-A-13372.03,Aşezare,sat RÂNCĂCIOV; comuna CĂLINEŞTI,"""Dealul Olarului”, la cca. 500 de şcoala din Râncăciov",m V Latène
35,AG-I-m-A-13372.04,Aşezare,sat RÂNCĂCIOV; comuna CĂLINEŞTI,"""Dealul Olarului”, la cca. 500 de şcoala din Râncăciov",m V Epoca bronzului
36,AG-I-m-A-13372.05,Aşezare,sat RÂNCĂCIOV; comuna CĂLINEŞTI,"""Dealul Olarului”, la cca. 500 de şcoala din Râncăciov","m V Eneolitic, Cultura Gumelniţa"
