Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,BC-I-m-A-00699.01,Fundaţii,municipiul BACĂU,"Bd. Unirii 2-4, la N de actuala catedrală ""Sf. Nicolae”",sec. XV - XVI
3,BC-I-m-A-00699.02,Cimitir,municipiul BACĂU,"Bd. Unirii 2-4, la N de actuala catedrală ""Sf. Nicolae”",sec. XVI-XIX
4,BC-I-m-B-00700,"Aşezarea de la Arini, punct ""Dealul Popii""",sat ARINI; comuna GĂICEANA,"""Dealul Popii”","Epoca bronzului, Cultura Folteşti"
5,BC-I-s-B-00701,Situl arheologic de la Asău,sat ASĂU; comuna ASĂU,"""Cetăţuia”, pe un promontoriu la de staţia de apă şi 150 m de şoseaua naţională","N Perioada de tranziţie la epoca bronzului, Cultura Horodiştea - Folteşti"
6,BC-I-s-B-00702,Aşezare,sat BĂLĂNEASA; comuna LIVEZI,"La marginea de S a satului, la S de drumul spre satul Poiana","Eneolitic, Cultura Cucuteni"
7,BC-I-s-B-00703,Aşezare,sat BĂLĂNEASA; comuna LIVEZI,"La 2 km SV de sat, pe malul Tazlăului Mare","Epoca bronzului târziu, Cultura Noua"
8,BC-I-s-B-00704,Aşezare,sat BĂRBOASA; comuna ONCEŞTI,"“Podul Morii”, la 600 m S de satul Oncești, pe malul drept al Berheciului","Epoca bronzului, Cultura Monteoru"
9, BC-I-s-B-00705, Situl arheologic de la Bărboasa, sat BĂRBOASA; comuna ONCEŞTI ONCEŞTI," ""Dealul Bărboasei"", la 200 m N de Biserica ,,Nașterea Maicii Domnului'' din satul Bărboasa Biserica ,,Nașterea Maicii", târziu
11,BC-I-m-B-00705.02,Aşezare,sat BĂRBOASA; comuna ONCEŞTI,"""Dealul Bărboasei"", la 200 m N de Biserica ,,Nașterea Maicii Domnului'' din satul Bărboasa","Epoca bronzului târziu, Cultura Noua"
12,BC-I-m-B-00705.03,Aşezare,sat BĂRBOASA; comuna ONCEŞTI,"""Dealul Bărboasei"", la 200 m N de Biserica ,,Nașterea Maicii Domnului'' din satul Bărboasa","Epoca bronzului, Cultura Monteoru"
13,BC-I-s-B-00706,Aşezare,sat BERBINCENI; comuna SECUIENI,"""Sub Silişte”, la cca. 500 m NE de sat","sec. II -III şi IV-V p. Chr., Epoca daco-romană"
14,BC-I-s-B-00707,Aşezare,sat BERBINCENI; comuna SECUIENI,"""Coasta Morii”","Eneolitic, Cultura Cucuteni"
15, BC-I-s-B-00708, Aşezare, sat BEREŞTI-BISTRIŢA; comuna BEREŞTI- BISTRITA," ""Silişte”, la marginea de NE a satului, pe terasa stângă a pârâului Bereşti"," sec. VIII - IX, Epoca medievală timpurie"
16,BC-I-s-B-00709,Aşezare,sat BLAGA; comuna DEALU MORII,"""Spătăreşti”, la marginea de N a satului","Epoca bronzului târziu, Cultura Noua"
17,BC-I-s-B-00710,Aşezare,sat BOGDĂNEŞTI; comuna BOGDĂNEŞTI,"""Tudoscanu”, la E de sat, pe terasa superioară a Oituzului","Epoca bronzului timpuriu, Cultura Folteşti II"
18,BC-I-s-A-00711,"Situl arheologic de la Brad, punct ""Zargidava""",sat BRAD; comuna NEGRI,"La NV de sat, pe terasa stângă a Siretului",
19,BC-I-m-A-00711.01,Biserică,sat BRAD; comuna NEGRI,"La NV de sat, pe terasa stângă a Siretului",sec. XV - XVIII
20,BC-I-m-A-00711.02,Necropolă,sat BRAD; comuna NEGRI,"La NV de sat, pe terasa stângă a Siretului Siretului",sec. XV - XVIII Chr.
22,BC-I-m-A-00711.04,Aşezare fortificată,sat BRAD; comuna NEGRI,"La NV de sat, pe terasa stângă a Siretului",Hallstatt B
23,BC-I-m-A-00711.05,Aşezare fortificată,sat BRAD; comuna NEGRI,"La NV de sat, pe terasa stângă a Siretului","Epoca bronzului, Cultura Monteoru Ic3 - Ic2"
24,BC-I-m-A-00711.06,Aşezare fortificată,sat BRAD; comuna NEGRI,"La NV de sat, pe terasa stângă a Siretului","Eneolitic, Cultura Cucuteni A-B"
25,BC-I-m-B-00713,Aşezare,sat CĂBEŞTI; comuna PODU TURCULUI,"""Râpa Bujorii”, la marginea de N satului","a Epoca bronzului târziu, Cultura Noua"
26,BC-I-s-B-00714,Situl arheologic de la Călineşti,sat CĂLINEŞTI; comuna NEGRI,"""La Biserică”, în marginea de NV satului",a
27,BC-I-m-B-00714.01,Aşezare,sat CĂLINEŞTI; comuna NEGRI,"""La Biserică”, în marginea de NV satului",a sec. VIII - X
28,BC-I-m-B-00714.02,Aşezare,sat CĂLINEŞTI; comuna NEGRI,"""La Biserică”, în marginea de NV satului","a sec. III - IV p. Chr., Epoca daco-romană"
29,BC-I-s-B-00715,Aşezare,sat CÂRLIGI; comuna FILIPEŞTI,"""La Pod, la Bulgari”, la cca. 1,5 km de sat","E sec. II - III p. Chr., Cultura carpică"
30,BC-I-s-B-00716,Aşezare,sat CÂRLIGI; comuna FILIPEŞTI,"""La Rădi” la NE în sat",sec. II - V p.Chr.
31,BC-I-s-B-00717,Aşezare,sat CLEJA; comuna CLEJA,"""Lanul Curţii”, la E între sat şi şoseaua naţională, la km. 18-19",Epoca bronzului
32,BC-I-s-B-00718,"Aşezare Faraoani, punct ""Silişte""",sat DĂNĂILA; comuna RĂCHITOASA FARAOANI,"""Salahor - Putini”, la 1,2 km N de sat`","sec. II a. Chr. - sec. I p. Chr., Latène, Cultura geto - dacică"
34,BC-I-m-B-00719.01,Aşezare,sat FARAOANI; comuna FARAOANI,"""La Silişte”, la 1 km NE de sat",sec. XIV - XV
35,BC-I-m-B-00719.02,Aşezare,sat FARAOANI; comuna FARAOANI,"""La Silişte”, la 1 km NE de sat",sec. VIII - IX
36,BC-I-s-B-00720,"Situl arheologic de la Faraoani, punct ""La S-E de sat""",sat FARAOANI; comuna FARAOANI,La SE de sat,
37,BC-I-m-B-00720.01,Aşezare,sat FARAOANI; comuna FARAOANI,La SE de sat,"sec. III - IV p. Chr., Cultura carpică"
38,BC-I-m-B-00720.02,Necropolă,sat FARAOANI; comuna FARAOANI,La SE de sat,"sec. III - IV p. Chr., Cultura carpică"
39,BC-I-s-B-00721,Ruine biserică,sat FÂNTÂNELE; comuna HEMEIUŞ,"""Livada Curţii”, la 200 m de biserica actuală monument istoric, în partea de NE a satului",sec. XV - XVI
