Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,BH-I-m-B-00944.01,Aşezare,municipiul ORADEA,"""Salca”",sec. XI - XIII
3,BH-I-m-B-00944.02,Necropolă,municipiul ORADEA,"""Salca”",sec. XI - XIII
4,BH-I-m-B-00944.03,Aşezare,municipiul ORADEA,"""Salca”",sec. X - XI
5,BH-I-m-B-00944.04,Necropolă,municipiul ORADEA,"""Salca”",sec. III -IV p. Chr.
6,BH-I-m-B-00944.05,Necropolă,municipiul ORADEA,"""Salca”","sec. II p. Chr., Cultura dacică"
7,BH-I-s-B-00945,Amplasament de cetate,sat ADONI; comuna TARCEA,La marginea satului,sec. XIV - XV
8,BH-I-s-B-00946,"Situl arheologic de la Aleşd, punct ""Pusta Bisericii”",oraş ALEŞD,"""Pusta Bisericii”",
9,BH-I-m-B-00946.01,Aşezare,oraş ALEŞD,"""Pusta Bisericii”",sec. XI - XVI
11,BH-I-s-B-00947,Fortificaţie,sat ALMAŞU MARE; comuna BALC,Extravilan,sec. XIII - XIV
12,BH-I-s-B-00948,Aşezare,sat ATEAŞ; comuna CEFA,"""Movila cu pomi”","Epoca bronzului, Cultura Otomani"
13,BH-I-s-B-00949,Aşezare fortificată,sat BĂLNACA; comuna ŞUNCUIUŞ,"""Dealul Simionului”",Hallstatt
14,BH-I-s-B-00950,"Situl arheologic de la Bicaciu, punct ""Biserica turcilor”",sat BICACIU; comuna GEPIU,"""Biserica turcilor”",
15,BH-I-m-B-00950.01,Aşezare,sat BICACIU; comuna GEPIU,"""Biserica turcilor”",sec. XI - XVI
16,BH-I-m-B-00950.02,Biserică,sat BICACIU; comuna GEPIU,"""Biserica turcilor”",sec. XI - XVI
17,BH-I-m-B-00950.03,Necropolă,sat BICACIU; comuna GEPIU,"""Biserica turcilor”",sec. XI - XVI
18,BH-I-s-A-00951,Cetatea Biharia,sat BIHARIA; comuna BIHARIA,"Str. Cetăţii 59, ""Cetatea de pământ”",sec. IX - X
