Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,BN-I-s-A-01270,"Situl arheologic de la Bistriţa, punct ""Cighir”",municipiul BISTRIŢA,"""Cighir”, pe terasa de pe malul stâng râului Bistriţa, la vest de groapa de",al gunoi
2,BN-I-m-A-01270.01,Aşezare,municipiul BISTRIŢA,"""Cighir”, la ieşirea din oraş, pe terasa înaltă din stînga a râului Bistriţa, la de groapa de gunoi",Epoca medievală vest
3,BN-I-m-A-01270.02,Aşezare,municipiul BISTRIŢA,"""Cighir”, la ieşirea din oraş, pe terasa înaltă de pe malul stâng al râului Bistriţa, la vest de groapa de gunoi",Epoca bronzului târziu
4,BN-I-s-B-01271,Aşezare,municipiul BISTRIŢA,"""Podirei”, terasă între şoseaua de centură şi cimitirul ortodox",Latène
5,BN-I-s-B-01272,"Situl arheologic de la Bistriţa, punct ""Vama Veche""",municipiul BISTRIŢA,"Vama Veche, terasa dintre B-dul Independenţei, Râul Bistriţa, pârâu cimitirul vechi", şi
6,BN-I-m-B-01272.01,Aşezare,municipiul BISTRIŢA,"Vama veche, terasa dintre B-dul Independenţei, râul Bistriţa, pârâu cimitirul vechi",sec. II - III p. Chr. şi
7,BN-I-m-B-01272.02,Aşezare,municipiul BISTRIŢA,"Vama veche, terasa dintre B-dul Independenţei, râul Bistriţa, pârâu cimitirul vechi",Epoca bronzului şi
8,BN-I-s-A-01273,"Situl arheologic de la Bistriţa, punct ""Burg”",municipiul BISTRIŢA,"""Burg”, pe culmea de la nord de oraş",sec. XIII - XV
9,BN-I-s-A-20239,"Situl arheologic ""Oraşul medieval Bistriţa""",municipiul BISTRIŢA,"20 m de la limita trotuarului N Bd. Republicii; bloc 7 a; Piaţa Petru Rareş; limita V a str. Bistricioarei; Piaţa Morii; platforma din faţa Sălii Polivalente; latura N a Parcului Municipal; aleea baza valului;, 20 m de la limita V a Dogarilor; 20 m de la limita V a str. Eminescu, până la intersecţia cu limita a trotuarului Bd. Republicii",sec. XII - XVIII de la str. N
10,BN-I-s-B-01274,"Situl arheologic de la Agrişu de Jos, punct ""Intravilan""",sat AGRIŞU DE JOS; comuna ŞIEU-ODORHEI,"Vatra satului, în jurul casei lui Pop Pompei",
11,BN-I-m-B-01274.01,Aşezare,sat AGRIŞU DE JOS; comuna ŞIEU-ODORHEI,"Vatra satului, în jurul casei lui Pop Pompei",Epoca medievală
12,BN-I-m-B-01274.02,Aşezare,sat AGRIŞU DE JOS; comuna ŞIEU-ODORHEI,"Vatra satului, în jurul casei lui Pop Pompei",Hallstatt
13,BN-I-m-B-01274.03,Aşezare,sat AGRIŞU DE JOS; comuna ŞIEU-ODORHEI,"Vatra satului, în jurul casei lui Pop Pompei",Epoca bronzului târziu
14,BN-I-s-B-01275,Aşezare,sat AGRIŞU DE JOS; comuna ŞIEU-ODORHEI,"""Poderei”",Epoca bronzului
15,BN-I-s-B-01276,Aşezare,sat ALBEŞTII BISTRIŢEI; comuna GALAŢII BISTRIŢEI,"""Poderei” la 1,5 km E de sat, în stânga drumului Albeştii Bistriţei-Jeica","Epoca bronzului târziu, Hallstatt"
16,BN-I-s-B-01277,Aşezare,sat ALBEŞTII BISTRIŢEI; comuna GALAŢII BISTRIŢEI,Terenul din preajma bisericii evanghelice,Hallstatt
17,BN-I-s-A-01278,Fortificaţie cu zid de incintă din piatră,sat ANIEŞ; comuna MAIERU,"""Cetate”",sec. XIV - XV
18,BN-I-s-B-01279,"Situl arheologic de la Apatiu, punct ""Crucile drumului”",sat APATIU; comuna CHIOCHIŞ,"""Crucile drumului”, pe terasa din stânga drumului judeţean 172 A la intersecţia drumul comunal", cu
19,BN-I-m-B-01279.01,Aşezare,sat APATIU; comuna CHIOCHIŞ,"""Crucile drumului”, pe terasa din stânga drumului judeţean 172 A la intersecţia drumul comunal",sec. II - III p. Chr. cu
20,BN-I-m-B-01279.02,Aşezare,sat APATIU; comuna CHIOCHIŞ,"""Crucile drumului”, pe terasa din stânga drumului judeţean 172 A la intersecţia drumul comunal",Hallstatt cu
21,BN-I-m-B-01279.03,Aşezare,sat APATIU; comuna CHIOCHIŞ,"""Crucile drumului”, pe terasa din stânga drumului judeţean 172 A la intersecţia drumul comunal",Epoca bronzului cu
