Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,BT-I-s-B-01752,Situl arheologic de la Bajura,sat BAJURA; oraş DARABANI,"""La Izunie” La 1 km Vest de sat- Pd220",
3,BT-I-m-B-01752.01,Aşezare,sat BAJURA; oraş DARABANI,"""La Izunie” La 1 km Vest de sat- Pd220","sec. V - IV a. Chr., Latène timpuriu"
4,BT-I-m-B-01752.02,Aşezare,sat BAJURA; oraş DARABANI,"""La Izunie” La 1 km Vest de sat- Pd220","Eneolitic, Cultura Cucuteni"
5,BT-I-s-B-01753,Aşezare,sat BARANCA; comuna HUDEŞTI,"""La Cetăţuie” La cca 0,6 km SV de sat-Pd986","sec. VIII - XI, Epoca medieval timpurie"
6,BT-I-s-B-01754,Situl arheologic de la Bodeasa,sat BODEASA; comuna SĂVENI,"""Fundul Bodesei” La 0,5 km SV de sat-A439",
7,BT-I-m-B-01754.01,Aşezare,sat BODEASA; comuna SĂVENI,"""Fundul Bodesei” La 0,5 km SV de sat-A439","sec. XVII - XVIII, Epoca medievală"
8, BT-I-m-B-01754.02, Aşezare, sat BODEASA; comuna SĂVENI," ""Fundul Bodesei” La 0,5 km SV de sat-A439"," sec. IV - V, Epoca migraţiilor"
9,BT-I-m-B-01754.03 BT-I-m-B-01754.04,Aşezare Aşezare,sat BODEASA; comuna SĂVENI sat BODEASA; comuna,"""Fundul Bodesei” La 0,5 km SV de sat-A439 ""Fundul Bodesei” La 0,5 km SV de","Epoca bronzului târziu, Cultura Noua Eneolitic, Cultura Cucuteni"
11,BT-I-s-B-01755,"Situl arheologic de la Buimăceni, punct ""La Şendreanul""",sat BUIMĂCENI; comuna ALBEŞTI,"""La Şendreanul”, în marginea de S satului-A757,804,808",a
12,BT-I-m-B-01755.01,Aşezare,sat BUIMĂCENI; comuna ALBEŞTI,"""La Şendreanul” în marginea de S a satului-A757,804,808","sec. XIV - XV, XVII - XVIII, Epoca medievală"
13, BT-I-m-B-01755.02, Aşezare, sat BUIMĂCENI; comuna ALBEŞTI," ""La Şendreanul” în marginea de S a satului-A757,804,808"," sec. IV - V, Epoca migraţiilor"
14,BT-I-m-B-01755.03,Aşezare,sat BUIMĂCENI; comuna ALBEŞTI,"""La Şendreanul” în marginea de S a satului-A757,804,808","Epoca bronzului târziu, Cultura Noua"
15,BT-I-m-B-01755.04,Aşezare,sat BUIMĂCENI; comuna ALBEŞTI,"""La Şendreanul” în marginea de S a satului-A757,804,808","Eneolitic, Cultura Cucuteni"
16,BT-I-s-B-01756,Situl arheologic de la Călăraşi,sat CĂLĂRAŞI; comuna CĂLĂRAŞI,"""Dealul Pogoroaia” La marginea de NV a satului- A39,79,P201,221,Pd216,217",
17,BT-I-m-B-01756.01,Aşezare,sat CĂLĂRAŞI; comuna CĂLĂRAŞI,"""Dealul Pogoroaia” La marginea de NV a satului- A39,79,P201,221,Pd216,217","sec. XIV - XV, XVII - XVIII, Epoca medievală"
18,BT-I-m-B-01756.02,Aşezare,sat CĂLĂRAŞI; comuna CĂLĂRAŞI,"""Dealul Pogoroaia” La marginea de NV a satului- A39,79,P201,221,Pd216,217",sec. II - III p. Chr.
19,BT-I-m-B-01756.03 BT-I-m-B-01756.04,Aşezare Aşezare,sat CĂLĂRAŞI; comuna CĂLĂRAŞI sat CĂLĂRAŞI;,"""Dealul Pogoroaia” La marginea de NV a satului- A39,79,P201,221,Pd216,217, la marginea de NV a satului ""Dealul Pogoroaia” La marginea de","Hallstatt Epoca bronzului târziu,"
21,BT-I-m-B-01756.05,Aşezare,sat CĂLĂRAŞI; comuna CĂLĂRAŞI,"""Dealul Pogoroaia” La marginea de NV a satului- A39,79,P201,221,Pd216,217, la marginea de NV a satului","Eneolitic, Cultura Cucuteni"
