Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,BV-I-s-B-11257,"Situl arheologic de la Braşov, punct Cartier Noua",municipiul BRAŞOV Cartier,"Noua, intravilan",
3,BV-I-m-B-11257.01,Aşezare,municipiul BRAŞOV Cartier,"Noua, intravilan",Hallstatt timpuriu
4,BV-I-m-B-11257.02,Aşezare,municipiul BRAŞOV Cartier,"Noua, intravilan","Epoca bronzului târziu, Cultura Noua"
5,BV-I-s-B-11258,"Situl arheologic de la Braşov, punct ""Dealul Sprenghi""","municipiul BRAŞOV ""Dealul ""Biserica","Sprenghi”, ""Stadionul Municipal”, Sf. Bartolomeu”",
6,BV-I-m-B-11258.01,Fortificație medievală,"municipiul BRAŞOV ""Dealul ""Biserica piatră,","Sprenghi”, ""Stadionul Municipal”, Sf. Bartolomeu”, cariera de intravilan","sec. XIII - XIV, Epoca medievală"
7,BV-I-m-B-11258.02 BV-I-m-B-11258.03,Aşezare romană Aşezare dacică,"municipiul BRAŞOV ""Dealul ""Biserica piatră, municipiul BRAŞOV ""Dealul","Sprenghi”, ""Stadionul Municipal”, Sf. Bartolomeu”, cariera de intravilan Sprenghi”, ""Stadionul Municipal”,","sec. II - III p. Chr., Epoca romană Latène"
9,BV-I-m-B-11258.04,Aşezare,"municipiul BRAŞOV ""Dealul ""Biserica piatră,","Sprenghi”, ""Stadionul Municipal”, Sf. Bartolomeu”, cariera de intravilan",Epoca bronzului
10,BV-I-s-B-11259,"Situl arheologic de la Braşov, punct ""Dealul Tâmpa""","municipiul BRAŞOV ""Dealul",Tâmpa”,
11,BV-I-m-B-11259.01,Ruinele Cetăţii Brassovia,"municipiul BRAŞOV ""Dealul",Tâmpa”,"sec. XIII, Epoca medievală timpurie"
12,BV-I-m-B-11259.02,Aşezare,"municipiul BRAŞOV ""Dealul",Tâmpa”,Latène
13,BV-I-m-B-11259.03,Aşezare fortificată,"municipiul BRAŞOV ""Dealul",Tâmpa”,Hallstatt
14,BV-I-s-B-11261,Situl arheologic de la Bod,"sat BOD; comuna ""Dealul BOD","Popilor” (""Gorganul de la pod”)",
15,BV-I-m-B-11261.01,Aşezare,"sat BOD; comuna ""Dealul BOD cca. Oltului,","Popilor” (""Gorganul de la pod”), 1 km E de sat, pe malul stâng al pe o movilă aluvionară",la Epoca medievală timpurie
16,BV-I-m-B-11261.02,Aşezare,"sat BOD; comuna ""Dealul BOD cca. Oltului,","Popilor” (""Gorganul de la pod”), 1 km E de sat, pe malul stâng al pe o movilă aluvionară",la Epoca romană
17,BV-I-m-B-11261.03 BV-I-m-B-11261.04,Aşezare Aşezare,"sat BOD; comuna ""Dealul BOD cca. Oltului, sat BOD; comuna ""Dealul","Popilor” (""Gorganul de la pod”), 1 km E de sat, pe malul stâng al pe o movilă aluvionară Popilor” (""Gorganul de la pod”),",la Hallstatt la Latène
19,BV-I-m-B-11261.05,Aşezare,"sat BOD; comuna ""Dealul BOD cca. Oltului,","Popilor” (""Gorganul de la pod”), 1 km E de sat, pe malul stâng al pe o movilă aluvionară",la Epoca bronzului
20,BV-I-m-B-11261.06,Aşezare,"sat BOD; comuna ""Dealul BOD cca. Oltului,","Popilor” (""Gorganul de la pod”), 1 km E de sat, pe malul stâng al pe o movilă aluvionară",la Neolitic
21,BV-I-s-A-11262,"Situl arheologic de la Breaza, punct ""La Cetate""","sat BREAZA; comuna ""Cetate” LISA","(""La Turn”)",
22,BV-I-m-A-11262.01,Cetatea Negru Vodă,"sat BREAZA; comuna ""Cetate” LISA Breaza, Pojorâţii","(""La Turn”), la 5 km S de satul pe un platou de la confluenţa Văii cu Valea Brescioarei",Epoca medievală timpurie
23,BV-I-m-A-11262.02,Fortificaţie dacică,"sat BREAZA; comuna ""Cetate” LISA Breaza, Pojorâţii","(""La Turn”), la 5 km S de satul pe un platou de la confluenţa Văii cu Valea Brescioarei","sec. I a. Chr. - I p. Chr., Latène"
24,BV-I-s-B-11263,Situl arheologic de la Calbor,"sat CALBOR; comuna ""Piscul BECLEAN",Cremenişului”,
25,BV-I-m-B-11263.01,Aşezare,"sat CALBOR; comuna ""Piscul BECLEAN",Cremenişului”,Latène
26,BV-I-m-B-11263.02,Aşezare,"sat CALBOR; comuna ""Piscul BECLEAN",Cremenişului”,Neolitic
27,BV-I-s-B-11264 BV-I-s-B-11265,Necropolă tumulară romană Situl arheologic de la,"sat CALBOR; comuna ""Făgetul BECLEAN sat sat CAŢA; comuna ""La","Calborului”, la cca. 3 km NV de Fermă”","sec. II p. Chr., Epoca romană"
29,BV-I-m-B-11265.01,Aşezare romană,"sat CAŢA; comuna ""La CAŢA stânga","Fermă”, extravilan, pe o terasă în pârâului Homorodul Mare","sec. II - III p. Chr., Epoca romană"
30,BV-I-m-B-11265.02,Aşezare hallstattiană,"sat CAŢA; comuna ""La CAŢA stânga","Fermă”, extravilan, pe o terasă în pârâului Homorodul Mare","sec. XI - IX a. Chr., Hallstatt"
31,BV-I-s-A-11266,"Situl arheologic de la Cincşor, punct ""Grădişte""","sat CINCŞOR; ""Grădişte”, comuna VOILA drept","la 6 km E de sat, pe malul al Oltului",
32,BV-I-m-A-11266.01,Castrul roman de la Cincşor,"sat CINCŞOR; ""Grădişte”, comuna VOILA drept","la 6 km E de sat, pe malul al Oltului","sec. II - III p. Chr., Epoca romană"
33,BV-I-m-A-11266.02,Aşezare romană,"sat CINCŞOR; ""Grădişte”, comuna VOILA drept","la 6 km E de sat, pe malul al Oltului","sec. II - III p. Chr., Epoca romană"
34,BV-I-m-A-11266.03,Aşezare dacică,"sat CINCŞOR; ""Grădişte”, comuna VOILA drept","la 6 km E de sat, pe malul al Oltului",Latène
35,BV-I-m-A-11266.04,Aşezare hallstattiană,"sat CINCŞOR; ""Grădişte”, comuna VOILA drept","la 6 km E de sat, pe malul al Oltului",Hallstatt
36,BV-I-s-A-11267,Situl arheologic de la Codlea,"oraş CODLEA ""Măgura",Codlei”,
37,BV-I-m-A-11267.01,Fortificaţia medievală,"oraş CODLEA ""Măgura de","Codlei”, pe primul mamelon, la măgură, spre satul Holbav","V sec. X - XIII, Epoca medievală"
38,BV-I-m-A-11267.02,Aşezare dacică fortificată,"oraş CODLEA ""Măgura de","Codlei”, pe primul mamelon, la măgură, spre satul Holbav","V sec. I a. Chr. - I p. Chr., Latène"
39,BV-I-s-B-11268 BV-I-m-B-11268.01,Situl arheologic de la Comăna de Jos Aşezare,"sat COMĂNA DE JOS; ""Gruiul comuna COMĂNA în sat COMĂNA DE JOS; ""Gruiul","Văcarului”, pe o movilă aluvionară, lunca inundabilă a Oltului Văcarului”, pe o movilă aluvionară,"," sec. VIII - IX, Epoca"
41,BV-I-m-B-11268.02,Fortificaţie,"sat COMĂNA DE JOS; ""Gruiul comuna COMĂNA în","Văcarului”, pe o movilă aluvionară, lunca inundabilă a Oltului","sec. XI - XIII, Epoca medievală timpurie"
42,BV-I-m-B-11268.03,Aşezare,"sat COMĂNA DE JOS; ""Gruiul comuna COMĂNA în","Văcarului”, pe o movilă aluvionară, lunca inundabilă a Oltului",Hallstatt A - B
43,BV-I-m-B-11268.04,Aşezare,"sat COMĂNA DE JOS; ""Gruiul comuna COMĂNA în","Văcarului”, pe o movilă aluvionară, lunca inundabilă a Oltului","sec. II a. Chr. - I p. Chr., Latène"
