Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,BR-I-s-B-02049,Situl arheologic de la Brăiliţa,municipiul BRĂILA Zona vechea Vadul str. Cocoş,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S", la N;
2,BR-I-m-B-02049.01,Aşezare,municipiul BRĂILA Zona vechea Vadul str. Cocoş,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S","sec. IX - X, Epoca medievală timpurie, la N; Cultura Dridu"
3,BR-I-m-B-02049.02,Aşezare,municipiul BRĂILA Zona vechea Vadul str. Cocoş,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S","sec. IV - III a. Chr., Latène la N;"
4, BR-I-m-B-02049.03, Necropolă, municipiul BRĂILA Zona vechea Vadul str. Cocoş," cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S"," sec. IV - III a. Chr., Latène la N;"
5,BR-I-m-B-02049.04,Aşezare,municipiul BRĂILA Zona vechea Vadul,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab –","Epoca bronzului târziu, Cultura Coslogeni la N;"
6,BR-I-m-B-02049.05,Necropolă,municipiul BRĂILA Zona vechea Vadul str. Cocoş,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S","Perioada de tranziţie de la eneolitic la bronz; la N; bronz timpuriu şi mijlociu, Cultura Cernavodă I, II, III"
7,BR-I-m-B-02049.06,Aşezare,municipiul BRĂILA Zona vechea Vadul str. Cocoş,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S","Eneolitic, Cultura Gumelniţa - faza A2 la N;"
8,BR-I-m-B-02049.07,Aşezare,municipiul BRĂILA Zona vechea Vadul str. Cocoş,"cuprinsă între terasa Dunării – la E; terasă a Siretului, Vadul Turcului, Baldovineşti, str. Matei Basarab – Gh. Munteanu -Murgoci, str. Andrei – la V; str. Mircea Mălăeru – la S","Neolitic, Cultura Boian - faza Giuleşti la N;"
9,BR-I-s-B-02050,Zona fostei Cetăţi a Brăilei,"municipiul BRĂILA Zona Al.I.Cuza, Cazărmii,","cuprinsă între bd. Panait Istrati, bd. str. Sergent Tătaru, str. Vadul str. Vadul Schelei, Faleza Dunării",
10,BR-I-m-B-02050.01,Cetate,"municipiul BRĂILA Zona Al.I.Cuza, Cazărmii,","cuprinsă între Bd. Panait Istrati, Bd. str. Sergent Tătaru, str. Vadul str. Vadul Schelei, Faleza Dunării",sec. XI - XVI
