Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,B-I-s-B-17859,Chitila - Străuleşti Lac - Aşezare,municipiul BUCUREŞTI,"Cartierul Chitila, pe malul sudic al Lacului Străuleşti, la cca. 300 m E de str. Aeroportului; carou cadastral 1' - 0; SR(*)",sec. VI - VII p. Chr.
3, B-I-s-B-17860, Chitila - Livada - Aşezare, municipiul BUCUREŞTI," Cartierul Chitila, pe malul sudic al Lacului Străuleşti; carou cadastral 3' - 2' şi 1' - SR(*)", sec. VI - VII p. Chr. 0;
4,B-I-s-B-17861,Străuleşti Pod,municipiul BUCUREŞTI,"Cartierul Străuleşti, între malul nordic Lacului Griviţa şi Şos. Gh. Ionescu-Siseşti, la cca. 150 m E de intersecţia Bd. Bucureştii Noi cu Şos. Bucureşti-Târgovişte şi Şos. Gh. Ionescu-Siseşti; carou cadastral 3' - 2'; PO şi NM(*)",al
5,B-I-m-B-17861.01 B-I-m-B-17861.02,Aşezare Aşezare,municipiul BUCUREŞTI municipiul BUCUREŞTI,"Cartierul Străuleşti, între malul nordic Lacului Griviţa şi Şos. Gh. Ionescu-Siseşti, la cca. 150 m E de intersecţia Bd. Bucureştii Noi cu Şos. Bucureşti-Târgovişte şi Şos. Gh. Ionescu-Siseşti; carou cadastral 3' - 2'; PO şi NM(*) Cartierul Străuleşti, între malul nordic",al sec. VI - VII p. Chr. al sec. II - IV p. Chr.
7, B-I-s-A-17862, Străuleşti - Măicăneşti, municipiul BUCUREŞTI, Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*), Şos. - 2';
8,B-I-m-A-17862.01,Necropolă,municipiul BUCUREŞTI,Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*),Şos. sec. XV - XVI - 2';
9,B-I-m-A-17862.02,Necropolă,municipiul BUCUREŞTI,Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*),Şos. sec. XIV - XV - 2';
10,B-I-m-A-17862.03,Aşezare,municipiul BUCUREŞTI,Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*),Şos. sec. XV - XVI - 2';
11, B-I-m-A-17862.04, Aşezare, municipiul BUCUREŞTI, Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*), Şos. sec. X - 2';
12,B-I-m-A-17862.05,Aşezare,municipiul BUCUREŞTI,Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*),Şos. sec. VI - VII p. Chr. - 2';
13,B-I-m-A-17862.06 B-I-m-A-17862.07,Aşezare Aşezare,municipiul BUCUREŞTI municipiul BUCUREŞTI,Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*) Între malul nordic al Lacului Griviţa şi,"Şos. sec. II - IV p. Chr. - 2'; Şos. Epoca bronzului, Cultura"
15,B-I-m-A-17862.08,Aşezare,municipiul BUCUREŞTI,Între malul nordic al Lacului Griviţa şi Gh. Ionescu-Siseşti; carou cadastral 3' NM(*),"Şos. Epoca bronzului, Cultura - 2'; Glina III"
16,B-I-s-B-17863,Băneasa - Vatra Nouă - Aşezare,municipiul BUCUREŞTI,"Cartierul Băneasa, la N şi S de Şos. Gh. Ionescu-Siseşti; carou cadastral 3' - 2'; LK(*)",sec. IX - XI
17,B-I-s-B-17864,Băneasa - La Stejar,municipiul BUCUREŞTI,"Cartierul Băneasa, pe malul nordic al Lacului Griviţa; carou cadastral 3' - 2' 0; LK(*)", şi 1' -
18,B-I-m-B-17864.01,Aşezare,municipiul BUCUREŞTI,"Cartierul Băneasa, pe malul nordic al Lacului Griviţa; carou cadastral 3' - 2' 0; LK(*)",sec. VI - VII p. Chr. şi 1' -
19, B-I-m-B-17864.02, Aşezare, municipiul BUCUREŞTI," Cartierul Băneasa, pe malul nordic al Lacului Griviţa; carou cadastral 3' - 2' 0; LK(*)", Hallstatt şi 1' -
20,B-I-m-B-17864.03,Aşezare,municipiul BUCUREŞTI,"Cartierul Băneasa, pe malul nordic al Lacului Griviţa; carou cadastral 3' - 2' 0; LK(*)","Epoca bronzului, Cultura şi 1' - Tei"
