Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,BZ-I-s-B-02189,Situl arheologic din parcul Crâng,municipiul BUZĂU,"""Parcul Crâng”",
2,BZ-I-m-B-02189.01,Aşezare,municipiul BUZĂU,"""Parcul Crâng”, 0,4 km SV de castelul de apă","sec. VI - VII, Epoca medievală timpurie, Cultura Ipoteşti - Cândeşti"
3,BZ-I-m-B-02189.02,Necropolă,municipiul BUZĂU,"""Parcul Crâng”, între sere şi Obelisc","mil. III - II, Epoca bronzului mijlociu, Cultura Monteoru"
4,BZ-I-m-B-02189.03,Aşezare,municipiul BUZĂU,"""Parcul Crâng”, zona sere Obelisc,spre poarta mare a Crângului","mil. IV, Eneolitic, Cultura Gumelniţa"
5,BZ-I-s-B-02190,Situl arheologic de la Buzău,municipiul BUZĂU,"Buzău E, la 2 km de staţia Buzău Sud",
6,BZ-I-m-B-02190.01,Aşezare,municipiul BUZĂU,"Buzău E, la 2 km de staţia Buzău Sud","sec. XVII - XVIII, Cultura Sântana de Mureş - Cerneahov"
7,BZ-I-m-B-02190.02,Necropolă,municipiul BUZĂU,"Buzău E, la 2 km de staţia Buzău Sud",sec. XVII - XVIII
8,BZ-I-m-B-02190.03,Aşezare,municipiul BUZĂU,"La cca 1 km SE de Cimitirul evreiesc, spre Pădurea Frasinu; cca 2 km S de staţia Buzău Sud","sec. IV - V p. Chr., Epoca migraţiilor târzie"
9,BZ-I-s-B-02191,"Situl arheologic de la Buzău, punct ""Dispensar""",municipiul BUZĂU,"Str. Bucegi, în zona Dispensarului nr. 3, până în incinta Centrului Militar şi a Liceului de Arte",
10,BZ-I-m-B-02191.01,Aşezare,municipiul BUZĂU,"Str. Bucegi, în zona Dispensarului nr. 3, până în incinta Centrului Militar şi a Liceului de Arte",sec. XVI - XVIII
11,BZ-I-m-B-02191.02,Necropolă,municipiul BUZĂU,"Str. Bucegi, în zona Dispensarului nr. 3, până în incinta Centrului Militar şi a Liceului de Arte",sec. XVI - XVIII
12,BZ-I-m-B-02191.03,Aşezare,municipiul BUZĂU,"Str. Bucegi, în zona Dispensarului nr. 3, până în incinta Centrului Militar şi a Liceului de Arte","sec. IV p. Chr., Epoca migraţiilor"
