Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,CS-I-a-A-10770,"Ansamblul medieval de la Reşiţa, cartier Moroasa, punct ""Ogăşele""",municipiul REŞIŢA,"Str. Petru Maior, ""Ogăşele”, Cartier Moroasa",sec. XIV - XV
2,CS-I-m-A-10770.01,Biserică tip sală,municipiul REŞIŢA,"Str. Petru Maior, ""Ogăşele”, Cartier Moroasa",sec. XIV - XV
3,CS-I-m-A-10770.02,Necropolă medievală,municipiul REŞIŢA,"Str. Petru Maior, ""Ogăşele”, Cartier Moroasa",sec. XIV - XV
4,CS-I-s-B-10771,"Situl roman de la Băile Herculane, punct ""Zona Cazino, Parc Central""",oraş BĂILE HERCULANE,"""Zona Cazino, Parc Central”, între Vila săracilor/Locuinţe grănicereşti (str. Castanilor 33) şi zona ""7 Izvoare"", în amonte de Hotelul Roman",
5,CS-I-m-B-10771.01,Amfiteatru,oraş BĂILE HERCULANE,"""Zona Cazino, Parc Central”, zona cuprinsă între hotel Cerna, parcul Central și hotel Roman","sec. II - III p. Chr., Epoca romană"
6, CS-I-m-B-10771.02, Sanctuar, oraş BĂILE HERCULANE," ""Zona Cazino, Parc Central”, zona cuprinsă între hotel Cerna, parcul Central şi hotel Roman"," sec. II - III p. Chr., Epoca romană"
7,CS-I-m-B-10771.03,Necropolă,oraş BĂILE HERCULANE,"""Zona Cazino, Parc Central”, zona cuprinsă între hotel Cerna, parcul Central şi hotel Roman","sec. II - III p. Chr., Epoca romană"
8,CS-I-s-B-10772,"Situl arheologic de la Băile Herculane, punct ""Peştera Hoţilor""",oraş BĂILE HERCULANE,"""Peştera Hoţilor”",
9,CS-I-m-B-10772.01,Aşezare,oraş BĂILE HERCULANE,"""Peştera Hoţilor”, pe versantul drept al Cernei, în spatele hotelului Roman, la 500 m N de localitate",Epoca medievală
10,CS-I-m-B-10772.02,Aşezare,oraş BĂILE HERCULANE,"""Peştera Hoţilor”, pe versantul drept al Cernei, în spatele hotelului Roman, la 500 m N de localitate",Epoca daco-romană
11,CS-I-m-B-10772.03,Aşezare,oraş BĂILE HERCULANE,"""Peştera Hoţilor”, pe versantul drept al Cernei, în spatele hotelului Roman, la 500 m N de localitate",Hallstatt
12,CS-I-m-B-10772.04,Aşezare,oraş BĂILE HERCULANE,"""Peştera Hoţilor”, pe versantul drept al Cernei, în spatele hotelului Roman, la 500 m N de localitate",Epoca bronzului
13,CS-I-m-B-10772.05,Aşezare,oraş BĂILE HERCULANE,"""Peştera Hoţilor”, pe versantul drept al Cernei, în spatele hotelului Roman, la 500 m N de localitate",Neolitic
14,CS-I-m-B-10772.06,Aşezare,oraş BĂILE HERCULANE,"""Peştera Hoţilor”, pe versantul drept al Cernei, în spatele hotelului Roman, la 500 m N de localitate",Epipaleolitic
15,CS-I-s-B-10773,"Situl arheologic de la Băile Herculane, punct ""Peştera Tatarczy”",oraş BĂILE HERCULANE,"""Peştera Tatarczy”, la 4 km NE de Cartier Pecinişca, în rezervaţia Domogled",Eneolitic mijlociu
16,CS-I-s-B-10774,Aşezare,oraş BĂILE HERCULANE,"""Sălişte”, Cartier Pecinişca",Epoca medievală timpurie
17,CS-I-s-B-10775,Aşezare,oraş BĂILE HERCULANE,"""Gura Ungurului” (peșteră), Cartier Pecinişca",Hallstatt
18,CS-I-s-B-10776,"Situl arheologic de la Bănia, punct ""Cracul Otara”",sat BĂNIA; comuna BĂNIA,"""Cracul Otara”",
19,CS-I-m-B-10776.01,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cracul Otara”, la cca. 2 km SE de localitate","sec. XI - XII, Epoca migraţiilor"
20,CS-I-m-B-10776.02,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cracul Otara”, la cca. 2 km SE de localitate","sec. II - III p. Chr., Epoca romană"
21,CS-I-m-B-10776.03,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cracul Otara”, la cca. 2 km SE de localitate",Eneolitic
22,CS-I-s-B-10777,"Situl arheologic de la Bănia, punct ""Cioaca cu bani”",sat BĂNIA; comuna BĂNIA,"""Cioaca cu bani”",
23,CS-I-m-B-10777.01,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cioaca cu bani”, la 1 km SE de localitate",Epoca migraţiilor
24,CS-I-m-B-10777.02,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cioaca cu bani”, la 1 km SE de localitate",Epoca romană
25,CS-I-m-B-10777.03,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cioaca cu bani”, la 1 km SE de localitate",Epoca bronzului
26,CS-I-m-B-10777.04,Aşezare,sat BĂNIA; comuna BĂNIA,"""Cioaca cu bani”, la 1 km SE de localitate",Neolitic
27, CS-I-s-B-10778," Situl arheologic de la Bănia, punct ""Arie”", sat BĂNIA; comuna BĂNIA," ""Arie”",
28,CS-I-m-B-10778.01,Aşezare,sat BĂNIA; comuna BĂNIA,"""Arie”, la SE de localitate",Epoca migraţiilor
29,CS-I-m-B-10778.02,Aşezare,sat BĂNIA; comuna BĂNIA,"""Arie”, la SE de localitate",Epoca romană
30,CS-I-m-B-10778.03,Aşezări preistorice,sat BĂNIA; comuna BĂNIA,"""Arie”, la SE de localitate",
31,CS-I-s-B-10779,"Situl arheologic de la Bănia, punct ""Sălişte”",sat BĂNIA; comuna BĂNIA,"""Sălişte”",
32,CS-I-m-B-10779.01,Aşezare,sat BĂNIA; comuna BĂNIA,"""Sălişte”, la intrarea în localitate",Epoca migraţiilor
33,CS-I-m-B-10779.02,Aşezare,sat BĂNIA; comuna BĂNIA,"""Sălişte”, la intrarea în localitate",Epoca romană
