Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,CJ-I-s-B-06921,Oraşul antic şi medieval,municipiul CLUJ- NAPOCA,Parcul arh.Deleu şi Parcul Caragiale,
2,CJ-I-m-B-06921.01,Ruine edificii - oraşul antic medieval,şi municipiul CLUJ- NAPOCA,Parcul arh.Deleu şi Parcul Caragiale,Epoca medievală
3,CJ-I-m-B-06921.02,Zid de incintă - oraşul antic medieval,şi municipiul CLUJ- NAPOCA,Parcul arh.Deleu şi Parcul Caragiale,Epoca medievală
4,CJ-I-m-B-06921.03,Zid de incintă - oraşul antic medieval,şi municipiul CLUJ- NAPOCA,Parcul arh. Deleu şi Parcul Caragiale,sec. II - III p. Chr.
5,CJ-I-m-B-06921.04,Ruine edificii urbane - oraşul şi medieval,antic municipiul CLUJ- NAPOCA,Parcul arh. Deleu şi Parcul Caragiale,sec. II - III p. Chr.
6,CJ-I-m-B-06921.05,Edificii de epocă medievală antic şi medieval,- oraşul municipiul CLUJ- NAPOCA,Piaţa Muzeului,Epoca medievală
7,CJ-I-m-B-06921.06,Edificii romane cu sistem încălzire de tip hypocaust antic şi medieval,de municipiul CLUJ- - oraşul NAPOCA,Piaţa Muzeului,Epoca romană
8,CJ-I-m-B-06921.07,Oraşul antic şi medieval,municipiul CLUJ- NAPOCA,Piaţa Victoriei şi Piaţa Ştefan Mare,"cel Neolitic, grupul cultural Iclod"
9,CJ-I-s-B-06922,Necropolă,municipiul CLUJ- NAPOCA,"""La Cărămidărie”",sec. VI
10,CJ-I-s-B-06923,"Situl arheologic de la Cluj-Napoca, punct ""La Stăvilar”",municipiul CLUJ- NAPOCA,"""La Stăvilar”",
11,CJ-I-m-B-06923.01,Aşezare,municipiul CLUJ- NAPOCA,"""La Stăvilar”",Epoca migraţiilor
12,CJ-I-m-B-06923.02,Aşezare,municipiul CLUJ- NAPOCA,"""La Stăvilar”",Epoca romană
13,CJ-I-m-B-06923.03,Aşezare,municipiul CLUJ- NAPOCA,"""La Stăvilar”",Hallstatt
14,CJ-I-m-B-06923.04,Aşezare,municipiul CLUJ- NAPOCA,"""La Stăvilar”","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
15,CJ-I-m-B-06923.05,Aşezare,municipiul CLUJ- NAPOCA,"""La Stăvilar”",Epoca bronzului
16,CJ-I-m-B-06923.06,Aşezare,municipiul CLUJ- NAPOCA,"""La Stăvilar”",Neolitic
17,CJ-I-s-B-06924,"Situl arheologic de la Cluj-Napoca, punct ""Calvaria”",municipiul CLUJ- NAPOCA,"""Calvaria”",sec. IX - XI
18,CJ-I-m-B-06924.01,Ruinele bisericii medievale,municipiul CLUJ- NAPOCA,"""Calvaria”","sec. IX - XI, Epoca medievală"
19,CJ-I-m-B-06924.02,Aşezare fortificată,municipiul CLUJ- NAPOCA,"""Calvaria”","sec. IX - XI, Epoca medieval timpurie"
20,CJ-I-s-B-06925,Tumuli,municipiul CLUJ- NAPOCA,În pădurea Făget,Preistorie
21,CJ-I-s-B-06926,"Situl arheologic de la Cluj-Napoca, punct ""Someşeni - Băi”",municipiul CLUJ- NAPOCA,"""Someşeni - Băi”",
22,CJ-I-m-B-06926.01,Aşezare,municipiul CLUJ- NAPOCA,"""Someşeni - Băi”",Epoca medievală timpurie
23,CJ-I-m-B-06926.02,Aşezare,municipiul CLUJ- NAPOCA,"""Someşeni - Băi”",sec. II - III p. Chr.
24,CJ-I-m-B-06926.03,Aşezare,municipiul CLUJ- NAPOCA,"""Someşeni - Băi”",Latène
25,CJ-I-s-B-06927,"Situl arheologic de la Cluj-Napoca, punct ""Someşeni - Aeroport”",municipiul CLUJ- NAPOCA,"""Someşeni - Aeroport”",
