Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,CT-I-m-A-02553.01,Bazilica mare,municipiul CONSTANŢA,"Între Bd. Ferdinand şi str. Traian, sub blocul C2","sec. V - VI p. Chr., Epoca romano-bizantină"
3,CT-I-m-A-02553.02,Bazilica mică,municipiul CONSTANŢA,"Între Bd. Ferdinand şi str. Traian, sub blocul C3","sec. V - VI p. Chr., Epoca romano-bizantină"
4,CT-I-m-A-02553.03,Bazilica creştină,municipiul CONSTANŢA,În vecinătatea Porţii nr.1 Port,"sec. V - VI p. Chr., Epoca romano-bizantină"
5,CT-I-m-A-02553.04,Bazilica creştină,municipiul CONSTANŢA,"În zona hotelului IBIS, în perimetrul str. Mircea cel Bătrân, Ecaterina Varga, Negru Vodă, Dragoş Vodă","sec. V - VI p. Chr., Epoca romano-bizantină"
6,CT-I-m-A-02553.05,Edificiul roman cu mozaic,municipiul CONSTANŢA,"Între Piaţa Ovidiu şi Bd. Termele Romane (fost Marinarilor), faleza de SV a Peninsulei","sec. IV - VI p. Chr., Epoca romano-bizantină"
7,CT-I-m-A-02553.06,Amfiteatru,municipiul CONSTANŢA,"În zona hotelului IBIS, în perimetrul str. Mircea cel Bătrân, Ecaterina Varga, Negru Vodă, Dragoş Vodă","sec. II - III p. Chr., Epoca romană"
8,CT-I-m-A-02553.07,Locuirea citadină Tomis,municipiul CONSTANŢA,"Lângă Catedrala ortodoxă ""Sf. Petru şi Pavel"", între str. Arhiepiscopiei, bd. Elisabeta şi str. Revoluţiei din 22","sec. IV a. Chr. - sec. V p. Chr., Epoca greacă, romană şi romano-"
9,CT-I-m-A-02553.08,Zidul de incintă al cetăţii Tomis,municipiul CONSTANŢA,"Intersecţia str. Mircea cel Bătrân cu Dragoş-Vodă, intersecţia bd. Ferdinand cu str. Răscoala 1907, de-a lungul Bd. Ferdinand până la Teatrul Fantasio, cu prelungirea până la intersecţia Bd. Ferdinand cu str. St. Mihăileanu, şi în continuare până la Poarta 3 Port","sec. III - VI p. Chr., Epoca romană"
10,CT-I-m-A-02553.09,Locuire,municipiul CONSTANŢA,"Lângă Catedrala ortodoxă ""Sf. Petru şi Pavel"", între str. Arhiepiscopiei, bd. Elisabeta şi str. Revoluţiei din 22 decembrie 1989","Neolitic, Cultura Gumelniţa, faza A II"
11,CT-I-m-A-02553.10,Apeducte - galerii,municipiul CONSTANŢA,"În subsolul oraşului antic Tomis şi la baza falezelor, cu intrări la Plaja ""Modern"", Portul Tomis, Şcoala 2, Tribunal, Edificiul roman cu mozaic şi Bd. Termele Romane","sec. III p. Chr., Epoca romană"
12,CT-I-m-A-02553.11,Turn de apărare,municipiul CONSTANŢA,"Bd. Termele Romane (fost Marinarilor), în dreptul Porţii nr. 2 a portului comercial","sec. IV - VI p. Chr., Epoca romano-bizantină"
13,CT-I-m-A-02553.12,Therme,municipiul CONSTANŢA,"Bd. Termele Romane (fost Marinarilor), la 150 m SE de Edificiul cu mozaic","sec. III - IV p. Chr., Epoca romană"
14,CT-I-s-A-02554,Aşezare,municipiul CONSTANŢA,La intersecţia Bd.Tomis cu Bd. Aurel Vlaicu şi malul de S al lacului Siutghiol,"sec. IV - VI p. Chr., Epoca romano-bizantină"
15, CT-I-s-A-02555, Necropola oraşului antic Tomis, municipiul CONSTANŢA," Perimetrul delimitat de str. Iederei, Bd. Aurel Vlaicu de la intersecţia cu bd. 1 Mai, str. Cumpenei, str. Nicolae Filimon, bd. Aurel Vlaicu până la Pescărie - la S de Mamaia, malul mării",
16,CT-I-m-A-02555.01,Necropolă romană,municipiul CONSTANŢA,"Perimetrul delimitat de str. Iederei, Bd. Aurel Vlaicu de la intersecţia cu bd. 1 Mai, str. Cumpenei, str. Nicolae Filimon, bd. Aurel Vlaicu până la Pescărie - la S de Mamaia, malul mării şi Portul Comercial","sec. I - VI p. Chr., Epoca romană"
17,CT-I-m-A-02555.02,Necropolă,municipiul CONSTANŢA,"Perimetrul delimitat de str. Iederei, Bd. Aurel Vlaicu de la intersecţia cu bd. 1 Mai, str. Cumpenei, str. Nicolae Filimon, bd. Aurel Vlaicu până la Pescărie - la S de Mamaia, malul mării şi Portul Comercial","sec. IV a. Chr. - sec. I p. Chr., Epoca elenistică"
18,CT-I-m-A-02555.03,"Cavoul cu Orant ""de la Egreta”",municipiul CONSTANŢA,"Bd. Ferdinand, intersecţia cu str. Traian, în vecinătatea bl. B1, la cca. 20 m E","sec. IV p. Chr., Epoca romană"
19,CT-I-m-A-02555.04,Mormântul hypogeu paleocreştin,municipiul CONSTANŢA,"Str. Mircea cel Bătrân, la intersecţia cu str. Ştefan cel Mare, la 40 m de faleza de E a peninsulei, lângă Restaurantul Zorile","sec. IV p. Chr., Epoca romană"
20,CT-I-m-A-02555.05,Criptă paleocreştină,municipiul CONSTANŢA,"Str. Traian 19, în curtea Colegiului Naţional Mihai Eminescu","sec. V - VI p. Chr., Epoca romano-bizantină"
21,CT-I-s-A-02556,Aşezare,municipiul CONSTANŢA,"La S de intrarea în portul Constanţa SUD, zona Fabrica de Oxigen","sec. I - III p. Chr., Epoca romană"
22,CT-I-m-A-02557.08,Valul mic de pământ,municipiul CONSTANŢA CONSTANŢA,"Intră în mun. Constanţa în partea de V, prin zona industrială Palas. Traseul se îndreaptă spre mare, în zona Porţii 4 Portului Comercial în zona bd. I.C.Brătianu - zona C.F.,","sec. VI p. Chr., Epoca romano-bizantină a timpurie"
24,CT-I-m-A-02559.09,Valul de piatră,municipiul CONSTANŢA,"Intră în mun. Constanţa în partea de V, prin Zona industrială Palas. Traseul se îndreaptă spre mare, între Porţile 3 şi ale Portului Comercial","sec. X, Epoca medieval timpurie 4"
25,CT-I-s-A-02557,Valul mic de pământ,,"Pe o lungime de 61 km, urmând un aliniament care pleacă, din V, de pe malul abrupt al Dunării, la cca.1km NV de satul Cochirleni, de la Cetatea Pătulului, străbate teritoriile administrative Rasova, Peștera, Medgidia, Ciocârlia, Murfatlar, Valu lui Traian, intră în mun. Constanţa în partea de V, prin zona industrială Palas și se îndreaptă spre mare, în zona Porţii 4 a Portului comercial.","sec. VI p. Chr., Epoca romană"
26,CT-I-s-A-02558,Valul mare de pământ,,"Pe o lungime de 41 km, pornind, în V, de la ""Cetatea Pătulului"" situată pe malul drept al Dunării, la N de satul Cochirleni, străbate teritoriile administrative Rasova, Medgidia, Poarta Albă, Murfatlar, Valu lui Traian, intră în mun. Constanța în V, în, zona bd. I.C.Brătianu - zona C.F. cartier Palas și se îndreaptă spre mare, între Porţile 3 şi 4 ale Portului comercial. aliniament care pleacă, în partea de V,","sec. IX, Epoca medieval timpurie timpurie"
28,CT-I-s-A-02561,Sit arheologic subacvatic,,Platforma continentală a litoralului românesc al Mării Negre (jud. Constanţa),
29,CT-I-m-A-02561.01,Vestigii arheologice subacvatice,,Platforma continentală a litoralului românesc al Mării Negre (jud. Constanţa),Epoca medievală
30,CT-I-m-A-02561.02,Vestigii arheologice subacvatice,,Platforma continentală a litoralului românesc al Mării Negre (jud. Constanţa),Epoca romano-bizantină
31,CT-I-m-A-02561.03,Vestigii arheologice subacvatice,,Platforma continentală a litoralului românesc al Mării Negre (jud. Constanţa),Epoca romană
32,CT-I-m-A-02561.04,Vestigii arheologice subacvatice,,Platforma continentală a litoralului românesc al Mării Negre (jud. Constanţa),Epoca elenistică
33,CT-I-m-A-02561.05,Vestigii arheologice subacvatice, LIMANU,Platforma continentală a litoralului românesc al Mării Negre (jud. Constanţa),"Epoca greacă Chr., Epoca romană"
35,CT-I-s-A-02563,Tumuli,sat 2 MAI; comuna LIMANU,În perimetrul întregii comune,"sec. IV - III a. Chr., Latène"
