Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,CV-I-s-B-13029,"Situl arheologic de la Sfântu Gheorghe, punct ""Cetatea Cocostârcului""",municipiul SFÂNTU GHEORGHE,Cetatea Cocostârcului (Gémvára),
2,CV-I-m-B-13029.01,Aşezare fortificată,municipiul SFÂNTU GHEORGHE,"Cetatea Cocostârcului (Gémvára), km V de oraş, pe malul pârâului Debren","la 2 Eneolitic, Cultura Cucuteni-Ariuşd"
3,CV-I-m-B-13029.02,Aşezare fortificată,municipiul SFÂNTU GHEORGHE,"Cetatea Cocostârcului (Gémvára), km V de oraş, pe malul pârâului Debren","la 2 Epoca bronzului, Cultura Wietenberg"
4,CV-I-s-B-13030,"Situl arheologic de la Sfântu Gheorghe, punct „Avasalja”",municipiul SFÂNTU GHEORGHE,"""Avasalja”",
5,CV-I-m-B-13030.01,Aşezare,municipiul SFÂNTU GHEORGHE,"""Avasalja”","Epoca bronzului, Cultura Wietenberg"
6,CV-I-m-B-13030.02,Aşezare,municipiul SFÂNTU GHEORGHE,"""Avasalja”",Hallstatt timpuriu
7,CV-I-m-B-13030.03,Mormânt scitic,municipiul SFÂNTU GHEORGHE,"""Avasalja”",Epoca migraţiilor
8,CV-I-s-A-13031,"Situl arheologic de la Sfîntu Gheorghe, punct ""Eprestetö""",municipiul SFÂNTU GHEORGHE,"""Eprestetö""",
9,CV-I-m-A-13031.01,Aşezare daco-romană,municipiul SFÂNTU GHEORGHE,"""Eprestetö"", lângă gară","sec. III - IV p. Chr., Epoca daco-romană"
10,CV-I-m-A-13031.02,Necropolă de incineraţie,municipiul SFÂNTU GHEORGHE,"""Eprestetö"", lângă gară","Latène, Cultura geto - dacică"
11,CV-I-m-A-13031.03,Aşezare,municipiul SFÂNTU GHEORGHE,"""Eprestetö"", lângă gară",sec. X - XI
12,CV-I-m-A-13031.04,Aşezare,municipiul SFÂNTU GHEORGHE,"""Eprestetö"", lângă gară","Epoca migraţiilor, Cultura Sântana de Mureş-Cerneahov"
13,CV-I-s-A-13032,"Situl arheologic de la Sfântu Gheorghe, punct ""Bedeháza""",municipiul SFÂNTU GHEORGHE,"""Bedeháza”",
14,CV-I-m-A-13032.01,Aşezarea medievală timpurie de la Sfântu Gheorghe,municipiul SFÂNTU GHEORGHE,"""Bedeháza”, pe malul stâng al Oltului, spre Ghidfalău","sec. XII, Epoca medievală timpurie"
15,CV-I-m-A-13032.02,Aşezare,municipiul SFÂNTU GHEORGHE,"""Bedeháza”, pe malul stâng al Oltului, spre Ghidfalău","Latène, Cultura geto - dacică"
16,CV-I-m-A-13032.03,Aşezare,municipiul SFÂNTU GHEORGHE,"""Bedeháza”, pe malul stâng al Oltului, spre Ghidfalău","Epoca bronzului, Cultura Wietenberg"
17,CV-I-m-A-13032.04,Aşezare,municipiul SFÂNTU GHEORGHE,"""Bedeháza”, pe malul stâng al Oltului, spre Ghidfalău","Neolitic timpuriu, Cultura Starčevo - Criş"
18,CV-I-s-A-13033,Aşezare,municipiul SFÂNTU GHEORGHE,"""Templomdomb"", dealul Bisericii Reformate, pe terasa de S a dealului, dreptul Străzii Várgödre","sec. X - XII, Epoca în medievală timpurie"
19,CV-I-s-B-13034,"Situl arheologic de la Angheluş, punct ""Templomnyír""",sat ANGHELUŞ; comuna GHIDFALĂU,"""Templomnyír” (""Mestecănişul bisericii”), la extremitatea nordică intravilanului", a
20,CV-I-m-B-13034.01,Aşezare,sat ANGHELUŞ; comuna GHIDFALĂU,"""Templomnyír” (""Mestecănişul bisericii”), la extremitatea nordică intravilanului","sec. XII - XIII, Epoca a medievală timpurie"
21,CV-I-m-B-13034.02,Aşezare,sat ANGHELUŞ; comuna GHIDFALĂU,"""Templomnyír” (""Mestecănişul bisericii”), la extremitatea nordică intravilanului","sec. VII - VIII, Epoca a migraţiilor"
22,CV-I-m-B-13034.03,Aşezare,sat ANGHELUŞ; comuna GHIDFALĂU,"""Templomnyír” (""Mestecănişul bisericii”), la extremitatea nordică intravilanului","Latène, Cultura geto - a dacică"
23,CV-I-s-B-13035,"Situl arheologic de la Angheluş, punct ""Vatra satului""",sat ANGHELUŞ; comuna GHIDFALĂU,Vatra satului,"sec. II - III p. Chr., Epoca romană"
24,CV-I-m-B-13035.01,Ateliere meşteşugăreşti,sat ANGHELUŞ; comuna GHIDFALĂU,Vatra satului,"sec. II - III p. Chr., Epoca romană"
25,CV-I-m-B-13035.02,Necropolă,sat ANGHELUŞ; comuna GHIDFALĂU,Vatra satului,"sec. II - III p. Chr., Epoca romană"
