Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,CL-I-s-B-14527,"Situl arheologic de la Călăraşi, punct ""Grădiştea Călăraşi""",municipiul CĂLĂRAŞI,"""Grădiştea Călăraşi”, la 2 km de oraş, pe malul stâng al canalului construit pentru fostul combinat siderurgic Călăraşi, la 500 m nord-est de DN Bucureşti–Constanţa",sec. IV - I a. Chr. 3
2,CL-I-m-B-14527.01,Aşezare,municipiul CĂLĂRAŞI,"""Grădiştea Călăraşi”, la 2 km de oraş, pe malul stâng al canalului construit pentru fostul combinat siderurgic Călăraşi, la 500 m nord-est de DN Bucureşti–Constanţa",sec. IV - I a. Chr. 3
3,CL-I-m-B-14527.02,Necropolă,municipiul CĂLĂRAŞI,"""Grădiştea Călăraşi”, la 2 km de oraş, pe malul stâng al canalului construit pentru fostul combinat siderurgic Călăraşi, la 500 m nord-est de DN Bucureşti–Constanţa",sec. IV - I a. Chr. 3
4,CL-I-s-B-14528,Aşezare,sat ALEXANDRU ODOBESCU; comuna ALEXANDRU ODOBESCU,"""Ostrovul Barza”, insulă inundabilă partea de nord a satului Alexandru Odobescu, pe malul stâng al lacului Gălăţui","în Eneolitic, cultura Gumelniţa"
5,CL-I-s-B-14551,Aşezare,sat BOGATA; comuna GRĂDIŞTEA,"Movila Berzei” situată în nordul teritoriului administrativ al satului Bogata, comuna Grădiştea, lg. DJ Bogata–Alexandru Odobescu, la 500 m sud de podul peste lacul Gălăţui.","Neolitic mijlociu, cultura Boian 309"
6,CL-I-s-B-14529,Aşezare,oraş BUDEŞTI,"""Ciocârla”, pe un bot de terasă, pe malul stâng al Dâmboviţei",Latène
7,CL-I-s-B-14530,"Situl arheologic de la Căscioarele, punct ""Şuviţa Hotarului""",sat CĂSCIOARELE; comuna CĂSCIOARELE,"""Şuviţa Hotarului"", situat la 3 km de comună, pe terasa înaltă şi mijlocie a Dunării, dintre Chirnogi şi Căscioarele",est
8,CL-I-m-B-14530.01,Aşezare,sat CĂSCIOARELE; comuna CĂSCIOARELE,"""Şuviţa Hotarului"", situat la 3 km de comună, pe terasa înaltă şi mijlocie a Dunării, dintre Chirnogi şi Căscioarele",est sec. IX - X
9,CL-I-m-B-14530.02,Aşezare,sat CĂSCIOARELE; comuna CĂSCIOARELE,"""Şuviţa Hotarului"", situat la 3 km de comună, pe terasa înaltă şi mijlocie a Dunării, dintre Chirnogi şi Căscioarele",est sec. VI - VII p. Chr.
10,CL-I-m-B-14530.03,Aşezare,sat CĂSCIOARELE; comuna CĂSCIOARELE,"""Şuviţa Hotarului"", situat la 3 km de comună, pe terasa înaltă şi mijlocie a Dunării, dintre Chirnogi şi Căscioarele",est sec. II - I a. Chr
