Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,DJ-I-s-B-07868,"Situl arheologic de la Almăj, punct ""Şcoala Generală""",sat ALMĂJ; comuna ALMĂJ,"Punct ""Şcoala Generală"", în vecinătatea şcolii, pe un bot de deal, la 200 biserica satului Almăj", m.V de
2,DJ-I-m-B-07868.01,Așezare,sat ALMĂJ; comuna ALMĂJ,"Punct ""Şcoala Generală"", în vecinătatea şcolii, pe un bot de deal, la 197m.V biserica satului Almăj","sec. II p. Chr., Epoca de romană"
3,DJ-I-m-B-07868.02,Așezare,sat ALMĂJ; comuna ALMĂJ,"Punct ""Şcoala Generală"", în vecinătatea şcolii, pe un bot de deal, la 197m.V biserica satului Almăj",Neolitic de
4,DJ-I-s-B-07870,Aşezare,sat BÂRCA; comuna BÂRCA,"""La Carieră”, La Nord est de satul Bârca, la 800 m de şoseaua Cârna- Segarcea, în zona carierei de piatră",sec. II - IV p. Chr.
5,DJ-I-s-A-07871,Aşezare,sat BÂZDÂNA; comuna CALOPĂR,"""La Bâzdâna”, pe un bot de deal, m sud -vest de sat, plantaţie viţă","la 500 Perioada de tranziţie de vie la epoca bronzului, Cultura Coţofeni"
6,DJ-I-s-A-07872,"Situl arheologic de la Bâzdâna -Calopăr, punct ""La Cucuioara""",sat BÂZDÂNA; comuna CALOPĂR,"""La Cucuioara”, la 1 km nord-vest satul Bâzdâna",de
7, DJ-I-m-A-07872.01, Fortificaţie, sat BÂZDÂNA; comuna CALOPĂR," ""La Cucuioara”"," sec. XIV, Epoca medievală"
8,DJ-I-m-A-07872.02,Cetate,sat BÂZDÂNA; comuna CALOPĂR,"""La Cucuioara”","sec. IV - II a. Chr., Latène"
9,DJ-I-s-B-07873,Aşezare,sat BOBEANU; comuna DRĂGOTEŞTI,"""Obştea Bobeanu”, la 1,7 km sud-vest de sat",
10,DJ-I-s-B-07874,"Situl arheologic de la Robăneşti, punct ""La Grădini""",sat BOJOIU; comuna ROBĂNEŞTI,"punctul ""La Grădini”, la 6 km de biserica din satul Pârşani pe malul nord est al râului Teslui", de
11,DJ-I-m-B-07874.01,Așezare,sat BOJOIU; comuna ROBĂNEŞTI,"""La Grădini”, la distanţă de 6 km biserica din satul Pârşani, pe malul nord-est al râului Teslui, extravilan, teren arabil",de Epoca daco-romană de
12,DJ-I-m-B-07874.02,Așezare,sat BOJOIU; comuna ROBĂNEŞTI,"""La Grădini”, la distanţă de 6 km biserica din satul Pârşani, pe malul nord-est al râului Teslui, extravilan, teren arabil","de Neolitic, Cultura Vinča de - Dudeşti"
13,DJ-I-s-B-07875,Cetate,sat BOTOŞEŞTI-PAIA; comuna BOTOŞEŞTI-PAIA,"punctul ""Cetatea Micului”, la 2 de sat, extravilan; teren o parte păşune, o parte pădure","km est sec. I p. Chr., Latène târziu"
14,DJ-I-s-B-07876,"Situl arheologic de la Botoşeşti - Paia, punct ""Piscul Cazacilor""",sat BOTOŞEŞTI-PAIA; comuna BOTOŞEŞTI-PAIA,"”Piscul Cazacilor”, la 3 km vest extravilan","de sat,"
15,DJ-I-m-B-07876.01,Aşezare,sat BOTOŞEŞTI-PAIA; comuna BOTOŞEŞTI-PAIA,"""Piscul cazacilor”, la 3 km vest extravilan, pe un bot de deal","de sat, sec. II - IV p. Chr."
16,DJ-I-m-B-07876.02,Cetate,sat BOTOŞEŞTI-PAIA; comuna BOTOŞEŞTI-PAIA,"""Piscul cazacilor”, la 3 km vest extravilan, pe un bot de deal","de sat, Latène"
17,DJ-I-s-B-07877,Cetate,sat BRĂDEŞTII BĂTRÂNI; comuna BRĂDEŞTI,"""Valea Rea”, la 500 m nord est Valea Rea şi la 3 km nord-vest Brădeşti-Bătrâni, pe un bot de teren arabil","de satul sec. II - IV p. Chr. de satul deal,"
18,DJ-I-s-B-07879,Aşezare,sat BUCOVĂŢ; comuna BUCOVĂŢ,"""La Jidovii”","sec. III - I a. Chr., Latène"
19,DJ-I-s-B-07881,Aşezarea fortificată de la Castrele Traiane,sat CASTRELE TRAIANE; comuna PLENIŢA,"""La Cetate”, la 300 m E de sat","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
20,DJ-I-s-B-07882,Situl arheologic de la Căciulăteşti,sat CĂCIULĂTEŞTI; comuna DOBREŞTI,"""La Schitul Roaba”; ""Dealul Lupului”, 500 m. N de localitatea Căciulăteşti, un bot de deal; teren arabil",la pe
21,DJ-I-m-B-07882.01,Fortificaţie de pământ,sat CĂCIULĂTEŞTI; comuna DOBREŞTI,"""La Schitul Roaba”; ""Dealul Lupului”, 500 m. N de localitatea Căciulăteşti, un bot de deal; teren arabil","la sec. IV - II a. Chr., pe Latène"
