Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,DB-I-s-B-16950,Siliştea satului Ruşi din Târgovişte,municipiul TÂRGOVIŞTE,"În sudul oraşului, între străzile Morilor Iazului la NV, Iazul Morii la NE, str. Nifon şi Calea Domnească, în prelungirea Căii Bucureştilor, la SV","şi sec. XIV-XVII, Epoca la SE medievală"
2,DB-I-s-B-16951,"Situl arheologic de la Târgovişte, punct ""Ferma IAS”",municipiul TÂRGOVIŞTE,"""Ferma IAS”, cartier Matei Voievod (Sârbi), de perimetrul locuit al oraşului, la intersecţia Căii Ploieşti cu canalul Ialomiţa-Ilfov",la S
3,DB-I-m-B-16951.01,Aşezare,municipiul TÂRGOVIŞTE,"""Ferma IAS”, cartier Matei Voievod (Sârbi), de perimetrul locuit al oraşului, la intersecţia Căii Ploieşti cu canalul Ialomiţa-Ilfov",la S Epoca medievală
4,DB-I-m-B-16951.02,Aşezare,municipiul TÂRGOVIŞTE,"""Ferma IAS”, cartier Matei Voievod (Sârbi), de perimetrul locuit al oraşului, la intersecţia Căii Ploieşti cu canalul Ialomiţa-Ilfov",la S Epoca medievală timpurie
5,DB-I-s-B-16952,"Situl arheologic de la Târgovişte punct ""Platforma industrială Nord”",municipiul TÂRGOVIŞTE,"""Platforma industrială Nord”, în stânga Ialomiţa, la 0,3 km S de gara Târgovişte spre satul Călugăreni","râului Nord,"
6,DB-I-m-B-16952.01,Ruine biserică,municipiul TÂRGOVIŞTE,"""Platforma industrială Nord”, în stânga Ialomiţa, la 0,3 km S de gara Târgovişte spre satul Călugăreni","râului sec. XIV-XVII, Epoca Nord, medievală"
7,DB-I-m-B-16952.02,Siliştea satului Călugăreni,municipiul TÂRGOVIŞTE,"""Platforma industrială Nord”, în stânga Ialomiţa, la 0,3 km S de gara Târgovişte spre satul Călugăreni","râului sec. XIV-XVII, Epoca Nord, medievală"
8,DB-I-s-A-16953,Fortificaţiile medievale ale oraşului Târgovişte,municipiul TÂRGOVIŞTE,"Între Halta Teiş, Calea Câmpulung, strada Colonel Dumitru Băltăreţu la N şi V, fosta de Utilaj Petrolier, str. Radu de la Afumaţi Magazinul Chindia la S şi terasa înaltă Ialomiţei spre SE","1645, ref. 1821 Uzină şi a"
9,DB-I-m-A-16953.01,Poarta Dealu - Vânătorilor,municipiul TÂRGOVIŞTE,"Aleea Coconilor, între Curtea Domnească şi Casa Coconilor la S","la N 1645, ref. 1821"
10,DB-I-m-A-16953.02,Poarta Câmpulungului,municipiul TÂRGOVIŞTE,"Calea Câmpulung, la intersecţia cu str. Pârvan Popescu şi str. Valul Cetăţii","Lt. 1645, ref. 1821"
11,DB-I-m-A-16953.03,Poarta Buzăului şi Brăilei,municipiul TÂRGOVIŞTE,"Calea Bucureşti, la joncţiunea cu Calea Domnească şi intersecţia cu str. General Vlădescu","1645, ref. 1821, Matei 1990"
12,DB-I-m-A-16953.04,7 bastioane,municipiul TÂRGOVIŞTE,"Între Halta Teiş, Calea Câmpulung, str. Dumitru Băltăreţu la N şi V, fosta Uzină Utilaj Petrolier, str. Radu de la Afumaţi Magazinul Chindia la S şi terasa înaltă Ialomiţei spre SE","Colonel 1645, ref. 1821 de şi a"
13,DB-I-m-A-16953.05,Şanţ de apărare,municipiul TÂRGOVIŞTE,"Între Halta Teiş, Calea Câmpulung, str. Dumitru Băltăreţu la N şi V, fosta Uzină Utilaj Petrolier,, str. Radu de la Afumaţi Magazinul Chindia la S şi terasa înaltă Ialomiţei, spre S şi SE","Colonel 1645, Epoca de medievală şi a"
14,DB-I-m-A-16953.06,Valul Cetăţii Târgovişte,municipiul TÂRGOVIŞTE,"Între Halta Teiş, Calea Câmpulung, str. Dumitru Băltăreţu la N şi V, fosta Uzină Utilaj Petrolier,, str. Radu de la Afumaţi Magazinul Chindia la S și terasa înaltă Ialomiţei, spre S şi SE","Colonel 1645, Epoca de medievală şi a"
15,DB-I-s-A-16954,Vatra oraşului Târgovişte,municipiul TÂRGOVIŞTE,"Între Iazul Morilor (ambele maluri) şi dreaptă a Ialomiţei la NE, străzile Radu Petrescu şi Matei Basarab la NV, Calea",cornişa
16,DB-I-m-A-16954.01,Așezare rurală și urbană,municipiul TÂRGOVIŞTE,"Între Iazul Morilor (ambele maluri) şi dreaptă a Ialomiţei la NE, străzile Radu Petrescu şi Matei Basarab la NV, Calea Domnească, str. Bărăţiei, Calea Câmpulung str. Poet Grigore Alexandrescu la SV, Mircea cel Bătrân la S, str. Nicolae Filipescu E, str. Căpitan Ion Constantinescu şi str. George Coşbuc, până la Iazul Morilor, perimetrul Bisericii Albe la NE","cornişa sec. XIII-XVIII, Epoca medievală şi Bd. la inclusiv"
