Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,GR-I-s-A-14757,"Situl arheologic de la Giurgiu, punct ""Malu Roşu""",municipiul GIURGIU,"""Malu Roşu”, la cca. 1 km NE de Giurgiu",Vama
3,GR-I-m-A-14757.01,Aşezare,municipiul GIURGIU,"""Malu Roşu”, la cca. 1 km NE de Giurgiu",Vama Paleolitic superior
4,GR-I-m-A-14757.02,Aşezare,municipiul GIURGIU,"""Malu Roşu”, la cca. 1 km NE de Giurgiu",Vama Paleolitic inferior
5,GR-I-s-B-14758,"Situl arheologic de la Adunaţii Copăceni, punct ""Dăneasca”",sat ADUNAŢII COPĂCENI; comuna ADUNAŢII COPĂCENI,"""Dăneasca”, în partea de N a satului",
6,GR-I-m-B-14758.01,Aşezare,sat ADUNAŢII COPĂCENI; comuna ADUNAŢII COPĂCENI,"""Dăneasca”, în partea de N a satului",Epoca medievală
7,GR-I-m-B-14758.02,Aşezare,sat ADUNAŢII COPĂCENI; comuna ADUNAŢII COPĂCENI,"""Dăneasca”, în partea de N a satului","Latène, Cultura geto- dacică"
8,GR-I-m-B-14758.03,Aşezare,sat ADUNAŢII COPĂCENI; comuna ADUNAŢII COPĂCENI BĂNEASA,"""Dăneasca”, în partea de N a satului sat","Epoca bronzului, Cultura Glina; Tei, faza IV"
10,GR-I-s-B-14760,"Situl arheologic de la Bila, punct ""La Fântână""",sat BILA; comuna SCHITU,"""La Fântână"", la cca. 1,5 km SE de",sat
11,GR-I-m-B-14760.01,Aşezare,sat BILA; comuna SCHITU,"""La Fântână"", la cca. 1,5 km SE de",sat Epoca medievală timpurie
12,GR-I-m-B-14760.02,Aşezare,sat BILA; comuna SCHITU,"""La Fântână"", la cca. 1,5 km SE de",sat sec. IV p. Chr.
13,GR-I-m-B-14760.03,Aşezare,sat BILA; comuna SCHITU,"""La Fântână"", la cca. 1,5 km SE de","sat sec. III-II a. Chr., Latène"
14,GR-I-m-B-14760.04,Aşezare,sat BILA; comuna SCHITU,"""La Fântână"", la cca. 1,5 km SE de","sat Epoca bronzului timpuriu, Cultura Glina"
15,GR-I-s-B-14761,"Situl arheologic de la Bila, punct ""Grajdurile C.A.P.""",sat BILA; comuna SCHITU,"""Grajdurile CAP"", la cca. 500 m grajdurile fostului CAP",NV de
16,GR-I-m-B-14761.01,Aşezare,sat BILA; comuna SCHITU,"""Grajdurile CAP"", la cca. 500 m grajdurile fostului CAP","NV de Epoca medievală timpurie, Cultura Dridu"
17,GR-I-m-B-14761.02,Aşezare,sat BILA; comuna SCHITU,"""Grajdurile CAP"", la cca. 500 m grajdurile fostului CAP",NV de sec. IV p. Chr.
18,GR-I-s-B-14762,"Situl arheologic de la Bila, punct ""La Cimitir""",sat BILA; comuna SCHITU,"""La Cimitir"", la E de cimitir",
19,GR-I-m-B-14762.01,Aşezare,sat BILA; comuna SCHITU,"""La Cimitir"", la E de cimitir",Epoca romană
20, GR-I-m-B-14762.02, Aşezare, sat BILA; comuna SCHITU," ""La Cimitir"", la E de cimitir", Hallstatt
21,GR-I-s-B-14763,"Situl arheologic de la Braniştea, punct ""Măgura Mare”",sat BRANIŞTEA; comuna OINACU OINACU,"""Măgura Mare”, lângă braţul Comasca, la S de sat, în apropierea cimitirului Comasca, la S de sat, în apropierea", romană
23,GR-I-m-B-14763.02,Necropolă,sat BRANIŞTEA; comuna OINACU,"""Măgura Mare”, lângă braţul Comasca, la S de sat, în apropierea cimitirului",sec. IV p. Chr.
24,GR-I-m-B-14763.03,Aşezare,sat BRANIŞTEA; comuna OINACU,"""Măgura Mare”, lângă braţul Comasca, la S de sat, în apropierea cimitirului",Hallstatt
25,GR-I-m-B-14763.04,Aşezare,sat BRANIŞTEA; comuna OINACU,"""Măgura Mare”, lângă braţul Comasca, la S de sat, în apropierea cimitirului","Epoca bronzului, Cultura Tei, faza III"
26,GR-I-m-B-14763.05,Aşezare,sat BRANIŞTEA; comuna OINACU,"""Măgura Mare”, lângă braţul Comasca, la S de sat, în apropierea cimitirului","Neolitic, Cultura Boian; Cultura Gumelniţa"
27,GR-I-s-B-14764,"Aşezarea de tip tell de la Brăniştari, punct ""La Popina”",sat BRĂNIŞTARI; comuna CĂLUGĂRENI,"""La Popina”, la SE de sat","Neolitic, Cultura Boian; Cultura Gumelniţa"
28,GR-I-s-B-14765,"Situl arheologic de la Brăniştari, punct ""Gropile lui Sulă”",sat BRĂNIŞTARI; comuna CĂLUGĂRENI,"""Gropile lui Sulă”",
29,GR-I-m-B-14765.01,Aşezare,sat BRĂNIŞTARI; comuna CĂLUGĂRENI,"""Gropile lui Sulă”, la 1 km E de sat",Epoca medievală timpurie
30,GR-I-m-B-14765.02,Aşezare,sat BRĂNIŞTARI; comuna CĂLUGĂRENI,"""Gropile lui Sulă”, la 1 km E de sat","Neolitic, Cultura Boian; Cultura Gumelniţa"
31,GR-I-s-B-14766,"Aşezarea de tip tell de la Bucşani, punct ""La pod"" Cartojani, punct ""La",sat BUCŞANI; comuna BUCŞANI ROATA DE JOS,"""La pod"", la marginea satului, în stânga şoselei dinspre Vadu Lat","Neolitic, Cultura Gumelniţa"
33,GR-I-m-B-14767.01,Aşezare,sat CARTOJANI; comuna ROATA DE JOS,"""La Carieră”, la cca. 1 km N de sat",Latène
34,GR-I-m-B-14767.02,Aşezare,sat CARTOJANI; comuna ROATA DE JOS,"""La Carieră”, la cca. 1 km N de sat","Epoca bronzului, Cultura Tei, faza III"
35,GR-I-s-B-14768,Aşezare,sat CARTOJANI; comuna ROATA DE JOS,"""La Troiţă”, în vatra satului","Epoca bronzului, Cultura Glina; Cultura Tei"
36,GR-I-s-B-14769,Situl arheologic de la Cetăţuia,sat CETĂŢUIA; comuna GĂUJANI,"La ieşirea din sat către Găujani, terasa mijlocie a gârlei Pasărea",pe
37,GR-I-m-B-14769.01,Aşezare,sat CETĂŢUIA; comuna GĂUJANI,"La ieşirea din sat către Găujani, terasa mijlocie a gârlei Pasărea","pe sec. X-XI, Epoca medievală timpurie"
38,GR-I-m-B-14769.02,Aşezare,sat CETĂŢUIA; comuna GĂUJANI,"La ieşirea din sat către Găujani, terasa mijlocie a gârlei Pasărea","pe sec. III-IV, Epoca daco- romană"
39,GR-I-s-B-14770,"Situl arheologic de la Clejani, punct ""La Carieră”",sat CLEJANI; comuna CLEJANI,"""La Carieră”, la 500 m E de sat",
40, GR-I-m-B-14770.01, Aşezare, sat CLEJANI; comuna CLEJANI," ""La Carieră”, la 500 m E de sat", Hallstatt
41,GR-I-m-B-14770.02,Aşezare,sat CLEJANI; comuna CLEJANI,"""La Carieră”, la 500 m E de sat","Epoca bronzului timpuriu, Cultura Glina III şi Cultura Tei"
42,GR-I-s-B-14771,"Situl arheologic de la Comana, punct ""Dealul Morţii”",sat COMANA; comuna COMANA COMANA,"""Dealul Morţii”, la NE de sat, pe Goii Goii","valea timpuriu, Cultura Glina"
44,GR-I-m-B-14771.02,Aşezare,sat COMANA; comuna COMANA,"""Dealul Morţii”, la NE de sat, pe Goii","valea Neolitic, Cultura Boian; Cultura Gumelniţa"
45,GR-I-s-B-14772,"Aşezarea de la Comana, punct ""Valea lui Moş Ion”",sat COMANA; comuna COMANA,"""Valea lui Moş Ion”, la V de pădurea Comana","Neolitic, Cultura Boian; Cultura Gumelniţa"
46,GR-I-s-B-14773,"Situl arheologic de la Comana, punct ""Puţul Popii”",sat COMANA; comuna COMANA,"""Puţul Popii”",
47,GR-I-m-B-14773.01,Aşezare,sat COMANA; comuna COMANA,"""Puţul Popii”, la 300 m N de sat","Epoca bronzului, Cultura Tei, faza IV"
