Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,GJ-I-s-B-09115,Aşezarea romană de la Târgu Jiu,municipiul TÂRGU JIU,"""Ştiubeiul lui Ionicioiu”, zona 9 Mai - Ana Ipătescu","sec. II p. Chr., Epoca romană"
2,GJ-I-s-B-09116,Aşezarea medievală de la Târgu Jiu,municipiul TÂRGU JIU,"Str. Ursați f.n., ""Câmpul lui Pătru” - Polata",sec. XIV - XVI
3,GJ-I-s-B-09117,Aşezarea dacică de la Albeni,sat ALBENI; comuna ALBENI,"""La morminţi”",Epoca dacică
4,GJ-I-s-B-09118,Aşezare,sat ALBENI; comuna ALBENI,"""La Biserică”",sec. XVI
5,GJ-I-s-B-09119,Situl arheologic de la Alimpeşti,sat ALIMPEŞTI; comuna ALIMPEŞTI,"""Măgura”",Epoca dacică
6,GJ-I-m-A-09119.01,Aşezare,sat ALIMPEŞTI; comuna ALIMPEŞTI,"""Măgura”",Epoca dacică
7,GJ-I-s-A-09120,"Situl arheologic de la ""Peştera Muierilor""",sat BAIA DE FIER; comuna BAIA DE FIER,"""Peştera Muierilor”",
8,GJ-I-m-A-09120.01,Aşezare,sat BAIA DE FIER; comuna BAIA DE FIER,"""Peştera Muierilor”",Paleolitic mijlociu
9,GJ-I-m-A-09120.02,Aşezare,sat BAIA DE FIER; comuna BAIA DE FIER,"""Peştera Muierilor”",Epoca bronzului
10,GJ-I-s-B-09121,Aşezarea neolitică de la Baia de Fier,sat BAIA DE FIER; comuna BAIA DE FIER,"""Peştera Pârcălabului”",Neolitic
11,GJ-I-s-B-09122,Casa Ştirbei,sat BĂLCEŞTI; comuna BENGEŞTI-CIOCADIA,"""la Biserică""",sec. XVIII
12,GJ-I-s-B-09123,Aşezarea de la Bâlteni,sat BÂLTENI; comuna BÂLTENI,"""La Cimitir”","sec. V, Epoca migraţiilor"
13,GJ-I-s-B-09124,Casele Bengescu,sat BENGEŞTI; comuna BENGEŞTI-CIOCADIA,"""Podul Gilortului”",sec. XVI - XVII
14,GJ-I-s-A-09125,Aşezarea paleolitică de la Boroşteni,sat BOROŞTENI; comuna PEŞTIŞANI,"""Peştera Cioarei”",Paleolitic superior
15,GJ-I-s-A-09126,Castrul şi aşezarea civilă de la Bumbeşti - Jiu,oraş BUMBEŞTI-JIU,"""Gară""",sec. II - III p. Chr.
16,GJ-I-m-A-09126.01,Castru de piatră,oraş BUMBEŞTI-JIU,"""Gară""",sec. II - III p. Chr.
17,GJ-I-m-A-09126.02,Aşezare civilă,oraş BUMBEŞTI-JIU,"""Gară""","sec. II - III p. Chr., Epoca romană"
18,GJ-I-s-B-09127,Situl arheologic de la Bumbeşti - Jiu,oraş BUMBEŞTI-JIU,"""Vârtop”","sec. II p. Chr., Epoca romană"
19,GJ-I-m-B-09127.01,Aşezare civilă,oraş BUMBEŞTI-JIU,"""Vârtop”","sec. II p. Chr., Epoca romană"
20,GJ-I-m-B-09127.02,Castru de pământ,oraş BUMBEŞTI-JIU,"""Vârtop”",sec. II p. Chr.
21,GJ-I-m-B-09127.03,Val de pământ,oraş BUMBEŞTI-JIU,"""Vârtop”","sec. II p. Chr., Epoca romană"
22,GJ-I-s-B-09128,"Ruinele mănăstirii ""Sf. Treime” - Vişina",oraş BUMBEŞTI-JIU,"""La Vişina”","sec. XIV - XV, Epoca romană"
23,GJ-I-s-B-09129,Castrul roman de la Bumbeşti-Jiu,oraş BUMBEŞTI-JIU,"""La şcoala Pleşa”","sec. II p. Chr., Epoca romană"
24,GJ-I-m-B-09129.01,Castru de pământ,oraş BUMBEŞTI-JIU,"""La şcoala Pleşa”","sec. II p. Chr., Epoca romană"
25,GJ-I-m-B-09129.02,Val de pământ,oraş BUMBEŞTI-JIU,"""La şcoala Pleşa”","sec. II p. Chr., Epoca romană"
26,GJ-I-s-B-09130,"Situl arheologic de la Călugăreni, punct ""La morminţi""",sat CĂLUGĂRENI; comuna PADEŞ,"""La morminţi""",
27,GJ-I-m-B-09130.01,Aşezare,sat CĂLUGĂRENI; comuna PADEŞ,"""La morminţi""",sec. XVI
28,GJ-I-m-B-09130.02,Aşezare,sat CĂLUGĂRENI; comuna PADEŞ,"""La morminţi""",Hallstatt
29,GJ-I-m-B-09130.03,Aşezare,sat CĂLUGĂRENI; comuna PADEŞ,"""La morminţi""","Epoca bronzului timpuriu, Cultura Glina"
30,GJ-I-s-B-09131,Aşezarea medievală de la Frăţeşti,sat FRĂTEŞTI; comuna LELEŞTI,"""Pârâul Şuşiţa”",sec. XIV
31,GJ-I-s-B-09132,Aşezarea romană de la Glodeni,sat GLODENI; comuna BĂLĂNEŞTI,"""La Biserică”",sec. II - III p. Chr.
32,GJ-I-s-B-09133,Situl arheologic de la Gornăcel,sat GORNĂCEL; comuna SCHELA,"""La Biserică”",
33,GJ-I-m-B-09133.01,Aşezare,sat GORNĂCEL; comuna SCHELA,"""La Biserică”","Neolitic, Cultura Vinèa"
34,GJ-I-m-B-09133.02,Aşezare,sat GORNĂCEL; comuna SCHELA,"""La Biserică”",Epoca bronzului
35,GJ-I-s-B-09134,Aşezarea romană de la Hăieşti,sat HĂIEŞTI; comuna SĂCELU,"""Jidovi”",sec. II - III p. Chr.
36,GJ-I-s-B-09136,Aşezare fortificată dacică,sat PĂIŞANI; comuna STOINA,"""La Cetate”","sec. IV - I a. Chr., Latène"
37,GJ-I-s-B-09137,Aşezare dacică fortificată,sat POLOVRAGI; comuna POLOVRAGI,"""Crucea lui Ursache”","sec. II - I a. Chr., Latène, Cultura geto - dacică"
38,GJ-I-s-B-09138,"Situl arheologic de la Runcu, punct ""La Bulboc”, ""Cracul Răchiţele”, ""Peştera Popii”",sat RUNCU; comuna RUNCU,"""La Bulboc”, ""Cracul Răchiţele”, ""Peştera Popii”",
39,GJ-I-m-B-09138.01,Aşezare,sat RUNCU; comuna RUNCU,"""La Bulboc”, ""Cracul Răchiţele”, ""Peştera Popii”","Epoca bronzului timpuriu, Cultura Coţofeni"
40,GJ-I-m-B-09138.02,Aşezare,sat RUNCU; comuna RUNCU,"""La Bulboc”, ""Cracul Răchiţele”, ""Peştera Popii”",Paleolitic
41,GJ-I-s-B-09139,"Situl arheologic de la Runcu, punct ""La Cruce”",sat RUNCU; comuna RUNCU,"""La Cruce”",
42,GJ-I-m-B-09139.01,Aşezare,sat RUNCU; comuna RUNCU,"""La Cruce”",Latène
43,GJ-I-m-B-09139.02,Aşezare,sat RUNCU; comuna RUNCU,"""La Cruce”","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
44,GJ-I-s-B-09140,Aşezarea medievală de la Runcu,sat RUNCU; comuna RUNCU,"""La morminţi"", în vatra satului",sec. XV - XVI
45,GJ-I-s-B-09141,Aşezarea şi necropola romană de la Săcelu,sat SĂCELU; comuna SĂCELU,"""Turtiţa”, ""Grui”",Epoca romană
46,GJ-I-m-B-09141.01,Aşezare,sat SĂCELU; comuna SĂCELU,"""Turtiţa”, ""Grui”",sec. II - III p. Chr.
47,GJ-I-m-B-09141.02,Necropolă,sat SĂCELU; comuna SĂCELU,"""Turtiţa”, ""Grui”",sec. II - III p. Chr.
48,GJ-I-m-B-09141.03,Aşezare,sat SĂCELU; comuna SĂCELU,"""Turiţă"", ""Grui""",Epoca romană
49,GJ-I-s-B-09142,Situl arheologic de la Sărdăneşti,sat SĂRDĂNEŞTI; comuna PLOPŞORU,"""În cimitir”",
50,GJ-I-m-B-09142.01,Necropolă,sat SĂRDĂNEŞTI; comuna PLOPŞORU,"""În cimitir”",sec. XVII
51,GJ-I-s-B-09143,Situl arheologic de la Socu,sat SOCU; comuna BĂRBĂTEŞTI,"""Cioaca Boii” şi ""Dealul lui Istrate”",
52,GJ-I-m-B-09143.01,Aşezare,sat SOCU; comuna BĂRBĂTEŞTI,"""Cioaca Boii” şi ""Dealul lui Istrate”",Epoca dacică
53,GJ-I-m-B-09143.02,Aşezare,sat SOCU; comuna BĂRBĂTEŞTI,"""Cioaca Boii” şi ""Dealul lui Istrate”","sec. II a. Chr. - sec. I p. Chr., Latène"
54,GJ-I-m-B-09143.03,Aşezarea de epoca bronzului de la Socu,sat SOCU; comuna BĂRBĂTEŞTI,"""Cioaca Boii” şi ""Dealul lui Istrate”",Epoca bronzului timpuriu
55,GJ-I-m-B-09143.04,Aşezare,sat SOCU; comuna BĂRBĂTEŞTI,"""Cioaca Boii” şi ""Dealul lui Istrate”","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
56,GJ-I-s-B-09144,Situl arheologic de la Spahii,sat SPAHII; comuna TURBUREA,"""Dealul Spahiilor”",
57,GJ-I-m-B-09144.01,Aşezare,sat SPAHII; comuna TURBUREA,"""Dealul Spahiilor”","sec. III a. Chr., Latène"
58,GJ-I-m-B-09144.02,Necropolă dacică,sat SPAHII; comuna TURBUREA,"""Dealul Spahiilor”","sec. III a. Chr., Latène"
59,GJ-I-s-B-09145,Situl arheologic de la Şiacu,sat ŞIACU; comuna SLIVILEŞTI,"""Dealul Bungeteanu”",
60,GJ-I-m-B-09145.01,Fortificaţie,sat ŞIACU; comuna SLIVILEŞTI,"""Dealul Bungeteanu”",sec. VII - VI a. Chr.
61,GJ-I-m-B-09145.02,Aşezare,sat ŞIACU; comuna SLIVILEŞTI,"""Dealul Bungeteanu”","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
62,GJ-I-s-B-09146,Fortificaţia dacică de la Şomăneşti,sat ŞOMĂNEŞTI; comuna TELEŞTI,"""Cioca cu bani”","sec. I a. Chr., Latène"
63,GJ-I-s-B-09147,Aşezarea neolitică de la Şura,sat ŞURA; comuna SLIVILEŞTI,"""Valea Caselor”","Neolitic, Cultura Vinca"
64,GJ-I-s-B-09148,"Situl arheologic de la Târgu - Cărbuneşti, punct ""Geminele""",oraş TÂRGU CĂRBUNEŞTI,"""Geminele”",
65,GJ-I-m-B-09148.01,Aşezare,oraş TÂRGU CĂRBUNEŞTI,"""Geminele”",Epoca bronzului
66,GJ-I-m-B-09148.02,Aşezare,oraş TÂRGU CĂRBUNEŞTI,"""Geminele”","Neolitic, Cultura Sălcuţa"
67,GJ-I-s-A-09149,Situl arheologic de la Teleşti,sat TELEŞTI; comuna TELEŞTI,"""Curături”",
68,GJ-I-m-A-09149.01,Necropolă,sat TELEŞTI; comuna TELEŞTI,"""Curături”",Hallstatt târziu
69,GJ-I-m-A-09149.02,Așezare,sat TELEŞTI; comuna TELEŞTI,"""Curături”","sec. VI - V a. Chr., Hallstatt"
70,GJ-I-s-A-09150,Necropola Hallstatt de la Teleşti,sat TELEŞTI; comuna TELEŞTI,"""Livezile mari”","sec. VI - V a. Chr., Hallstatt târziu"
71,GJ-I-s-B-09151,Situl arheologic de la Toiaga,sat TOIAGA; comuna STOINA,"""Curături”",
72, GJ-I-m-B-09151.01, Aşezare, sat TOIAGA; comuna STOINA," ""Curături”"," sec. IV - I a. Chr., Latène"
73,GJ-I-m-B-09151.02,Fortificaţie,sat TOIAGA; comuna STOINA,"""Curături”","sec. II - I a. Chr., Latène"
74,GJ-I-s-B-09152,Aşezarea de epoca bronzului de la Topeşti,sat TOPEŞTI; comuna TISMANA,"""Cetate”",Epoca bronzului
75,GJ-I-s-B-09153,Aşezarea dacică fortificată de la Ţicleni,sat ŢICLENI; comuna ŢICLENI,"""La Cetate”","Latène, Cultura geto - dacică"
76,GJ-I-s-B-09154,Ruinele bisericii mănăstirii de la Valea Mănăstirii,sat VALEA MĂNĂSTIRII; comuna CĂTUNELE,"""În cimitir”",sec. XIV
77,GJ-I-s-B-09155,Situl arheologic de la Valea Perilor,sat VALEA PERILOR; comuna CĂTUNELE,"""Chivadarul”",sec. II - III p. Chr.
78,GJ-I-s-B-09155.01,Castru de pământ,sat VALEA PERILOR; comuna CĂTUNELE,"""Chivadarul”",sec. II - III p. Chr.
79,GJ-I-s-B-09155.02,Aşezare,sat VALEA PERILOR; comuna CĂTUNELE,"""Chivadarul”",sec. II - III p. Chr.
80,GJ-I-s-B-09156,Aşezarea de la Valea Poienii,sat VALEA POIENII; comuna SĂMĂRINEŞTI,"""La Măgura”",sec. V - VII
81,GJ-I-s-B-09157,Aşezarea de la Văgiuleşti,sat VĂGIULEŞTI; comuna VĂGIULEŞTI,"""Valea Casei”",sec. V - VI
82,GJ-I-s-B-09158,Situl arheologic de la Vidin,sat VIDIN; comuna JUPÂNEŞTI,"""Surliţa” şi ""Boia”",
83,GJ-I-m-B-09158.01,Aşezare,sat VIDIN; comuna JUPÂNEŞTI,"""Surliţa” şi ""Boia”",sec. XVIII
84,GJ-I-m-B-09158.02,Aşezare,sat VIDIN; comuna JUPÂNEŞTI,"""Surliţa” şi ""Boia”",Epoca dacică
85,GJ-I-m-B-09158.03,Aşezare,sat VIDIN; comuna JUPÂNEŞTI,"""Surliţa” şi ""Boia”",Epoca bronzului
86,GJ-I-s-B-09159,Aşezarea de epoca bronzului de la Vierşani,sat VIERŞANI; comuna JUPÂNEŞTI,"""Poarta luncii”","Epoca bronzului, Cultura Verbicioara"
87,GJ-I-s-B-09160,Aşezarea de epoca bronzului de la Vierşani II,sat VIERŞANI; comuna JUPÂNEŞTI,"""Piscul cerului”","sec. II - I a. Chr., Latène"
88,GJ-II-m-B-09179,Şcoala Normală,municipiul TÂRGU JIU,Str. 1 Decembrie 1918 106,1924
89,GJ-II-m-B-09165,"Biserica ""Sf. Nicolae”, ""Sf. Andrei”",municipiul TÂRGU JIU,Str. 11 Iunie 1848 50,1810
90,GJ-II-m-B-09166,Casa protopopului Andrei Schevofilax,municipiul TÂRGU JIU,Str. 16 Februarie 9,sec. XVIII
91,GJ-II-m-B-09163,Podul Vechi,municipiul TÂRGU JIU,"Bd. Brâncuşi Constantin 12, Grădina publică",1894
92,GJ-II-m-B-09167,Casă,municipiul TÂRGU JIU,Bd. Brâncuşi Constantin 15,1933
93,GJ-II-m-B-09168,Cămin de Ucenici al Cooperaţiei Meşteşugăreşti,municipiul TÂRGU JIU,Bd. Brâncuşi Constantin 19,1933
94,GJ-II-m-B-09287,"Biserica ""Sf. Nicolae”",municipiul TÂRGU JIU,Str. Cuza Alexandru Ioan 23,1768
95,GJ-II-a-A-09185,Ansamblul curţii lui Cornea Brăiloiu,municipiul TÂRGU JIU,Str. Dumbrava 35,sec. XVIII
96, GJ-II-m-A-09185.01, Casa lui Cornea Brăiloiu, municipiul TÂRGU JIU, Str. Dumbrava 35, 1699
97,GJ-II-m-A-09185.03,Zid de incintă,municipiul TÂRGU JIU,Str. Dumbrava 35,sec. XVIII - XIX
98,GJ-II-m-A-09185.04,Grajduri,municipiul TÂRGU JIU,Str. Dumbrava 35,sec. XVIII - XIX
99,GJ-II-m-B-09172,Casa Vintilă,municipiul TÂRGU JIU,Calea Eroilor 5,1928
100,GJ-II-m-B-20124,Casă,municipiul TÂRGU JIU,Calea Eroilor 20,înc. sec. XX
101,GJ-II-m-B-09173,Casă,municipiul TÂRGU JIU,Calea Eroilor 23,1929
102,GJ-II-m-B-09171,"Biserica ""Sf. Apostoli”",municipiul TÂRGU JIU,Calea Eroilor 44A,1937
103,GJ-II-m-B-09174,Casa Opriş,municipiul TÂRGU JIU,Calea Eroilor 49,1930
104,GJ-II-m-B-09175,Casă,municipiul TÂRGU JIU,Calea Eroilor 92,1928
105,GJ-II-m-B-09176,Casa Ion Carabatescu,municipiul TÂRGU JIU,Str. Geneva 4,înc. sec. XX
106,GJ-II-m-B-09177,Prefectura Veche,municipiul TÂRGU JIU,Str. Geneva 8,1875
107,GJ-II-m-B-09178,Casa Gherghe,municipiul TÂRGU JIU,Str. Geneva 13A,1930 - 1935
108,GJ-II-m-B-09180,Casa şetrarului Chiriţă Corbeanu,municipiul TÂRGU JIU,Str. Parâng 1,sec. XVIII
109,GJ-II-m-B-09181,Casa Iunian Grigore,municipiul TÂRGU JIU,Bd. Republicii 1,1940
110, GJ-II-m-B-09182, Casele Doppelreiter, municipiul TÂRGU JIU, Bd. Republicii 10, 1932
111,GJ-II-m-B-09183,Casă,municipiul TÂRGU JIU,Bd. Republicii 13,1935
112,GJ-II-m-B-09184,Casa Vasile Moangă,municipiul TÂRGU JIU,Str. Siretului 30,sec. XVIII
113,GJ-II-m-B-09162,"Biserica ""Naşterea Maicii Domnului”",municipiul TÂRGU JIU,"Aleea Teodoroiu Ecaterina 13, Cartier Șișeşti",1839
114,GJ-II-m-A-09185.02,"Biserica ""Adormirea Maicii Domnului”",municipiul TÂRGU JIU,Bd. Teodoroiu Ecaterina 365,"1694, ref. 1911"
115,GJ-II-a-B-09186,Ansamblu urban,municipiul TÂRGU JIU,"Str. Traian, Vladimirescu T., Unirii, Griviţa, Calea ferată, Calea Eroilor",
116,GJ-II-m-B-09187,"Colegiul Naţional ""Tudor Vladimirescu”",municipiul TÂRGU JIU,Str. Unirii 13,1896 - 1898
117,GJ-II-m-B-09188,Casa Catană,municipiul TÂRGU JIU,Str. Unirii 37,1930 - 1935
118,GJ-II-m-A-09189,"Biserica ""Sf. Voievozi”",municipiul TÂRGU JIU,Piaţa Victoriei,1748 - 1764
119,GJ-II-m-B-09190,Casa Barbu Gănescu,municipiul TÂRGU JIU,Piaţa Victoriei 2,sec. XVIII
120,GJ-II-m-A-09191,Prefectura Judeţului Gorj,municipiul TÂRGU JIU,Piaţa Victoriei 4,1898
121,GJ-II-m-B-09192,"Palatul Finanţelor, azi Universitatea C. Brâncuşi",municipiul TÂRGU JIU,Str. Victoriei 24,1900
122,GJ-II-m-B-09193,Casă,municipiul TÂRGU JIU,Str. Victoriei 126,1909
123,GJ-II-m-B-09194,Casa Niculescu,municipiul TÂRGU JIU,Str. Victoriei 132,1907
124,GJ-II-m-B-09195,Casa Pâinişoară,municipiul TÂRGU JIU,Str. Victoriei 149,1904
125,GJ-II-m-B-09196,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 14,1850
126,GJ-II-m-B-20125,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 16,1864
127,GJ-II-m-B-09197,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 18,1934
128,GJ-II-m-B-21126,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 20,1912
129,GJ-II-m-B-09198,Casa Găvănescu,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 25,1934
130,GJ-II-m-B-09199,Casa Miloşescu,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 27,1910
131,GJ-II-m-B-09200,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 29,1893
132,GJ-II-m-B-09201,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 31,1893
133,GJ-II-m-B-09202,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 33,1926
134,GJ-II-m-B-09204,Casa Dimitrie Măldărescu,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 36,sec. XVIII
135,GJ-II-m-B-09203,Casă,municipiul TÂRGU JIU,Str. Vladimirescu Tudor 37,1912
136, GJ-II-m-B-09205," Ruinele bisericii ""Sf. Nicolae”", sat ALBENI; comuna ALBENI,, ante 1730
137,GJ-II-m-B-09206,"Biserica de lemn ""Sf. Îngeri”",sat ALIMPEŞTI; comuna ALIMPEŞTI,,înc. sec. XIX
138,GJ-II-m-B-09207,"Biserica de lemn ""Cuvioasa Paraschiva”",sat ANINIŞU DIN VALE; comuna CRASNA,,1800
139,GJ-II-m-B-09208,Casa de lemn Elisaveta Raşoveanu,sat ARCANI; comuna ARCANI,,înc. sec. XIX
140,GJ-II-m-B-09209,"Biserica de lemn ""Sf. Ioan Botezătorul”",sat ARTANU; comuna NEGOMIR,,1825
141,GJ-II-a-B-09210,"Ansamblul bisericii ""Toţi Sfinţii”",sat BAIA DE FIER; comuna BAIA DE FIER,,1750
142,GJ-II-m-B-09210.01,"Biserica ""Toţi Sfinţii""",sat BAIA DE FIER; comuna BAIA DE FIER,,1750
143,GJ-II-m-B-09210.02,Zid de incintă,sat BAIA DE FIER; comuna BAIA DE FIER,,1750
144,GJ-II-m-B-09211,Gospodăria Pătru Flondor,sat BAIA DE FIER; comuna BAIA DE FIER,,
145,GJ-II-m-B-09212,Casa Mihuţescu,sat BAIA DE FIER; comuna BAIA DE FIER,,înc. sec. XX
