Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,HR-I-s-B-12642,Cetatea Harom (Jigodin II),municipiul MIERCUREA CIUC,"""Harom”, cartier Jigodin",
3,HR-I-m-A-12642.01,Cetate,municipiul MIERCUREA CIUC,"""Harom”, cartier Jigodin",sec. XII - XIII
4,HR-I-m-A-12642.02,Cetate,municipiul MIERCUREA CIUC,"""Harom”, cartier Jigodin","sec. III a. Chr. - I. p. Chr., Latène, Cultura geto - dacică"
5,HR-I-s-A-12643,Cetatea Kisvár (Jigodin III),municipiul MIERCUREA CIUC,"""Kisvártető"" (Piscul Cetăţii Mici), cartier Jigodin",
6,HR-I-m-A-12643.01,Locuire,municipiul MIERCUREA CIUC,"""Kisvártető"" (Piscul Cetăţii Mici), cartier Jigodin",Epoca medievală timpurie
7,HR-I-m-A-12643.02,Locuire,municipiul MIERCUREA CIUC,"""Kisvártető"" (Piscul Cetăţii Mici), cartier Jigodin","sec. III p. Chr., Epoca romană"
8,HR-I-m-A-12643.03,Fortificaţie de lemn (palisadă),municipiul MIERCUREA CIUC,"""Kisvártető"" (Piscul Cetăţii Mici), cartier Jigodin","sec. II a. Chr.- I p. Chr., Latène, Cultura geto - dacică"
9,HR-I-m-A-12643.04,Descoperire Mare,municipiul MIERCUREA CIUC CIUC,"""Kisvártető"" (Piscul Cetăţii Mici), cartier Jigodin Şumuleu Mare – Cetatea de","Epoca bronzului mijlociu, Cultura Wietenberg Sare),"
11,HR-I-m-B-12644.01,Turn,municipiul MIERCUREA CIUC,"""Nagysomlyó – Sóvár"" (Mt. Şumuleu Mare – Cetatea de cartier Şumuleu","sec. XVII, Epoca Sare), medievală"
12,HR-I-m-B-12644.02,Cetate (Cetatea de Sare),municipiul MIERCUREA CIUC,"""Nagysomlyó – Sóvár"" (Mt. Şumuleu Mare – Cetatea de cartier Şumuleu","Preistorie Sare),"
13,HR-I-s-B-12645,Situl arheologic Aluniş – Kisvár,sat ALUNIŞ; comuna MUGENI,"""Kisvár” (Cetăţuia), dealul Leş, malul drept al Târnavei Mari, intrarea în defileul dintre Dejuţiu Porumbenii Mari",pe Epoca bronzului la şi
14,HR-I-s-B-12646,Situl arheologic Aluniş – Vágás,sat ALUNIŞ; comuna MUGENI,"""Vágás” (Tăietura), la mijlocul pantei Dealului Leş",Epoca bronzului
15,HR-I-s-B-12648,Castellum pe limesul Daciei romane,sat BĂDENI; comuna MĂRTINIŞ,,"sec. II - III p. Chr., Epoca romană"
16,HR-I-s-B-12649,Cetatea „Bágyi vár”,sat BĂDENI; comuna MĂRTINIŞ,"""Vártető” (Dealul Cetăţii), cetatea Bagy",
