Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,HD-I-s-B-03149,"Situl arheologic de la Deva, punct ""Dealul Cetăţii""",municipiul DEVA,"""Dealul Cetăţii”, versantul de S al dealului",
2,HD-I-m-B-03149.01,Aşezare,municipiul DEVA,"""Dealul Cetăţii”, pe versantul S al dealului",Hallstatt
3,HD-I-m-B-03149.02,Aşezare,municipiul DEVA,"""Dealul Cetăţii”, pe versantul S al dealului","Epoca bronzului, Cultura Wietenberg"
4,HD-I-m-B-03149.03,Aşezare,municipiul DEVA,"""Dealul Cetăţii”, pe versantul S al dealului","Neolitic, Cultura dacică"
5,HD-I-s-B-03150,Situl arheologic de la Almaşul Sec,sat ALMAŞUL SEC; comuna CÂRJIŢI,,
6,HD-I-m-B-03150.01,Aşezare,sat ALMAŞUL SEC; comuna CÂRJIŢI,,Epoca bronzului
7,HD-I-m-B-03150.02,Aşezare,sat ALMAŞUL SEC; comuna CÂRJIŢI,,Epoca eneolitică
8,HD-I-s-A-03151,"Situl arheologic de la Ardeu, punct ""Dealul Cetăţuia""",sat ARDEU; comuna BALŞA,"""Dealul Cetăţuia”, la 1 km S de localitate",
9,HD-I-m-A-03151.01,Aşezare fortificată,sat ARDEU; comuna BALŞA,"""Dealul Cetăţuia”",Epoca medievală
10,HD-I-m-A-03151.02,Aşezare fortificată,sat ARDEU; comuna BALŞA,"""Dealul Cetăţuia”",Epoca dacică
11,HD-I-m-A-03151.03,Aşezare,sat ARDEU; comuna BALŞA,"""Dealul Cetăţuia”, la 2 km S de sat valea Geoagiului",pe Epoca bronzului
12,HD-I-s-B-03152,"Locul bătăliei de la ""Câmpul Pâinii”",sat AUREL VLAICU; oraş GEOAGIU,"""Câmpul Pâinii”, la 3 km E de sat",1479
13,HD-I-s-B-03153,Aşezare,sat BALŞA; comuna BALŞA,"Peştera din Valea Şuncuiuşului, între Balşa şi Mada",Epoca bronzului
14,HD-I-s-A-03156,Cetatea dacică de la Băniţa,sat BĂNIŢA; comuna BĂNIŢA,"""Dealul Bolii”",
15,HD-I-m-A-03156.01,Fortificaţie,sat BĂNIŢA; comuna BĂNIŢA,"""Dealul Bolii”, cartier situat la 902 altitudine",m Epoca medievală timpurie
16,HD-I-m-A-03156.02,Cetatea Băniţa,sat BĂNIŢA; comuna BĂNIŢA,"""Dealul Bolii”, cartier situat la 902 altitudine","m sec. II a. Chr. - sec. I p. Chr., Epoca dacică, Cultura dacică"
17,HD-I-s-A-03157,Castru roman,sat BĂNIŢA; comuna BĂNIŢA,"Platoul ""Jigorul Mare"", la 1501 m altitudine",Epoca romană
18,HD-I-s-B-03158,Villa rustica,sat BĂŢĂLARI; comuna BRETEA ROMÂNĂ,,Epoca romană
19,HD-I-s-B-03159,Tumuli,sat BERIU; comuna BERIU,"""Gorganele”, în hotarul satului, spre Tămăşasa, la 7 km de municipiul Orăştie, pe Valea Orăştiei",
20,HD-I-s-B-03160,Aşezare,sat BOHOLT; comuna ŞOIMUŞ,"""La Ciuta”, pe o colină a satului Boholt, din terasa Boholtului",Epoca bronzului
21,HD-I-s-B-03161,Aşezare,sat BOIU; comuna RAPOLTU MARE,"""Măgulicea”, pe coastele de SSV şi ale satului Boiu, pe Valea Mureşului",NV Epoca bronzului
22,HD-I-s-A-03164,Aşezare,sat BREAZOVA; comuna SARMIZEGETUSA,"Pe drumul spre Poieni, pe Valea Breazovei",Epoca romană
