Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,IL-I-m-B-14026.01,Aşezare,municipiul SLOBOZIA,sec.,XVII - XVIII
3,IL-I-m-B-14026.02,Aşezare,municipiul SLOBOZIA,sec.,IX - XI
4,IL-I-m-B-14026.03,Aşezare,municipiul SLOBOZIA,"Neolitic,",cultura Boian
5,IL-I-s-B-14027,Aşezare,sat AXINTELE; comuna AXINTELE,"""La vie” sec.",IX - XI
6,IL-I-s-A-14028,Situl arheologic de la Axintele,sat AXINTELE; comuna AXINTELE,"""La Cetate”",
7,IL-I-m-A-14028.01,Aşezare fortificată,sat AXINTELE; comuna AXINTELE,"""La Cetate” sec.",I a. Chr. - I p. Chr.
8,IL-I-m-A-14028.02,Aşezare fortificată,sat AXINTELE; comuna AXINTELE,"""La Cetate” Epoca",bronzului târziu
9,IL-I-s-A-14029,"Situl arheologic de la Borduşani, punct ""Popina Borduşani""",sat BORDUŞANI; comuna BORDUŞANI,"""Popina Borduşani”",
10,IL-I-m-A-14029.01,Aşezare,sat BORDUŞANI; comuna BORDUŞANI comuna BORDUŞANI,"""Popina Borduşani” sec.",I a. Chr. - I p. Chr.
12,IL-I-s-B-14030,Aşezare,sat BORDUŞELU; comuna CIOCHINA,"Şuviţa ""La Golani” Neolitic,",cultura Boian
13,IL-I-s-B-14031,Situl arheologic de la Bucu,sat BUCU; comuna BUCU,"""Pochina”",
14,IL-I-m-B-14031.01,Aşezare,sat BUCU; comuna BUCU,"""Pochina” sec.",X - XI
15,IL-I-m-B-14031.02,Aşezare,sat BUCU; comuna BUCU,"""Pochina” sec.",IV - III a.Chr.
16,IL-I-m-B-14031.03,Aşezare,sat BUCU; comuna BUCU,"""Pochina” sec.",X - VIII a. Chr.
17,IL-I-s-B-14032,Aşezare,sat COCORA; comuna COCORA,sec.,IX - XI p. Chr.
18,IL-I-s-B-14033,Situl arheologic de la Copuzu,sat COPUZU; comuna BALACIU,"""Platoul Deluş” sec.",II - I a. Chr.
19,IL-I-m-B-14033.01,Aşezare,sat COPUZU; comuna BALACIU,"""Platoul Deluş” sec.",III - IV p. Chr.
20,IL-I-m-B-14033.02,Necropolă,sat COPUZU; comuna BALACIU,"""Platoul Deluş” sec.",III - IV p. Chr.
21,IL-I-m-B-14033.03,Aşezare,sat COPUZU; comuna BALACIU,"""Platoul Deluş” sec.",II - I a. Chr.
22,IL-I-s-B-14034,Aşezare,sat COSÂMBEŞTI; comuna COSÂMBEŞTI,sec.,IX - XI
23,IL-I-s-A-14035,Tell,sat COŞERENI; comuna COŞERENI comuna COŞERENI,"""Măgura de la Comana” Neolitic Comana”",
25,IL-I-s-B-14037,Situl arheologic de la Coşereni,sat COŞERENI; comuna COŞERENI,,
26,IL-I-m-B-14037.01,Necropolă,sat COŞERENI; comuna COŞERENI,"""Turceasca” Hallstatt",
27,IL-I-m-B-14037.02,Aşezare,sat COŞERENI; comuna COŞERENI,"""Turceasca” Neolitic",
28,IL-I-s-B-14038,Situl arheologic de la Crăsani,sat CRĂSANII DE comuna BALACIU,"JOS; La ieşirea din sat, spre Sudiţi",
29,IL-I-m-B-14038.01,Aşezare,sat CRĂSANII DE comuna BALACIU,"JOS; La ieşirea din sat, spre Latène Sudiţi",
30,IL-I-m-B-14038.02,Aşezare,sat CRĂSANII DE comuna BALACIU,"JOS; La ieşirea din sat, spre Neolitic Sudiţi",
31,IL-I-s-A-14039,Situl arheologic de la Piscu Crăsani,sat CRĂSANII DE comuna BALACIU,JOS;,
32,IL-I-m-A-14039.01,Aşezare fortificată,sat CRĂSANII DE comuna BALACIU,"JOS; ""Piscu Crăsani” Latène",
33,IL-I-m-A-14039.02,Aşezare fortificată,sat CRĂSANII DE comuna BALACIU,"JOS; ""Piscu Crăsani” Neolitic",
34,IL-I-s-A-14040,Situl arheologic de la Dridu,sat DRIDU; comuna DRIDU,,
35,IL-I-m-A-14040.01,Aşezare,sat DRIDU; comuna DRIDU,"""La Metereze” sec.",XIII - XVIII
36,IL-I-m-A-14040.02,Aşezare,sat DRIDU; comuna DRIDU DRIDU,"""La Metereze” sec.",IX - XI
38,IL-I-s-B-14041,Aşezare,sat DRIDU-SNAGOV; comuna DRIDU,Epoca,bronzului
39,IL-I-s-B-14042,Aşezare,sat FĂCĂENI; comuna FĂCĂENI,"""Ferma zootehnică"" Latène",
40,IL-I-s-B-14043,Aşezare,sat FĂCĂENI; comuna FĂCĂENI,Latène,
41,IL-I-s-B-14044,Aşezare,sat FĂCĂENI; comuna FĂCĂENI,Neolitic,
42,IL-I-s-B-14045,Aşezare,municipiul FETEŞTI,"""La Scursoare” sec.",X - XI
43,IL-I-s-B-14046,Situl arheologic de la Fierbinţi,oraş FIERBINŢI-TÂRG,sec.,III - IV p. Chr.
44,IL-I-m-B-14046.01,Necropolă,oraş FIERBINŢI-TÂRG,"""Malul Roşu” sec.",XVI - XVIII
45,IL-I-m-B-14046.02,Necropolă,oraş FIERBINŢI-TÂRG,"""Malul Roşu” sec.",III - IV p. Chr.
46,IL-I-s-B-14047,Aşezare,sat FRĂŢILEŞTI; comuna SĂVENI,sec.,XVI - XVIII
47,IL-I-s-B-14048,Aşezare,sat GHEORGHE DOJA; comuna GHEORGHE DOJA,"""La Cărămidărie” Latène",
48,IL-I-s-B-14049,Aşezare,sat GIMBĂŞANI; comuna COSÎMBEŞTI comuna GIURGENI,sec.,IX - XI
50,IL-I-s-A-14051,"Situl arheologic medieval ""Oraşul de Floci"" Giurgeni",sat GIURGENI; comuna GIURGENI,,
51,IL-I-m-A-14051.01,Ruinele Bisericii nr. 1,sat GIURGENI; comuna GIURGENI,"""La Mănăstire” Epoca",medievală
52,IL-I-m-A-14051.02,Aşezare urbană,sat GIURGENI; comuna GIURGENI,"""La Mănăstire” sec.",XVI - XVIII
53,IL-I-m-A-14051.03,Biserica nr. 2,sat GIURGENI; comuna GIURGENI,"""La Mănăstire” sec.",XVI - XVIII
54,IL-I-m-A-14051.04,Edificiul cu contraforturi,sat GIURGENI; comuna GIURGENI,"""La Mănăstire” sec.",XVI - XVIII
55,IL-I-s-B-14052,Situl arheologic de la Hagieni,sat HAGIENI; comuna MIHAIL KOGĂLNICEANU,sec.,IX - XI
56, IL-I-m-B-14052.01, Aşezare, sat HAGIENI; comuna MIHAIL KOGĂLNICEANU, sec., XVII - XVIII
57,IL-I-m-B-14052.02,Aşezare,sat HAGIENI; comuna MIHAIL KOGĂLNICEANU,sec.,IX - XI
58,IL-I-s-B-14053,"Situl arheologic de la Ion Roată, punct ""La Muche""",sat ION ROATĂ; comuna ION ROATĂ,"""La Muche”",
59,IL-I-m-B-14053.01,Aşezare,sat ION ROATĂ; comuna ION ROATĂ,"""La Muche” sec.",IX - XI
60,IL-I-m-B-14053.02,Aşezare,sat ION ROATĂ; comuna ION ROATĂ comuna ION ROATĂ,"""La Muche” Latène",
62,IL-I-m-B-14054.01,Aşezare,sat ION ROATĂ; comuna ION ROATĂ,Latène,
63,IL-I-m-B-14054.02,Aşezare,sat ION ROATĂ; comuna ION ROATĂ,Neolitic,
64,IL-I-s-B-14055,Aşezare,sat LUCIU; comuna GURA IALOMIŢEI,sec.,IX - XI
65,IL-I-s-B-14056,Aşezare,sat LUCIU; comuna GURA IALOMIŢEI,sec.,IX - XI
66,IL-I-s-B-14057,Situl arheologic de la Luciu,sat LUCIU; comuna GURA IALOMIŢEI,sec.,IX - XI
67,IL-I-s-B-14058,Aşezare,sat MAIA; comuna MAIA,"""La Şcoală” Latène",
68,IL-I-s-B-14059,Aşezare,sat MALTEZI; comuna STELNICA,Latène,
69,IL-I-s-B-14060,Aşezare,sat MĂRCULEŞTI; comuna MĂRCULEŞTI,sec.,IX - XI
70,IL-I-s-B-14061,Aşezare,sat PIERSICA; comuna CIOCHINA,,
71,IL-I-s-B-14062,Necropolă birituală,sat PLATONEŞTI; comuna PLATONEŞTI,sec.,IX - XI
72,IL-I-s-B-14063,Aşezare,sat PLATONEŞTI; comuna PLATONEŞTI,Hallstatt,
73,IL-I-s-A-14064,Necropola birituală de la Stelnica,sat STELNICA; comuna STELNICA STELNICA,"""Grădiştea Mare” sec.",IV - III a. Chr.
75,IL-I-s-B-14066,Situl arheologic de la Sudiţi,sat SUDIŢI; comuna SUDIŢI,"""La Cot” Epoca",medievală timpurie
76,IL-I-m-B-14066.01,Aşezare medievală timpurie,sat SUDIŢI; comuna SUDIŢI,"""La Cot” sec.",IX - XI
77,IL-I-s-B-14066.02,Aşezare daco-romană,sat SUDIŢI; comuna SUDIŢI,"""La Cot” sec.",IV p. Chr.
78,IL-I-s-B-14067,Aşezare,oraş ŢĂNDĂREI,"""La cimitir” sec.",X - XI
79,IL-I-s-B-14068,Aşezare,oraş ŢĂNDĂREI,"""Spitalul orăşenesc” Epoca",bronzului târziu
80,IL-I-s-B-14069,Aşezare,sat VLĂDENI; comuna VLĂDENI,"""Coasta Belciugului” Epoca",medievală
81,IL-I-s-B-14070,Aşezare,sat VLĂDENI; comuna VLĂDENI,"""Popina lată” (""Ibirian”) sec.",X - VIII a. Chr.
82,IL-I-s-B-14071,Situl arheologic de la Vlădeni,sat VLĂDENI; comuna VLĂDENI,"""Popina Blagodeasca”",
83,IL-I-m-B-14071.01,Aşezare,sat VLĂDENI; comuna VLĂDENI,"""Popina Blagodeasca” sec.",XVI - XVIII
84,IL-I-m-B-14071.02,Aşezare,sat VLĂDENI; comuna VLĂDENI,"""Popina Blagodeasca” Hallstatt",
85,IL-I-s-B-14071.03,Aşezare,sat VLĂDENI; comuna VLĂDENI,"""Popina Blagodeasca” Neolitic",
86,IL-II-m-B-14072,"Biserica ""Adormirea Maicii Domnului”",municipiul SLOBOZIA,"Str. Magheru Gheorghe, 1864 general 22, Cartier Bora general 37, Cartier Bora",
88,IL-II-m-A-14075,"Biserica de lemn ""Sf. Nicolae”",municipiul SLOBOZIA,Str. Matei Basarab 10 1748,
89,IL-II-m-B-14076,"Şcoală, azi Şcoala nr. 1",municipiul SLOBOZIA,Str. Matei Basarab 198 1,9 2 0
90,IL-II-a-A-14074,"Mănăstirea ""Sf. Voievozi”",municipiul SLOBOZIA,Aleea Mănăstirii 2 sec.,XVII - XIX
91,IL-II-m-A-14074.01,"Biserica ""Sf. Voievozi”",municipiul SLOBOZIA,Aleea Mănăstirii 2 1848,
92,IL-II-m-A-14074.02,Zid de incintă,municipiul SLOBOZIA,Aleea Mănăstirii 2 sec.,XVII - XIX
93,IL-II-m-B-14077,"Biserica ""Sf. Nicolae”",sat ALEXENI; comuna ALEXENI,"Str. Primăriei, La S de DN 1817 2A",
94,IL-II-m-B-14078,Şcoală,sat ANDRĂŞEŞTI; comuna ANDRĂŞEŞTI,DN 2A 1928,
95,IL-II-m-A-14079,"Biserica ""Sf. Gheorghe”",sat ARMĂŞEŞTI; comuna ARMĂŞEŞTI,"Str. Bisericii nr. 37 1778,",transf. 1859
96,IL-II-m-A-14080,"Şcoala Agricolă ""Iordache Zossima""",sat ARMĂŞEŞTI; comuna ARMĂŞEŞTI,Str. Bisericii nr. 35 1887,
97,IL-II-m-B-14081,Primăria,sat ARMĂŞEŞTI; comuna ARMĂŞEŞTI,Str. Principală nr. 4 1882,
98,IL-II-m-B-14082,Spitalul,sat ARMĂŞEŞTI; comuna ARMĂŞEŞTI,Str. Principală nr. 1 1889,
99,IL-II-m-B-14083,Spitalul,sat ARMĂŞEŞTI; comuna ARMĂŞEŞTI BALACIU,Str. Principală nr. 1 1925 5 km sud de DN 2A,
101,IL-II-m-B-14110.01,"Biserica ""Adormirea Maicii Domnului” a schitului Balaciu",sat BALACIU; comuna BALACIU,"Str. Mănăstirilor 15, la cca. 1821 5 km sud de DN 2A -","- 1841, reconstr.1991 1995"
102,IL-II-m-B-14110.02,Turn clopotniță,sat BALACIU; comuna BALACIU,"Str. Mănăstirilor 15, la cca. 1821 5 km sud de DN 2A",- 1841
103,IL-II-m-B-14084,"Biserica ""Sf. Nicolae”",sat BĂRBULEŞTI; comuna BĂRĂBULEȘTI,"DN 10, lângă şcoală 1754,",ref. 1873
104,IL-II-m-B-14085,"Biserica ""Sf. Împăraţi Constantin şi Elena”",sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Mihai Viteazul nr. 69 1876,– 1881
105,IL-II-m-B-14086,Casa Marius Ionescu,sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Mihai Viteazul nr. 82 1909,
106,IL-II-m-B-14087,Casă cu prăvălie pe colţ,sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Mihai Viteazul nr. 107 1910,
107,IL-II-m-B-14088,Conacul Iancu Ionescu,sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Mihai Viteazul nr. 150 1914,
108,IL-II-m-B-14089,Casa Alexandru Manolescu,Str. Mihai Viteazul 150,nr. Str. Mihai Viteazul nr. 111 1924,
109,IL-II-m-B-14090,Casa Alexandru Ionescu,sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Ionescu Alexandru nr. 1919 1,
110,IL-II-m-B-14091,Conacul Elena Duţi,sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Mihai Viteazul nr. 90 1939,
111,IL-II-m-B-14092,Casa Toader Roşca,sat BĂRCĂNEŞTI; comuna BĂRCĂNEŞTI,Str. Mihai Viteazul nr. 217 1936,
112,IL-II-m-B-14093,Conacul Nicu Chiroiu,sat BORĂNEŞTI; comuna BORĂNEŞTI comuna BORDUŞANI,"DJ 201, la ieşirea din sat 1889",
114,IL-II-m-B-14095,Şcoală,sat BORDUŞANI; comuna BORDUŞANI,"DS 672, spre Cegani 1924",
115,IL-II-m-B-14096,"Biserica ""Sf. Ierarh Nicolae”",sat BORDUŞANI; comuna BORDUŞANI,"Str. Primăverii f.n., spre 1895 Cegani",- 1898
116,IL-II-m-A-14097,"Biserica ""Sf. Nicolae”",sat RĂDULEȘTI; comuna RĂDULEȘTI,"Str. Primăriei nr. 21 1714,",refaceri 1834
117,IL-II-m-A-14098,"Biserica ""Sf. Nicolae”",sat BROŞTENI; comuna ION ROATĂ,"DS 1134, la cca. 500 m de 1854 DN 2A",
118,IL-II-m-B-14099,Şcoala veche,sat BROŞTENI; comuna ION ROATĂ,"DS 1134, la cca. 150 m de 1839 DN 2A",
119,IL-II-a-A-14100,Curtea familiei Zappa,sat BROŞTENI; comuna ION ROATĂ,"DS 1134, la cca. 300 m de 1857 DN 2A",
120,IL-II-m-A-14100.01,Ruinele conacului Zappa,sat BROŞTENI; comuna ION ROATĂ,"DS 1134, la cca. 300 m de 1857 DN 2A",
121,IL-II-m-A-14100.03,Fragment zid de incintă (latura nord-est),sat BROŞTENI; comuna ION ROATĂ,"DS 1134, la cca. 300 m de 1857 DN 2A",
122,IL-II-m-B-14101,Şcoală,oraş CĂZĂNEŞTI,Str. Bucureşti 68 1905,
123,IL-II-m-B-14102,"Biserica ""Sf. Nicolae”",oraş CĂZĂNEŞTI,"Str. Bucureşti 70, lângă 1858 şcoală",
124,IL-II-m-B-14103,Conacul Nicu Chiroiu,sat CONDEEŞTI; comuna BĂRCĂNEŞTI,Șoseaua Mihai Viteazul nr. 1926 70,
125,IL-II-m-B-14104,Casa Petre Niculescu,sat COPUZU; comuna BALACIU comuna COSÂMBEŞTI,la E de strada principală 1910 nr. 45,
127,IL-II-m-A-14106.01,Conacul Bolomey,sat COSÂMBEŞTI; comuna COSÂMBEŞTI,Șoseaua Slobozia-Țăndărei 1898 nr. 45,
128,IL-II-m-A-14106.02,Anexă,sat COSÂMBEŞTI; comuna COSÂMBEŞTI,Șoseaua Slobozia-Țăndărei 1898 nr. 45,
129,IL-II-m-B-14107,"Biserica ""Sf. Nicolae”",sat COSÂMBEŞTI; comuna COSÂMBEŞTI,Șoseaua Slobozia-Țăndărei 1859 nr. 58,
130,IL-II-m-B-14108,Casa Cristofor Zupcu,sat COSÂMBEŞTI; comuna COSÂMBEŞTI,Șoseaua Slobozia-Țăndărei 1901 nr. 174,
131,IL-II-m-B-14109,Casa Frusina Popescu,sat COSÂMBEŞTI; comuna COSÂMBEŞTI,Șoseaua Slobozia-Țăndărei 1891 nr. 176,
132,IL-II-m-A-14111,"Biserica de lemn ""Cuvioasa Paraschiva”",sat DRIDU-SNAGOV; comuna DRIDU,Str. Salcâmului nr. 28 1774,– 1782
133,IL-II-m-B-14112,Casa Virgil Tănase,sat DRIDU-SNAGOV; comuna DRIDU,Str. Caisului nr. 33 1924,
134,IL-II-m-B-14113,Conacul Aurel Bentoiu,sat FĂCĂENI; comuna FĂCĂENI,Str. Spicului nr. 6 1937,
135,IL-II-a-A-14114,"Podurile dintre Feteşti şi Cernavodă - ""Anghel Saligny""",municipiul FETEŞTI,Între localităţile Feteşti şi 1890 Cernavodă,- 1895
136,IL-II-m-B-14119,Moară ţărănească,municipiul FETEŞTI,Str. Borcea 55 înc.,sec. XX
137,IL-II-m-B-14118,"Biserica ""Adormirea Maicii Domnului”",municipiul FETEŞTI,Str. Brâncoveanu 1882 Constantin 11,
138,IL-II-m-B-14115,Casă cu prăvălie,municipiul FETEŞTI,Str. Călăraşi 186 1923,
140,IL-II-m-B-14116,Şcoală (Şcoala generală nr.,2) municipiul FETEŞTI,Str. Călăraşi 289 1873,
141,IL-II-m-B-14117,Spitalul,municipiul FETEŞTI,Str. Călăraşi 475 1908,
142,IL-II-m-B-14120,"Biserica ""Sf. Nicolae”",municipiul FETEŞTI,Str. Plevnei 1 1884,
143,IL-II-a-A-14121,Ansamblul Gării Feteşti,municipiul FETEŞTI,Str. Saligny Anghel 1 1887,
144,IL-II-m-A-14121.01,Gara Feteşti,municipiul FETEŞTI,Str. Saligny Anghel 1 1887,
145,IL-II-m-A-14121.02,Depoul CFR Feteşti-Gară,municipiul FETEŞTI,Str. Saligny Anghel 1 1887,
146,IL-II-m-B-20199,"Biserica ""Sf. Nicolae”",sat aparţinător FIERBINŢII DE JOS; oraş FIERBINŢI-TÂRG,Str. Bisericii 8 1854,
147,IL-II-m-B-14125,"Biserica ""Adormirea Maicii Domnului”",sat aparţinător FIERBINŢII DE SUS; oraş FIERBINŢI-TÂRG,Str. Malului 710 1842,
148,IL-II-m-B-14124,Casa Alexe Tănase,sat aparţinător FIERBINŢII DE SUS; oraş FIERBINŢI-TÂRG,Calea Urziceni 651 1922,
149,IL-II-m-B-14127,Primăria,oraş FIERBINŢI-TÂRG,Str. Bucureşti 56 1929,
150,IL-II-m-B-14126,"Biserica ""Sf. Gheorghe”",oraş FIERBINŢI-TÂRG comuna CIULNIŢA,"Str. Poştei 32bis 1863,",ref. 1915
152,IL-II-m-A-14129,"Biserica ""Sf. Maria”",sat aparţinător GRECII DE JOS; oraş FIERBINŢI-TÂRG,Str. Micşuneşti 27 1754,
