Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,IS-I-s-B-03505,"Situl arheologic de la Iaşi, punct ""Crucea lui Ferenţ""",municipiul IAŞI,"""Crucea lui Ferentz” în dreptul şoselei Nicolina nr. 5",
3,IS-I-m-B-03505.01,Aşezare,municipiul IAŞI,"""Crucea lui Ferentz” în dreptul şoselei Nicolina nr. 5","sec. XI - XIII, Epoca medieval timpurie"
4,IS-I-m-B-03505.02,Aşezare,municipiul IAŞI,"""Crucea lui Ferentz” în dreptul şoselei Nicolina nr. 5","sec. IX - X, Epoca medieval timpurie, cultura Dridu"
5,IS-I-m-B-03505.03,Aşezare,municipiul IAŞI,"""Crucea lui Ferentz” în dreptul şoselei Nicolina nr. 5 Nicolina nr. 5","sec. VI - VII, Epoca migraţiilor"
7,IS-I-s-B-03506,"Situl arheologic de la Iaşi, punct ""Splaiul Bahluiului""",municipiul IAŞI,"""Splaiul Bahluiului” pe tot sectorul cuprins între Podu Trancu şi Podu Roş","Eneolitic, cultura Cucuteni, faza A3"
8,IS-I-s-B-03507,"Situl arheologic de la Iaşi, punct ""Gârla Breazu""",municipiul IAŞI,"""Gârla Breazu” în partea de N a pădurii Breazu, pe panta de SV a dealului, în via Institutului Agronomic",
9,IS-I-m-B-03507.01,Aşezare,municipiul IAŞI,"""Gârla Breazu” în partea de N a pădurii Breazu, pe panta de SV a dealului, în via Institutului Agronomic","sec. XVI - XVII, Epoca medievală"
10,IS-I-m-B-03507.02,Aşezare,municipiul IAŞI,"""Gârla Breazu” în partea de N a pădurii Breazu, pe panta de SV a dealului, în via Institutului Agronomic","sec. XIV - XV, Epoca medievală"
11,IS-I-m-B-03507.03,Aşezare,municipiul IAŞI,"""Gârla Breazu” în partea de N a pădurii Breazu, pe panta de SV a dealului, în via Institutului Agronomic","sec. II - I a. Chr., Latène"
12,IS-I-s-B-03508,"Situl arheologic de la Iaşi, punct ""Hlincea""",municipiul IAŞI,"""Hlincea”, în marginea de S a mun. Iaşi, ambele maluri ale pârâului Nicolina, între Mănăstirea Cetăţuia, sat Hlincea şi fostul Târguşor Nicolina","pe sec. VIII - XVIII, Epoca medievală"
13,IS-I-s-B-03509,"Situl arheologic de la Iaşi, punct "" Str. C. Negri""",municipiul IAŞI,"Str. Negri Costache 37-39, intersecţia str. Negri, Costache cu str. Armeană, pe terenul actualei parcări","sec. XVI - XVIII, Epoca medievală"
14,IS-I-s-B-03510,"Situl arheologic din incinta ""S.C. IPROCHIM S.A."" şi ""GOLIA S.A.""",municipiul IAŞI,"Str. Negri Costache 48, în incinta S.C. IPROCHIM S.A. şi GOLIA S.A.",
15,IS-I-m-B-03510.01,"Ansamblu de curte domnească ""Sf. Sava”",municipiul IAŞI,"Str. Negri Costache 48, în incinta S.C. IPROCHIM S.A. şi GOLIA S.A. IPROCHIM S.A. şi GOLIA S.A.","sec. XV - XVII, Epoca medievală medievală"
17,IS-I-s-B-03511,"Situl arheologic din incinta Liceului ""Vasile Alecsandri""",municipiul IAŞI,"Str. Negri Costache 50, în incinta Liceului ""Vasile Alecsandri""","sec. XV - XVI, Epoca medievală"
18,IS-I-s-A-03512,"Situl arheologic de la Iaşi, punct ""Bd. Ştefan cel Mare şi Sfânt""",municipiul IAŞI,"Bd. Ştefan cel Mare şi Sfânt, frontul de între magazinul Materna şi blocul Cooperaţiei","V, sec. XIV - XVII, Epoca medievală"
19,IS-I-s-B-03513,"Situl arheologic de la Albeşti, punct “Moara lui Chilcoş""",sat ALBEŞTI; comuna BRĂEŞTI,"“La Moara lui Chilcoş"", la 400 m S de sat, între izvorul Gârla Morii şi pârâul Albeşti",
20,IS-I-m-B-03513.01,Aşezare,sat ALBEŞTI; comuna BRĂEŞTI,"“La Moara lui Chilcoş"", la 400 m S de sat, între izvorul Gârla Morii şi pârâul Albeşti","sec. XVI – XVIII, Epoca medievală"
21,IS-I-m-B-03513.02,Aşezare,sat ALBEŞTI; comuna BRĂEŞTI,"“La Moara lui Chilcoş"", la 400 m S de sat, între izvorul Gârla Morii şi pârâul Albeşti","sec. XIV – XV, Epoca medievală"
22,IS-I-s-B-03514,"Situl arheologic de la Alexandru Ioan Cuza, punct ""La Movilă""",sat ALEXANDRU I. CUZA; comuna ALEXANDRU I. CUZA,"""La Movilă"", la 2 km V de sat, pe malul al Siretului, o movilă",stâng
23,IS-I-s-B-03515,"Situl arheologic de la Alexandru Ioan Cuza, punct ""Ţarina de Jos""",sat ALEXANDRU I. CUZA; comuna ALEXANDRU I. CUZA,"""Ţarina de Jos"", la cca. 300 m SE de sat, confluenţa pârâului Ţiganca (în stânga) Siretul",la cu
24,IS-I-m-B-03515.01,Aşezare,sat ALEXANDRU I. CUZA; comuna ALEXANDRU I. CUZA,"""Ţarina de Jos"", la cca. 300 m SE de sat, confluenţa pârâului Ţiganca (în stânga) Siretul","la sec. XVII - XVIII, Epoca cu medievală"
25,IS-I-m-B-03515.02,Aşezare,sat ALEXANDRU I. CUZA; comuna ALEXANDRU I. CUZA I. CUZA; comuna,"""Ţarina de Jos"", la cca. 300 m SE de sat, confluenţa pârâului Ţiganca (în stânga) Siretul confluenţa pârâului Ţiganca (în stânga)","la sec. XV, Epoca cu medievală cu daco-romană"
