Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,IF-I-s-B-15131,Situl arheologic de la Buftea,oraş BUFTEA,"În punct ""La Abator"", pe malul est al lacului Flămânzeni",
3,IF-I-m-B-15131.01,Aşezare,oraş BUFTEA,"În punct ""La Abator"", pe malul de est lacului Flămânzeni",al sec. XVI
4,IF-I-m-B-15131.02,Aşezare,oraş BUFTEA,"În punct ""La Abator"", pe malul de est lacului Flămânzeni",al sec. IX - XI
5,IF-I-m-B-15131.03,Aşezare,oraş BUFTEA,"În punct ""La Abator"", pe malul est al lacului Flămânzeni",sec. III - IV p. Chr.
6,IF-I-s-B-15132,Aşezare,oraş BUFTEA,"În punct ""La Gropi"", pe malul est al lacului Buciumeni",Eneolitic târziu
7,IF-I-s-B-15133,Situl arheologic de la Buftea,oraş BUFTEA,"În punct ""La Gutui"", pe malul est al lacului Buciumeni",
8,IF-I-m-B-15133.01,Aşezare,oraş BUFTEA,"În punct ""La Gutui"", pe malul est al lacului Buciumeni",sec. X - XI
9,IF-I-m-B-15133.02,Aşezare,oraş BUFTEA,"În punct ""La Gutui"", pe malul est al lacului Buciumeni",sec. III - IV p. Chr.
10,IF-I-s-B-15134,Situl arheologic de la Buftea,oraş BUFTEA,"În punct ""Calul Bălan"", pe malul sud- vest al lacului Buftea vest al lacului Buftea",
12,IF-I-m-B-15134.02,Aşezare,oraş BUFTEA,"În punct ""Calul Bălan"", pe malul sud- vest al lacului Buftea",sec. I a. Chr.- I p. Chr.
13,IF-I-s-A-15135,Situl arheologic de la Buftea,oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al
14,IF-I-m-A-15135.01,Biserică (ruine),oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al sec. XVI
15,IF-I-m-A-15135.02,Aşezare,oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al sec. XIV - XVI
16,IF-I-m-A-15135.03,Necropolă,oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al sec. XIV - XVI
17,IF-I-m-A-15135.04,Aşezare,oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al sec. VI - VII
18,IF-I-m-A-15135.05,Aşezare,oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al sec. III - IV p. Chr.
19,IF-I-m-A-15135.06,Necropolă,oraş BUFTEA,"În punct ""La Cârna"", pe malul vestic lacului Buftea",al sec. III - IV p. Chr.
20,IF-I-s-B-15156,Situl arheologic de la Buciumeni,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la circa 1 km sud complexul de locuinţe al fostei Fabrici de oxigen; pe malul drept al pârâului Colentina, la nord-vest de CFR Bucureşti-Ploieşti", de
21,IF-I-m-B-15156.01,Aşezare,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la circa 1km sud complexul de locuinţe al fostei Fabrici",sec. XVIII - XIX de
22,IF-I-m-B-15156.02,Aşezare,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la circa 1km sud complexul de locuinţe al fostei Fabrici de oxigen",sec. II - I a. Chr. de
23,IF-I-m-B-15156.03,Aşezare,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la circa 1km sud complexul de locuinţe al fostei Fabrici de oxigen",Epoca bronzului de
24,IF-I-m-B-15156.04,Aşezare,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la nord-vest de CFR Bucureşti-Ploieşti",sec. XVI - XVIII
25,IF-I-m-B-15156.05,Aşezare,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la nord-vest de CFR Bucureşti-Ploieşti",sec. III - IV p. Chr.
26,IF-I-m-B-15156.06,Aşezare,oraş BUFTEA,"Cartier Buciumeni, pe malul drept al pârâului Colentina, la nord-vest de CFR Bucureşti-Ploieşti","Epoca neolitică, Cultura Gumelniţa"
27,IF-I-s-B-15137,"Situl arheologic de la Afumaţi, punct ""Pârâul Pasărea""",sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, imediat la est de şos. Afumaţi- Petrăchioaia",Epoca medievală
28,IF-I-m-B-15137.01,Manufactura lui Şerban Cantacuzino,sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, imediat la est de şos. Afumaţi- Petrăchioaia",sec. XVII - XVIII
29,IF-I-m-B-15137.02,Necropolă,sat AFUMAŢI; comuna AFUMAŢI AFUMAŢI,"Pe malul drept al pârâului Pasărea, imediat la est de şos. Afumaţi- Petrăchioaia imediat la est de şos. Afumaţi-",sec. XV - XVI
31,IF-I-s-B-15138,Curtea domnească a lui Radu de la Afumaţi,sat AFUMAŢI; comuna AFUMAŢI,"Pe malul stâng al pârâului Pasărea, la 300 m vest de şoseaua Afumaţi- Petrăchioaia","sec. XVI, Epoca medievală"
32,IF-I-s-B-15139,"Situl arheologic de la Afumaţi, punct ""Pârăul Pasărea""",sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, de la hotarul cu comuna Ştefăneştii de până în marginea vestică a satului Afumaţi", Jos
33,IF-I-m-B-15139.01,Aşezare,sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, de la hotarul cu comuna Ştefăneştii de până în marginea vestică a satului Afumaţi",Epoca medievală Jos
34,IF-I-m-B-15139.02,Aşezare,sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, de la hotarul cu comuna Ştefăneştii de până în marginea vestică a satului Afumaţi",sec. IX - XI Jos
35,IF-I-m-B-15139.03,Aşezare,sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, de la hotarul cu comuna Ştefăneştii de până în marginea vestică a satului Afumaţi",Epoca daco-romană Jos
36,IF-I-m-B-15139.04,Aşezare,sat AFUMAŢI; comuna AFUMAŢI,"Pe malul drept al pârâului Pasărea, de la hotarul cu comuna Ştefăneştii de până în marginea vestică a satului Afumaţi",Epoca geto-dacică Jos
