Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,MM-I-s-B-04364,"Cetatea din Baia Mare, punct ""Valea Borcutului""",municipiul BAIA MARE,"""Dealul Cetăţii"", la 500 m de staţia de exploziv, în cartierul Valea Borcutului",sec. XI - XV
2,MM-I-s-B-04365,"Situl arheologic de la Ardusat, punct “Sub pădure”",sat ARDUSAT; comuna ARDUSAT,“Sub pădure”,
3,MM-I-m-B-04365.01,Aşezare,sat ARDUSAT; comuna ARDUSAT,"""Sub pădure”",sec. II- IV p. Chr.
4,MM-I-m-B-04365.02,Aşezare,sat ARDUSAT; comuna ARDUSAT,"""Sub pădure”","Epoca bronzului, Cultura Suciu de Sus"
5,MM-I-s-B-04366,Aşezare,sat ARINIŞ; comuna ARINIŞ,"""Sub ogrăzi”","Epoca bronzului, Cultura Suciu de Sus"
6,MM-I-s-B-04367,"Situl arheologic de la Bârsana, punct “Cetăţuia”",sat BÂRSANA; comuna BÂRSANA,“Cetăţuia”,
7,MM-I-m-B-04367.01,Aşezare,sat BÂRSANA; comuna BÂRSANA,"""Cetăţuia”","Hallstatt, Cultura Gáva"
8,MM-I-m-B-04367.02,Aşezare,sat BÂRSANA; comuna BÂRSANA,"""Cetăţuia”","Epoca bronzului, Cultura Suciu de Sus"
9,MM-I-s-B-04368,Aşezare,sat BÂRSANA; comuna BÂRSANA,"""Podul Miresei”","Epoca bronzului, Cultura Suciu de Sus"
10,MM-I-s-A-04369,Cetatea Chioarului,sat BERCHEZOAIA; comuna REMETEA CHIOARULUI,,sec. XIII - XVIII
11,MM-I-s-B-04370,Aşezare,sat BICAZ; comuna BICAZ,"""Corbuţu”",sec. II - IV p. Chr.
12,MM-I-s-B-04371,"Situl arheologic de la Bicaz, punct ""Igoaie""",sat BICAZ; comuna BICAZ,“Igoaie”,
13,MM-I-m-B-04371.01,Aşezare,sat BICAZ; comuna BICAZ,"""Igoaie”",sec. II - IV p. Chr.
14,MM-I-m-B-04371.02,Aşezare,sat BICAZ; comuna BICAZ,"""Igoaie”",Epoca bronzului
15,MM-I-s-B-04372,"Situl arheologic de la Bicaz, punct ""Oarză""",sat BICAZ; comuna BICAZ,“Oarză”,
16,MM-I-m-B-04372.01,Aşezare,sat BICAZ; comuna BICAZ,"""Oarză”","sec. II - I a. Chr., Latène"
17,MM-I-m-B-04372.02,Aşezare,sat BICAZ; comuna BICAZ,"""Oarză”","Epoca bronzului, Cultura Wietenberg"
18,MM-I-s-A-04373,Necropolă tumulară,sat BICAZ; comuna BICAZ,"""Togul nemţilor”","Epoca bronzului, Cultura Suciu de Sus şi grupul Lăpuş"
