Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,MH-I-s-B-10045,"Situl arheologic de la Drobeta Turnu Severin, punct ""Schela Cladovei""",municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, de la șantierul naval până la ștrand, pe o fâșie de-a lungul Dunării până la calea ferată",
3,MH-I-m-B-10045.01,Aşezare,municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare","sec. XVII - XVIII, Epoca medievală"
4,MH-I-m-B-10045.02,Necropolă,municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare","sec. II - III p. Chr., Epoca romană"
5,MH-I-m-B-10045.03,Aşezare,municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare","sec. III p. Chr., Epoca romană"
6,MH-I-m-B-10045.04,Aşezare,municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare","sec. I a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
7,MH-I-m-B-10045.05,Aşezare,municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare","sec. VIII - VI a. Chr., Hallstatt"
8,MH-I-m-B-10045.06,Aşezare,municipiul DROBETA TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare","Epoca bronzului, Cultura Gârla Mare"
9,MH-I-m-B-10045.07,Aşezare,municipiul DROBETA TURNU SEVERIN TURNU SEVERIN,"Cartier Schela Cladovei, „Conducta IAS”, lângă staţia de pompare IAS”, lângă staţia de pompare","Neolitic timpuriu, Cultura Starčevo - Criş"
11,MH-I-m-A-10046,Ruinele bisericii medievale de la Drobeta Turnu Severin,municipiul DROBETA TURNU SEVERIN,"Str. Carol I 6, în parcul ,,Liceului „Traian”",sec. XIII - XIV
12,MH-I-s-A-10047,Situl arheologic de la Drobeta Turnu Severin,municipiul DROBETA TURNU SEVERIN,"Str. Independenţei 2, în curtea Muzeului Regiunii „Porţilor de Fier”",
13,MH-I-m-A-10047.01,Fortificaţie,municipiul DROBETA TURNU SEVERIN,"Str. Independenţei 2, în curtea Muzeului Regiunii „Porţilor de Fier”",sec. XIII - XV
14,MH-I-m-A-10047.02,Terme,municipiul DROBETA TURNU SEVERIN,"Str. Independenţei 2, în curtea Muzeului Regiunii „Porţilor de Fier”",sec. II - VI p. Chr.
15,MH-I-m-A-10047.03,Castrul Drobeta,municipiul DROBETA TURNU SEVERIN,"Str. Independenţei 2, în curtea Muzeului Regiunii „Porţilor de Fier”",sec. II - VI p. Chr.
16,MH-I-m-A-10047.04,Podul lui Traian (ruina),municipiul DROBETA TURNU SEVERIN,"Str. Independenţei 2, în curtea Muzeului Regiunii „Porţilor de Fier”",sec. II p. Chr.
17,MH-I-m-A-10047.05,Amfiteatrul roman,municipiul DROBETA TURNU SEVERIN,"Str. Independenţei 2, în curtea Muzeului Regiunii „Porţilor de Fier”",sec. II p. Chr.
