Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,MS-I-s-B-15338,"Situl arheologic de la Târgu Mureş, punct ""Dâmbul Pietros""",municipiul TÂRGU MUREŞ,"""Dâmbul Pietros""",Hallstatt
2,MS-I-m-B-15338.01,Aşezare,municipiul TÂRGU MUREŞ,"""Dâmbul Pietros"", cartier 1848",Hallstatt
3,MS-I-m-B-15338.02,Necropolă,municipiul TÂRGU MUREŞ,"""Dâmbul Pietros"", cartier 1848",Hallstatt
4,MS-I-s-B-15339,"Situl arheologic de la Târgu Mureş, punct ""Cotitura Dâmbului”",municipiul TÂRGU MUREŞ,"""Cotitura Dâmbului”",
5,MS-I-m-B-15339.01,Aşezare,municipiul TÂRGU MUREŞ,"""Cotitura Dâmbului”, pe terasa de deasupra drumului ce duce la Budiul Mic","Latène, Cultura geto - dacică"
6,MS-I-m-B-15339.02,Aşezare,municipiul TÂRGU MUREŞ,"""Cotitura Dâmbului”, pe terasa de deasupra drumului ce duce la Budiul Mic",Epoca bronzului
7,MS-I-s-B-15340,Necropolă,sat BAND; comuna BAND,"""Cetatea Surpăturii"", 2,5 km SV de Band",Latène
8,MS-I-s-B-15341,Aşezarea de la Batoș,sat BATOȘ; comuna BATOȘ,"""Grajduri”","sec. III - IV p. Chr., Cultura Sântana de Mureş - Cerneahov"
9,MS-I-s-B-15342,"Situl arheologic de la Batoş, punct ""Gledinel""",sat BATOŞ; comuna BATOŞ,"""Gledinel”",
10,MS-I-m-B-15342.01,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu",sec. VIII - X
11,MS-I-m-B-15342.02,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu",Epoca daco-romană
12,MS-I-m-B-15342.03,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu","Latène, Cultura geto - dacică"
13,MS-I-m-B-15342.04,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu",Hallstatt
14,MS-I-m-B-15342.05,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu","Epoca bronzului, Cultura Wietenberg"
15,MS-I-m-B-15342.06,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
16,MS-I-m-B-15342.07,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu","Neolitic, Cultura Petreşti"
17,MS-I-m-B-15342.08,Aşezare,sat BATOŞ; comuna BATOŞ,"""Gledinel”, pe terasa inferioară a pârâului Lutu","Neolitic timpuriu, Cultura Starčevo - Criş"
18,MS-I-s-A-15343,Situl arheologic de la Batoş,sat BATOŞ; comuna BATOŞ,"""La Cetate”",
19,MS-I-m-A-15343.01,Aşezare fortificată,sat BATOŞ; comuna BATOŞ,"""La Cetate”, în direcţia drumului ce duce spre Bistriţa, la 4 km de comună",sec. XIII
20,MS-I-m-A-15343.02,Aşezare fortificată,sat BATOŞ; comuna BATOŞ,"""La Cetate”, în direcţia drumului ce duce spre Bistriţa, la 4 km de comună",Eneolitic
21,MS-I-s-B-15344,Necropola birituală de la Băiţa,sat BĂIŢA; comuna LUNCA,"""La Jie”, la 350 m E-NE de sat",Hallstatt
22,MS-I-s-B-15345,Situl arheologic de la Bernadea,sat BERNADEA; comuna BAHNEA,"""Dâmbău”",
23,MS-I-m-B-15345.01,Aşezare fortificată,sat BERNADEA; comuna BAHNEA,"""Dâmbău”, promontoriu dominant, la marginea satului","Latène, Cultura geto - dacică"
24,MS-I-m-B-15345.02,Aşezare,sat BERNADEA; comuna BAHNEA,"""Dâmbău”, promontoriu dominant, la marginea satului","Epoca bronzului, Cultura Wietenberg"
25,MS-I-m-B-15345.03,Aşezare,sat BERNADEA; comuna BAHNEA,"""Dâmbău”, promontoriu dominant, la marginea satului","Neolitic, Cultura Petreşti"
26,MS-I-m-B-15345.04,Aşezare,sat BERNADEA; comuna BAHNEA,"""Dâmbău”, promontoriu dominant, la marginea satului","Neolitic timpuriu, Cultura Starčevo - Criş"
27,MS-I-s-B-15346,Aşezare,sat BEZID; comuna SÂNGEORGIU DE PĂDURE,"""Fîneaţa Mare”(Nagyzenafü)",sec. VI - VII
28,MS-I-m-B-15346.01,Aşezare,sat BEZID; comuna SÂNGEORGIU DE PĂDURE,"""Fîneaţa Mare”(Nagyzenafü), bot de deal pe malul stâng al pârâului Loţ",sec. VI - VII
29, MS-I-m-B-15346.02, Aşezare, sat BEZID; comuna SÂNGEORGIU DE PĂDURE," ""Fîneaţa Mare”(Nagyzenafü), bot de deal pe malul stâng al pârâului Loţ"," Latène, Cultura geto - dacică"
30,MS-I-s-B-15347,Aşezare,sat BEZID; comuna SÂNGEORGIU DE PĂDURE,"""Loţ”, pe malul drept al pârâului Loţ","Latène, Cultura geto - dacică"
31,MS-I-s-B-15348,Aşezare,sat BEZID; comuna SÂNGEORGIU DE PĂDURE,terenul lui Raduly Ferenc,"Epoca migraţiilor, Cultura Sântana de Mureş - Cerneahov"
32,MS-I-s-B-15349,Situl arheologic de la Bogata,sat BOGATA; comuna BOGATA,"""Dâlma bisericii”",
33,MS-I-m-B-15349.01,Aşezare,sat BOGATA; comuna BOGATA,"""Dâlma bisericii”, în vatra satului",Epoca medievală
34,MS-I-m-B-15349.02,Aşezare,sat BOGATA; comuna BOGATA,"""Dâlma bisericii”, în vatra satului",Epoca daco-romană
