Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,NT-I-s-A-10480,"Situl arheologic de la Piatra Neamţ, punct ""Dealul Bâtca Doamnei""",municipiul PIATRA NEAMŢ,"""Dealul Bâtca Doamnei”",
3,NT-I-m-A-10480.01,Aşezare,municipiul PIATRA NEAMŢ,"""Dealul Bâtca Doamnei”",sec. XI - XIII
4,NT-I-m-A-10480.02,Aşezare fortificată,municipiul PIATRA NEAMŢ,"""Dealul Bâtca Doamnei”",sec. II a. Chr. - sec. I p. Chr.
5,NT-I-s-A-10481,Cetate de pământ,municipiul PIATRA NEAMŢ,"""Troian”",sec. II p. Chr.
6,NT-I-s-B-10482,Aşezare,sat BAHNA; comuna BAHNA,"""În Livezi”",sec. II - III p. Chr.
7,NT-I-s-B-10483,"Situl arheologic de la Bârgăuani ""Dealul Coşăriei""",sat BÂRGĂUANI; comuna BÂRGĂUANI,"""Dealul Coşăriei”, la N-V de şcoală generală",
8,NT-I-m-B-10483.01,Aşezare,sat BÂRGĂUANI; comuna BÂRGĂUANI,"""Dealul Coşăriei”, la N-V de şcoală generală",Epoca bronzului
9,NT-I-m-B-10483.02,Aşezare,sat BÂRGĂUANI; comuna BÂRGĂUANI,"""Dealul Coşăriei”, la N-V de şcoală generală",Neolitic
10,NT-I-s-B-10484,Aşezare,sat BICAZ-CHEI; comuna BICAZ-CHEI comuna BODEŞTI,"""Munticelu”","Paleolitic superior, Cultura Gravettian Cucuteni, fazele A, A-B,"
12,NT-I-s-B-10486,Aşezare,sat BORNIŞ; comuna DRAGOMIREŞTI,"""Silişte”",sec. XIV - XVII
13,NT-I-s-B-10487,"Situl arheologic de la Bozieni, punct ""La Cenuşărie""",sat BOZIENI; comuna BOZIENI,"""La Cenuşărie”",
14,NT-I-m-B-10487.01,Aşezare,sat BOZIENI; comuna BOZIENI,"""La Cenuşărie”",sec. XV - XVII
15,NT-I-m-B-10487.02,Aşezare,sat BOZIENI; comuna BOZIENI,"""La Cenuşărie”",sec. II - III p. Chr.
16,NT-I-s-B-10488,Aşezare,sat BOZIENI; comuna BOZIENI,"""La Cuptoare”",sec. XV - XVII
17,NT-I-s-B-10489,Aşezare,sat BRĂSĂUŢI; comuna DUMBRAVA ROŞIE,"""La Şcoală”",sec. VIII - IX
18,NT-I-s-B-10490,"Situl arheologic de la Butnăreşti, punct ""La Chiuaru""",sat BUTNĂREŞTI; comuna SECUIENI,"""La Chiuaru”",
19, NT-I-m-B-10490.01, Necropolă, sat BUTNĂREŞTI; comuna SECUIENI," ""La Chiuaru”", sec. II - III p. Chr.
20,NT-I-m-B-10490.02,Aşezare,sat BUTNĂREŞTI; comuna SECUIENI,"""La Chiuaru”",sec. II - III p. Chr.
21,NT-I-m-B-10490.03,Aşezare,sat BUTNĂREŞTI; comuna SECUIENI,"""La Chiuaru”",Hallstatt
22,NT-I-s-B-10491,"Situl arheologic de la Căşăria, punct ""Dealul Mătăhuia""",sat CĂŞĂRIA; comuna DOBRENI DOBRENI,"""Dealul Mătăhuia”"," Cucuteni, faza A"
24,NT-I-m-B-10491.02,Aşezare,sat CĂŞĂRIA; comuna DOBRENI,"""Dealul Mătăhuia”","Neolitic, Cultura Cucuteni, fazele A, B"
25,NT-I-s-B-10492,Aşezare,sat CÂNDEŞTI; comuna CÂNDEŞTI,"""Dealul Cetăţuia”",sec. II - III p. Chr.
26,NT-I-s-B-10493,Aşezare,sat CORNI; comuna BODEŞTI,"""Strâmbi”",sec. XV - XVII
27,NT-I-s-B-10494,"Situl arheologic de la Costişa, ""Dealul Cetăţuia""",sat COSTIŞA; comuna COSTIŞA,"""Dealul Cetăţuia”, la 2 km de Dealul Stanciului, pe terasa superioară din stânga râului Bistriţa",
28,NT-I-m-B-10494.01,Aşezare fortificată,sat COSTIŞA; comuna COSTIŞA,"""Dealul Cetăţuia”, la 2 km de Dealul Stanciului, pe terasa superioară din stânga râului Bistriţa",Epoca bronzului
29,NT-I-m-B-10494.02,Aşezare,sat COSTIŞA; comuna COSTIŞA,"""Dealul Cetăţuia”, la 2 km de Dealul Stanciului, pe terasa superioară din stânga râului Bistriţa",Neolitic
30,NT-I-s-B-10495,Necropolă,sat DAVID; comuna VĂLENI,"""La Ţarinî”",sec. II - III p. Chr.
31,NT-I-s-B-10496,"Situl arheologic de la Davideni, punct ""La Izvoare - Spieşti""",sat DAVIDENI; comuna ŢIBUCANI,"""La Izvoare - Spieşti”",
32,NT-I-m-B-10496.01,Aşezare,sat DAVIDENI; comuna ŢIBUCANI,"""La Izvoare - Spieşti”","sec. VI - VIII, Epoca migraţiilor"
33,NT-I-m-B-10496.02,Aşezare,sat DAVIDENI; comuna ŢIBUCANI ŢIBUCANI,"""La Izvoare - Spieşti”",Hallstatt
35,NT-I-m-B-10496.04,Aşezare,sat DAVIDENI; comuna ŢIBUCANI,"""La Izvoare - Spieşti”","Epoca bronzului târziu, Cultura Noua"
36,NT-I-s-B-10497,Cetate,sat DOCHIA; comuna DOCHIA,"""Cetăţuia Sărăţica”",Hallstatt
37,NT-I-s-B-10498,Morminte,sat DOCHIA; comuna DOCHIA,"""La Perdele”","sec. II-III p. Chr., Cultura carpică"
38,NT-I-s-B-10499,Aşezare,sat DRAGOMIREŞTI; comuna DRAGOMIREŞTI,"""La Silişte”, în vatra satului, la m S de şcoală",500 sec. II - III p. Chr.
