Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,OT-I-m-B-08478.01,Așezare,municipiul SLATINA,"Str. Cireaşov, punct ""Sălişte”",sec. IV p. Chr.
3,OT-I-m-B-08478.02,Așezare,municipiul SLATINA,"Str. Cireaşov, punct ""Sălişte”","sec. II - I a. Chr., Latène"
4,OT-I-s-B-08479,Situl arheologic de la Slatina,municipiul SLATINA,Str. Piteşti,
5,OT-I-m-B-08479.01,Așezare,municipiul SLATINA,Str. Piteşti,sec. V - X
6,OT-I-m-B-08479.02,Așezare,municipiul SLATINA,Str. Piteşti,"sec. IV - I a. Chr., Latène"
7,OT-I-m-B-08479.03,Așezare,municipiul SLATINA,Str. Piteşti,"Epoca bronzului, Cultura Verbicioara"
8,OT-I-m-B-08479.04,Așezare,municipiul SLATINA,Str. Piteşti,"Epoca bronzului timpuriu, Cultura Glina"
9,OT-I-m-B-08479.05,Așezare,municipiul SLATINA,Str. Piteşti,"Neolitic, Cultura Sălcuţa"
10,OT-I-s-A-08480,Castru roman pe limes Transalutanus,sat ALBEŞTI; comuna POBORU comuna IZVOARELE,,"sec. III p. chr., Epoca romană"
12,OT-I-s-B-08482,Aşezare,sat BĂLĂNEŞTI; comuna MĂRUNŢEI,"""La izvor”","sec. VI - V a. Chr., Hallstatt târziu"
13,OT-I-s-B-08483,Aşezare,sat BĂRCĂNEŞTI; comuna VÂLCELE,"""Dealul Căpriorii”","sec. VI - V a. Chr., Hallstatt târziu"
14,OT-I-s-B-08484,Aşezare,sat BERIA; comuna OPORELU,"""Dealul Carantinei”","sec. IV - II a. Chr., Latène"
15,OT-I-s-B-08486,Aşezarea fortificată de la Braneţ,sat BRANEŢ; comuna BÂRZA,"""Piscul Rusului”","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
16,OT-I-s-A-08485,Situl arheologic de la Brâncoveni,sat BRÂNCOVENI; comuna BRÂNCOVENI,,
17,OT-I-m-A-08485.01,Aşezare,sat BRÂNCOVENI; comuna BRÂNCOVENI,La 2 km V faţă de mănăstire,sec. XIV - XVI
18,OT-I-m-A-08485.02,Aşezare,sat BRÂNCOVENI; comuna BRÂNCOVENI,,sec. II - III p. Chr.
19,OT-I-m-A-08485.03,Aşezare,sat BRÂNCOVENI; comuna BRÂNCOVENI,,1800 a. Chr.
20,OT-I-m-B-08487,Tell,sat BREBENI-SÂRBI; comuna BREBENI,,"Neolitic, Cultura Sălcuţa"
21,OT-I-s-A-08488,Așezare fortificată,sat BUICEŞTI; comuna PRISEACA,"""Valea Ailaltă”","sec. II - I a. Chr., Latène, Cultura geto - dacică"
22,OT-I-m-A-08489,Ruinele curţii domneşti a lui Mihai Viteazul,municipiul CARACAL,Str. Mihai Viteazul 3,sec. XVI
23,OT-I-s-B-08490,Așezare Sucidava,sat CÂRLOGANI; comuna CÂRLOGANI,"""Botul Stârcului”","Epoca bronzului timpuriu, Cultura Glina"
25,OT-I-s-A-08492,Cetatea romano- bizantină Sucidava,oraş CORABIA,,sec. II - III p. Chr.
26,OT-I-s-B-08493,Fântână,oraş CORABIA,,"sec. II p. Chr., Epoca romană"
27,OT-I-s-B-08494,Așezare,oraş CORABIA,,"sec. XIV - XVI, Epoca medievală"
28,OT-I-s-A-08495,Drumul Sucidava - Romula,oraş CORABIA,Str. Libertăţii,"sec. II - III p. Chr., Epoca romană"
29,OT-I-s-B-08496,Așezare,sat CORNĂŢELU; comuna POBORU,"""Vâlceaua lui Păiuş”","sec. II - I a. Chr., Latène, Cultura geto - dacică"
30,OT-I-s-B-08497,Situl arheologic de la Crâmpoia,sat CRÂMPOIA; comuna CRÂMPOIA,"""Măgura din Islaz”",
31,OT-I-m-B-08497.01,Așezare,sat CRÂMPOIA; comuna CRÂMPOIA,"""Măgura din Islaz”","Eneolitic, Cultura Gumelniţa"
32,OT-I-m-B-08497.02,Așezare,sat CRÂMPOIA; comuna CRÂMPOIA,"""Măgura din Islaz”","Neolitic, Cultura Sălcuţa"
33,OT-I-s-B-08498,Tell-ul eneolitic de la Crâmpoia,sat CRÂMPOIA; comuna CRÂMPOIA,"""Rentea”","Eneolitic, Cultura Gumelniţa"
34,OT-I-s-B-08499,Așezare,sat CRUŞOVU; comuna BRASTAVĂŢU,,"Neolitic, Cultura Vădastra"
35,OT-I-s-B-08500,Așezare,sat DĂNEASA; comuna DĂNEASA,,"Neolitic, Cultura Sălcuţa"
36, OT-I-s-B-08501, Aşezarea daco-romană de la Drăgăneşti-Olt, oraş DRĂGĂNEŞTI-OLT," ""Sălişte”"," sec. II - IV p. Chr. timpuriu, Cultura Glina,"
38,OT-I-s-B-08503,Situl arheologic de la Drăgăneşti -Olt,oraş DRĂGĂNEŞTI-OLT,,
39,OT-I-m-B-08503.01,Aşezare,oraş DRĂGĂNEŞTI-OLT,,"Epoca bronzului timpuriu, Cultura Glina"
40,OT-I-m-B-08503.02,Aşezare,oraş DRĂGĂNEŞTI-OLT,,"Neolitic, Cultura Sălcuţa"
41,OT-I-s-B-08504,Aşezare,oraş DRĂGĂNEŞTI-OLT,"""Cişmeaua Papete”","Neolitic, Cultura Dudeşti"
