Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,PH-I-s-B-16113,"Situl arheologic de la Ploieşti, punct ""Bloc 122""",municipiul PLOIEŞTI,"""Bloc 122”, cartier Nord",
2,PH-I-m-B-16113.01,Aşezare,municipiul PLOIEŞTI,"""Bloc 122”, cartier Nord",sec. VI - VII p. Chr.
3,PH-I-m-B-16113.02,Aşezare,municipiul PLOIEŞTI,"""Bloc 122”, cartier Nord",Latène
4,PH-I-m-B-16113.03,Aşezare,municipiul PLOIEŞTI,"""Bloc 122”, cartier Nord","Epoca bronzului, Cultura Tei"
5,PH-I-m-B-16113.04,Aşezare,municipiul PLOIEŞTI,"""Bloc 122”, cartier Nord","Neolitic, Cultura Boian, faza Bolintineanu"
6,PH-I-s-B-16114,Aşezare,municipiul PLOIEŞTI,"""Str. Cuptoarelor - Str. Zăvoiului”",sec. IV - VII p. Chr.
7,PH-I-s-B-16115,"Situl arheologic de la Ploieşti, punct ""Lotul Stelian Marinescu""",municipiul PLOIEŞTI,"Lotul Stelian Marinescu, pe dreapta Dâmbului, cartier Pielari",
8,PH-I-m-B-16115.01,Aşezare,municipiul PLOIEŞTI,"Lotul Stelian Marinescu, pe dreapta Dâmbului, cartier Pielari",sec. V - VII p. Chr.
9,PH-I-m-B-16115.02,Aşezare,municipiul PLOIEŞTI,"Lotul Stelian Marinescu, pe dreapta Dâmbului, cartier Pielari",sec. IV - V p. Chr.
10,PH-I-m-B-16115.03,Aşezare,municipiul PLOIEŞTI,"Lotul Stelian Marinescu, pe dreapta Dâmbului, cartier Pielari",Latène
11,PH-I-m-B-16115.04,Aşezare,municipiul PLOIEŞTI,"Lotul Stelian Marinescu, pe dreapta Dâmbului, cartier Pielari",Epoca bronzului
12,PH-I-m-B-16115.05,Necropolă,municipiul PLOIEŞTI,"Lotul Stelian Marinescu, pe dreapta Dâmbului, cartier Pielari",Epoca bronzului
13,PH-I-m-B-16117,Aşezare,municipiul PLOIEŞTI,"La est de Vinalcool (azi S. C. Cramele Prahova S.A.), cartier Polux, Bariera Găgeni",sec. V - VII p. Chr.
14,PH-I-s-B-16118,Aşezare,municipiul PLOIEŞTI,"Pe malul vestic al pârâului Dâmbu, cartier Polux",sec. V - VII p. Chr.
15,PH-I-s-B-16119,Aşezare,municipiul PLOIEŞTI,"Pe malul vestic al pârâului Dâmbu, cartier Polux",sec. V - VII p. Chr.
16,PH-I-s-B-16120,Tumuli,municipiul PLOIEŞTI,"""Punct termic”, str. Minerva",Hallstatt
17,PH-I-s-A-16121,Târg,municipiul PLOIEŞTI,"Centrul Civic, la est de magazinul ""Mercur""",sec. XVII
18,PH-I-s-B-16122,"Situl arheologic de la Ploieşti, punct ""Str. Bădeşti""",municipiul PLOIEŞTI,Str. Bădeşti,
19,PH-I-m-B-16122.01,Aşezare,municipiul PLOIEŞTI,Str. Bădeşti,sec. II - III p. Chr.
20,PH-I-m-B-16122.02,Necropolă,municipiul PLOIEŞTI,Str. Bădeşti,sec. II - III p. Chr.
21,PH-I-s-B-16123,Castru,municipiul PLOIEŞTI,Str. Bădeşti,sec. II p. Chr.
22,PH-I-s-B-16124,Aşezare,municipiul PLOIEŞTI,Str. Clopoţei,sec. IX – X
23,PH-I-s-B-16125,"Situl arheologic de la Ploieşti, punct ""Str. Cornăţel""",municipiul PLOIEŞTI,Str. Cornăţel,
24,PH-I-m-B-16125.01,Aşezare,municipiul PLOIEŞTI,Str. Cornăţel,sec. V - VII p. Chr.
25,PH-I-m-B-16125.02,Aşezare,municipiul PLOIEŞTI,Str. Cornăţel,sec. IV - V p. Chr.
26,PH-I-m-B-16125.03,Aşezare,municipiul PLOIEŞTI,Str. Cornăţel,Latène
27,PH-I-m-B-16125.04,Aşezare,municipiul PLOIEŞTI,Str. Cornăţel,Epoca bronzului
28,PH-I-s-B-16126,Aşezare,municipiul PLOIEŞTI,Str. Cuptoarelor,sec. III - V p. Chr.
29,PH-I-s-B-16127,Aşezare (târg),municipiul PLOIEŞTI,"Str. Democraţiei, str. Toma Caragiu nr. 10, str. Gh. Lazăr, Muzeul Judeţean de Istorie şi Arheologie Prahova",sec. XVII - XVIII
30,PH-I-s-B-16128,Aşezare,municipiul PLOIEŞTI,"Str. Domnişori, la 200 m nord-est de Gara de Vest",Epipaleolitic
31,PH-I-s-B-16129,"Situl arheologic de la Ploieşti, punct ""Str. Lucernei""",municipiul PLOIEŞTI,"Str. Lucernei, colţ cu str. Trifoiului",
32,PH-I-m-B-16129.01,Aşezare,municipiul PLOIEŞTI,"Str. Lucernei, colţ cu str. Trifoiului",sec. VIII - X
33,PH-I-m-B-16129.02,Aşezare,municipiul PLOIEŞTI,"Str. Lucernei, colţ cu str. Trifoiului",sec. VI - VII p. Chr.
34,PH-I-m-B-16129.03,Aşezare,municipiul PLOIEŞTI,"Str. Lucernei, colţ cu str. Trifoiului",Epoca bronzului
35,PH-I-s-B-16130,Şanţ de apărare,municipiul PLOIEŞTI,Str. Luminişului,sec. II p. Chr.
36,PH-I-s-A-16131,Târg,municipiul PLOIEŞTI,Str. Matei Basarab,sec. XVI - XVII
37,PH-I-s-B-16132,Necropolă,municipiul PLOIEŞTI,"Str. Mihai Bravu, ""Biserica Sf. Nicolae Vechi”",sec. XVI - XVII
38,PH-I-s-B-16133,Aşezare,municipiul PLOIEŞTI,"Str. Mircea cel Bătrân, Cartier Dorobanţi",sec. II - III p. Chr.
39,PH-I-s-B-16134,Târg,municipiul PLOIEŞTI,"Str. Mircea cel Bătrân, Cartier Dorobanţi",sec. XVI - XVIII
40,PH-I-s-B-16135,Aşezare,municipiul PLOIEŞTI,"Str. Mureşanu Andrei, Cartier Cina",sec. III - I a. Chr.
41,PH-I-s-B-16136,Aşezare,municipiul PLOIEŞTI,"Str. Petuniei, ""Şcoala generală nr. 30”","Epoca bronzului, Cultura Tei"
42,PH-I-s-B-16137,Necropolă,municipiul PLOIEŞTI,Str. Pielari,Epoca bronzului timpuriu
43,PH-I-s-B-16138,Aşezare,municipiul PLOIEŞTI,Str. Vuia Traian,sec. VI - VII p. Chr.
44,PH-I-s-B-16139,Limes,municipiul PLOIEŞTI,"Str. Râpelor, Cartier Malu Roşu",sec. IV p. Chr.
45,PH-I-m-B-16141,"Situl arheologic de la Ploieşti, punct ""Str. Rozmarin""",municipiul PLOIEŞTI,Str. Rozmarin,
46,PH-I-m-B-16141.01,Aşezare,municipiul PLOIEŞTI,Str. Rozmarin,sec. XI - XII
47,PH-I-m-B-16141.02,Aşezare,municipiul PLOIEŞTI,Str. Rozmarin,sec. IV p. Chr.
48,PH-I-m-B-16141.03,Aşezare,municipiul PLOIEŞTI,Str. Rozmarin,Hallstatt
49,PH-I-m-B-16141.04,Aşezare,municipiul PLOIEŞTI,Str. Rozmarin,Epoca bronzului
50,PH-I-m-B-16141.05,Aşezare,municipiul PLOIEŞTI,Str. Rozmarin,Eneolitic
51,PH-I-s-B-16142,Aşezare,municipiul PLOIEŞTI,"Str. Troienelor, colţ cu Str. Măgurii","Eneolitic, Cultura Gumelniţa"
52,PH-I-s-B-16143,Aşezare,municipiul PLOIEŞTI,Str. Zorelelor,sec. II p. Chr.
53,PH-I-s-B-16144,Situl arheologic de la Adunaţi,sat ADUNAŢI; comuna ADUNAŢI,"""Vatra”",Neolitic
54,PH-I-s-B-16145,Situl arheologic de la Albeşti Muru,sat ALBEŞTI MURU; comuna ALBEŞTI PALEOLOGU,"""DN 1B” şi ""Podul CFR”",
55,PH-I-m-B-16145.01,Necropolă,sat ALBEŞTI MURU; comuna ALBEŞTI PALEOLOGU,"""DN 1B” şi ""Podul CFR”",Epoca medievală
56,PH-I-m-B-16145.02,Aşezare,sat ALBEŞTI MURU; comuna ALBEŞTI PALEOLOGU,"""DN 1B” şi ""Podul CFR”",sec. VI - V a. Chr.
57,PH-I-m-B-16145.03,Aşezare,sat ALBEŞTI MURU; comuna ALBEŞTI PALEOLOGU,"""DN 1B” şi ""Podul CFR”",Epoca bronzului
58,PH-I-s-B-16146,Aşezare,sat ALBEŞTI PALEOLOGU; comuna ALBEŞTI PALEOLOGU,La 5 km nord de satul Cioceni,Epoca bronzului
59,PH-I-s-B-16147,Situl arheologic de la Apostolache,sat APOSTOLACHE; comuna APOSTOLACHE,"283, ""La Mănăstire”",
