Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,SB-I-s-A-11925,Situl arheologic de la Sibiu,"municipiul SIBIU ""Fântâna","Rece"", Cartier Guşteriţa",
2,SB-I-m-A-11925.01,Necropolă de incineraţie,"municipiul SIBIU ""Fântâna km Dealul","Rece"", Cartier Guşteriţa, la 5 E de extremitatea intravilanului, pe Cocoşului",sec. VIII - X
3,SB-I-m-A-11925.02,Ateliere meşteşugăreşti,"municipiul SIBIU ""Fântâna km Dealul","Rece"" Cartier Guşteriţa, la 5 E de extremitatea intravilanului, pe Cocoşului",sec. II - III p.Chr.
4,SB-I-m-A-11925.03,Aşezare,"municipiul SIBIU ""Fântâna km Dealul","Rece"" Cartier Guşteriţa, la 5 E de extremitatea intravilanului, pe Cocoşului","sec. II a. Chr., Cultura geto - dacică"
5,SB-I-s-A-11926,Aşezare,municipiul SIBIU Pe,teritoriul cartierului Guşteriţa,sec. II - III p. Chr.
6,SB-I-s-A-11927,Situl arheologic de la Agnita,oraş AGNITA Pârâul,Cetăţii,sec. II - III p. Chr.
7,SB-I-m-A-11927.01,Aşezare,oraş AGNITA Pârâul,Cetăţii,sec. II - III p. Chr.
8,SB-I-m-A-11927.02,Necropolă,oraş AGNITA Pârâul,Cetăţii,sec. II - III p. Chr.
9,SB-I-s-A-11928,Aşezare,sat ALȚÂNA; La comuna ALȚÂNA,NV de extremitatea intravilanului,sec. XII - XIII
10,SB-I-s-B-11930,"Situl arheologic de la Apoldu de Jos, punct ""Între Apoalde""","sat APOLDU DE ""Între JOS; comuna Rodeni” APOLDU DE JOS distanţei de","Apoalde”, (pt. obiectivul 1), „La (pt. obiectivul 4), la jumătatea dintre Apoldu de Jos şi Apoldu Sus",sec. II - III p. Chr.
11,SB-I-m-B-11930.01,Drum,"sat APOLDU DE ""Între JOS; comuna Rodeni” APOLDU DE JOS distanţei de","Apoalde” (pt. obiectivul 1), „La (pt. obiectivul 4), la jumătatea dintre Apoldu de Jos şi Apoldu Sus",sec. II - III p. Chr.
12,SB-I-m-B-11930.02,Necropolă,"sat APOLDU DE ""Între JOS; comuna Rodeni” APOLDU DE JOS distanţei de","Apoalde” (pt. obiectivul 1), „La (pt. obiectivul 4), la jumătatea dintre Apoldu de Jos şi Apoldu Sus",sec. II - III p. Chr.
13,SB-I-m-B-11930.03,Villa rustica,"sat APOLDU DE ""Între JOS; comuna Rodeni” APOLDU DE JOS distanţei de","Apoalde” (pt. obiectivul 1), „La (pt. obiectivul 4), la jumătatea dintre Apoldu de Jos şi Apoldu Sus",sec. II - III p. Chr.
14,SB-I-s-A-11931,"Situl arheologic de la Apoldu de Jos, punct ""Rostat""","sat APOLDU DE ""Rostat”, JOS; comuna intravilan APOLDU DE JOS Jos","pe panta estică, la 300 m S de şi la 700 m V de DC Apoldu de - Apoldu de Sus",sec. II - III p. Chr.
15,SB-I-s-A-11932,Villa rustica,"sat APOLDU DE ""Curtea SUS; oraş extremitatea MIERCUREA Jos SIBIULUI Jos","Velii”, la 2 km S de intravilanului Apoldu de şi la 800 - 900 m V de CF Apoldu de - Apoldu de Sus",sec. II - III p. Chr.
16,SB-I-s-A-11933,Situl arheologic de la Apoldu de Sus,sat APOLDU DE La SUS; oraş Apoldu MIERCUREA Apoalde” SIBIULUI,"200 m de aşezarea romană de la de Jos, din punctul ""Între",
17,SB-I-m-A-11933.01,Aşezare,sat APOLDU DE La SUS; oraş Apoldu MIERCUREA Apoalde”,"200 m de aşezarea romană de la de Jos, din punctul ""Între","Latène, Cultura geto - dacică"
18,SB-I-m-A-11933.02,Aşezare,sat APOLDU DE La SUS; oraş Apoldu MIERCUREA Apoalde” SIBIULUI,"200 m de aşezarea romană de la de Jos, din punctul ""Între","Epoca bronzului, Cultura Wietenberg"
19,SB-I-s-A-11934,"Situl arheologic de la Apoldu de Sus, punct ""Apold""","sat APOLDU DE ""Apold"" SUS; oraş MIERCUREA SIBIULUI",,sec. II - III p. Chr.
20,SB-I-m-A-11934.01,Urme de locuire,"sat APOLDU DE ""Apold"", SUS; oraş versantului MIERCUREA SIBIULUI","la V de Apold, pe pantele Frunţilor",sec. IX - XIII
21, SB-I-m-A-11934.02, Urme de locuire," sat APOLDU DE ""Apold"", SUS; oraş versantului MIERCUREA SIBIULUI"," la V de Apold, pe pantele Frunţilor", sec. IV - V
22,SB-I-m-A-11934.03,Fermă agricolă,"sat APOLDU DE ""Curtea SUS; oraş versantului MIERCUREA SIBIULUI","Velii"", la V de Apold, pe pantele Frunţilor",sec. II - III p. Chr.
23,SB-I-s-A-11935,Aşezare rurală,sat APOLDU DE La SUS; oraş Sus MIERCUREA SIBIULUI,"E de drum, 2 km NE de Apoldu de",sec. II - III p. Chr.
24,SB-I-s-A-11936,Situl arheologic de la Apoldu de Sus,sat APOLDU DE La SUS; oraş vestic MIERCUREA SIBIULUI,"1 km V de sat, sub coama versantului al platoului ""Livejoare”",sec. II - III p. Chr.
25,SB-I-s-A-11937,Situl arheologic de la Arpaşul de Sus,"sat ARPAŞUL DE ""Calea SUS; comuna ""Cetăţeaua” ARPAŞUL DE JOS","Fânului”, (pt. obiectivele 1, 2), (pt. obiectivul 3)",
26,SB-I-m-A-11937.01,Aşezare fortificată,"sat ARPAŞUL DE ""Cetăţeaua"", SUS; comuna ARPAŞUL DE JOS",pe platoul Tinosu,"sec. I a.Chr.- I p.Chr., Cultura geto - dacică"
27,SB-I-m-A-11937.02,Aşezare,"sat ARPAŞUL DE ""Calea SUS; comuna ""Cetăţeaua” ARPAŞUL DE JOS platoul","Fânului” (pt. obiectivele 1, 2), (pt. obiectivul 3), pe Tinosu",Hallstatt
28,SB-I-m-A-11937.03,Aşezare dacică fortificată,"sat ARPAŞUL DE ""Calea SUS; comuna ""Cetăţeaua” ARPAŞUL DE JOS platoul","Fânului” (pt. obiectivele 1, 2), (pt. obiectivul 3), pe Tinosu",
29,SB-I-s-A-11938,Situl arheologic de la Aţel,"sat AŢEL; comuna ""Motz"", AŢEL",intravilan,sec. II - III p. Chr.
30,SB-I-s-A-11939,Fortificaţie de pământ,sat AŢEL; comuna La AŢEL,SV de extremitatea intravilanului,
31, SB-I-s-A-11940, Situl arheologic de la Biertan, sat BIERTAN; Intravilan comuna BIERTAN,, sec. II - III p. Chr.
