Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,SV-I-s-A-05389,Cetatea Scheia -Suceava,municipiul SUCEAVA,"""Dealul Şeptilici”, la marginea de NV a oraşului",sf. sec. XIV
2,SV-I-s-A-05390,Platoul din faţa Cetăţii Scaun,de municipiul SUCEAVA,"""Câmpul Şanţurilor”, la marginea de E a oraşului şi pantele de N ale dealului",sec. XIV - XVII
3,SV-I-s-A-05391,"Situl arheologic ""Vechiul centru medieval Suceava""",municipiul SUCEAVA,"Zona cuprinsă de str. P. Rareş (N), A. Ipătescu (E), N. Bălcescu (S), Ştefan cel Mare (V)",
4,SV-I-m-A-05391.01,Ansamblul Curţii Domneşti,municipiul SUCEAVA,"Zona cuprinsă de str. P. Rareş (N), A. Ipătescu (E), N. Bălcescu (S), Ştefan cel Mare (V)",sec. XIV - XIX
5,SV-I-m-A-05391.02,Vechiul centru medieval oraşului Suceava,al municipiul SUCEAVA,"Zona cuprinsă de str. P. Rareş (N), A. Ipătescu (E), N. Bălcescu (S), Ştefan cel Mare (V)",sec. XIV - XIX
6,SV-I-s-A-05392,"Situl arheologic ""Oraşul medieval Suceava""",municipiul SUCEAVA,"Zona cuprinsă între str. Cetăţii, Luca Arbore, Ştefăniţă Vodă",
7,SV-I-m-A-05392.01,Vatra oraşului medieval Suceava,municipiul SUCEAVA,"Zona cuprinsă între str. Cetăţii, Luca Arbore, Ştefăniţă Vodă",sec. XIII - XVII
8,SV-I-m-A-05392.02,Fortificaţia premuşatină,municipiul SUCEAVA,"Zona cuprinsă între str. Cetăţii, Luca Arbore, Ştefăniţă Vodă",sec. XIII - XIV şi XVII
9,SV-I-s-A-05393,Ansamblul curţii boiereşti Arboreştilor,a sat ARBORE; comuna ARBORE,"""La Movileanca”, la cca. 75 m SE biserică",de Epoca medievală
10,SV-I-s-A-05394,Curte boierească,sat ARBORE; comuna ARBORE,"""La Saghieni” la confluenţa pâraelor Clit şi Saca",sec. XV
11,SV-I-s-B-05395,Situl arheologic de la Baia,sat BAIA; comuna BAIA,"""Cetăţuia” la 2 km SV de sat",
12,SV-I-m-B-05395.01,Aşezare,sat BAIA; comuna BAIA,"""Cetăţuia” la 2 km SV de sat",Epoca bronzului
13,SV-I-m-B-05395.02,Aşezare,sat BAIA; comuna BAIA,"""Cetăţuia” la 2 km SV de sat",Neolitic
14,SV-I-s-A-05396,"Ruinele bisericii ""Sf. Procopie-Milişăuţi”",sat BĂDEUŢI; comuna BĂDEUŢI,"La limita satelor Bădeuţi şi Mişlăuţi, pct. ""Vatra satului'', lângă biserica de lemn actuală",1487
15,SV-I-s-A-05397,Ruinele curţii logofătului Ioan Tăutu,sat BĂLINEŞTI; comuna GRĂMEŞTI,"La 80 m E de biserica ""Sf. Nicolae""",sec. XV - XVI
16,SV-I-s-B-05398,"Necropola tumulară de Boroaia, punct ""La Tolan""",la sat BOROAIA; comuna BOROAIA,"""La Tolan” la 500 m S de sat",sec. III - IV
17,SV-I-s-B-05399,"Situl arheologic de la Bosanci, punct ""La pod, Rediu""",sat BOSANCI; comuna la BOSANCI,"""La pod, la Rediu” pe şos. Suceava- Paşcani, la 5 km de sat",
18,SV-I-m-B-05399.01,Necropolă,sat BOSANCI; comuna BOSANCI,"""La pod, la Rediu” pe şos. Suceava- Paşcani, la 5 km de sat",sec. IV - III a. Chr.
19, SV-I-m-B-05399.02, Aşezare, sat BOSANCI; comuna BOSANCI," ""La pod, la Rediu” pe şos. Suceava- Paşcani, la 5 km de sat", Neolitic
20,SV-I-s-B-05400,"Situl arheologic de la Botoşana, punct ""Sălişte""",sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” la cca. 300 m SV de satul Comăneşti",
21,SV-I-m-B-05400.01,"Aşezarea de la ""Sălişte""",sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” la cca. 300 m SV de satul Comăneşti",sec. XV - XVI
22,SV-I-m-B-05400.02,"Aşezarea de la ""Sălişte""",sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” la cca. 300 m SV de satul Comăneşti",sec. IV
23,SV-I-m-B-05400.03,"Aşezarea de la ""Sălişte""",sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” la cca. 300 m SV de satul Comăneşti","Epoca bronzului târziu, Cultura Noua"
24,SV-I-s-B-05401,"Staţiunea arheologică Botoşana, punct ""Sălişte""",de la sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” 500 m N de grajdurile fostului CAP",
25,SV-I-m-B-05401.01,Aşezarea de la Botoşana,sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” 500 m N de grajdurile",CAP sec. XIV - XV
26,SV-I-m-B-05401.02,"Aşezarea de la ""Sălişte""",sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” 500 m N de grajdurile fostului CAP",sec. VI
27,SV-I-m-B-05401.03,"Aşezarea de la ""Sălişte""",sat BOTOŞANA; comuna BOTOŞANA,"""Sălişte” 500 m N de grajdurile fostului CAP",sec. IV - II a. Chr.
28,SV-I-s-B-05402,"Necropola tumulară de Broşteni, punct ""Valea Morii""",la sat BROŞTENI; comuna DRĂGUŞENI,"""Valea Morii”, pe drumul Broşteni Tătăraşi","- Epoca bronzului, Cultura Iamnaia"
29,SV-I-s-B-05403,Situl arheologic de la Budeni,sat BUDENI; oraş DOLHASCA,"""La Canton” la cca. 200-250 m de cantonul silvic",
30,SV-I-m-B-05403.01,Aşezare,sat BUDENI; oraş DOLHASCA,"""La Canton” la cca. 200-250 m de cantonul silvic",sec. VI - VII
31,SV-I-m-B-05403.02,Aşezare,sat BUDENI; oraş DOLHASCA,"""La Canton” la cca. 200-250 m de cantonul silvic",sec. I
32,SV-I-m-B-05403.03,Aşezare,sat BUDENI; oraş DOLHASCA,"""La Canton” la cca. 200-250 m de cantonul silvic",sec. III - II a. Chr.
33,SV-I-m-B-05403.04,Aşezare,sat BUDENI; oraş DOLHASCA,"""La Canton” la cca. 200-250 m de cantonul silvic",sec. IV a. Chr.
34,SV-I-m-B-05403.05,Aşezare,sat BUDENI; oraş DOLHASCA,"""La Canton” la cca. 200-250 m de cantonul silvic",Neolitic
35,SV-I-s-B-05404,Necropola tumulară de Burla,la sat BURLA; comuna BURLA,"""Dealul Burlei” la marginea de NE satului",a sec. XI - X a. Chr.
36,SV-I-s-B-05405,Exploatare neolitică a,sării sat CACICA; comuna CACICA,"""Salina Cacica”, în curtea întreprinderii, pe latura de N şi zona înconjurătoare","Eneolitic, Cultura Cucuteni"
37,SV-I-s-B-05406,Fortificaţie cu val de pământ,sat CĂLINEŞTI; comuna DĂRMĂNEŞTI,"""Dealul Zamca”, la cca. 500 m E sat",de sec. XIII - XV
38,SV-I-s-B-05407,Necropola tumulară de Codru,la sat CODRU; comuna CAŞVANA,"""La Boroghia”, la 2 km N de sat",sec. VI - V a. Chr.
39,SV-I-m-B-05408,Inscripţii runice,sat COTÂRGAŞI; oraş BROŞTENI,"""Dealul Goia”, la 4 km de sat",sec. XI - XII
40,SV-I-s-B-05409,Necropola de Dolheştii,Mari sat DOLHEŞTII MARI; comuna DOLHEŞTI,"""La Todoreasa”, la marginea de satului",V a sec. IV
41,SV-I-s-A-05410,Ruinele curţii boiereşti Şendrea,a lui sat DOLHEŞTII MARI; comuna DOLHEŞTII MARI,"""Lângă şcoală”, la cca. 100 m de biserică",sec. XV
42,SV-I-s-A-05411,Ansamblul curţii boiereşti lui Ion Drăgoi (ruine),a sat DRĂGOIEŞTI; comuna DRĂGOIEŞTI,"""În luncă”, la 200m N de grajdurile fostului C.A.P., pe pârâul Ciuciulea",sec.XV
43,SV-I-m-A-05411.01,Ruinele curţii boiereşti Ion Drăgoi,a lui sat DRĂGOIEŞTI; comuna DRĂGOIEŞTI,"""În luncă”, la 200 m N de grajdurile C.A.P., pe pârâul Ciuciulea",ante 1512
44, SV-I-m-A-05411.02, Ruine biserică, sat DRĂGOIEŞTI; comuna DRĂGOIEŞTI," ""În luncă”, la 200 m N de grajdurile C.A.P., pe pârâul Ciuciulea", ante 1512
45,SV-I-s-B-05412,Aşezare,sat DRĂGUŞENI; comuna DRĂGUŞENI,"""La Cetăţuie”, dealul Bocăneţ, la cca. 2 km E de sat","Neolitic, Cultura Cucuteni, faza B"
46,SV-I-s-B-05413,"Ruinele curţii boiereşti Fântâna Mare, punct ""La Temelie""",de la sat FÂNTÂNA MARE; comuna VADU MOLDOVEI,"""La Temelie”, la DN 20, la km 405, la intersecţia cu drumul spre Piatra Neamţ",sec. XV - XVI
47,SV-I-m-B-05413.01,Case,sat FÂNTÂNA MARE; comuna VADU MOLDOVEI,"""La Temelie”, la DN 20, la km 405, la intersecţia drumului spre Piatra Neamţ",sec. XV - XVI
48,SV-I-m-B-05413.02,Ruine biserică,sat FÂNTÂNA MARE; comuna VADU MOLDOVEI,"""La Temelie”, la DN 20, la km 405, la intersecţia drumului spre Piatra Neamţ",sec. XV - XVI
49,SV-I-s-A-05414,Ruinele bisericii de la Giuleşti,sat GIULEŞTI; comuna BOROAIA,"La limita judeţului, între râul Moldova şi loc. Râşca",sec. XIV
50,SV-I-s-B-05415,Fortificaţia de la Gura Humorului,oraş GURA HUMORULUI,"""Pădurea Bogdăneasa”, la E de oraş, cca. 300 m în dreptul şoselei naţionale",sec. XVIII
51,SV-I-s-B-05416,Necropola tumulară de Horodnic de Jos,la sat HORODNIC DE JOS; comuna HORODNIC,"""Dealul Colnic”, la cca. 600 m de Primărie",Epoca bronzului
52, SV-I-s-B-05417, Ruinele mănăstirii Horodnic, sat HORODNIC DE JOS; comuna HORODNIC," ""La Călugăriţa”, la cca. 150 m de biserica de lemn", sec. XIV - XV
53,SV-I-s-B-05418,Fortificaţie de pământ,sat HORODNIC DE SUS; comuna HORODNIC,La cca. 2 km SE spre Suceviţa,sec. XV
54,SV-I-s-B-05419,Fortificaţie cu val de pământ,sat IACOBEŞTI; comuna GRĂMEŞTI,"""Dealul Ocup”, la cca. 3 km de Iacobeşti",sec. XV
55,SV-I-s-B-05420,Situl arheologic de la Liteni,oraş LITENI,"""La Humărie”, în vatra satului",sec. I a. Chr. - II p. Chr.
56,SV-I-s-B-05421,Situl arheologic de la Măneuţi,sat MĂNEUŢI; comuna FRĂTĂUŢII VECHI,"""La Mâlitură”, pe terasa inferioară a râului Suceava",sec. XV
57,SV-I-s-B-05422,Fortificaţia de la Mereşti,sat MEREŞTI; comuna VULTUREŞTI,"""Dealul Cetate”, la S de sat",sec. IV a. Chr.
58,SV-I-s-B-05423,Situl arheologic de la Mihoveni,sat MIHOVENI; comuna SCHEIA,"""Cahla Morii” la 2 km de sat",
59,SV-I-m-B-05423.01,Aşezare,sat MIHOVENI; comuna SCHEIA,"""Cahla Morii” la 2 km de sat",sec. XIII - XV
60,SV-I-m-B-05423.02,Aşezare,sat MIHOVENI; comuna SCHEIA,"""Cahla Morii” la 2 km de sat",sec. III - II a. Chr.
61,SV-I-m-B-05423.03,Aşezare,sat MIHOVENI; comuna SCHEIA,"""Cahla Morii” la 2 km de sat","Eneolitic, Cultura Cucuteni"
62,SV-I-m-B-05423.04,Aşezare,sat MIHOVENI; comuna SCHEIA,"""Cahla Morii” la 2 km de sat",sec. III - II a. Chr.
63,SV-I-s-B-05424,Ansamblul curţii boiereşti de la Milişăuţi (ruine),oraş MILIŞĂUŢI,"""În cimitir”, la 100 m SV de ruinele bisericii lui Ştefan cel Mare (la limita cu satul Bădeuţi)",sec. XIV - XV
64,SV-I-s-B-05425,Situl arheologic de la Mitocu Dragomirnei,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la a
65,SV-I-m-B-05425.01,Aşezare,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la sec. V - VI a
66,SV-I-m-B-05425.02,Aşezare,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la sec. IV a
67,SV-I-m-B-05425.03,Aşezare,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la sec. III - II a. Chr. a
68,SV-I-m-B-05425.04,Aşezare,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la Hallstatt a
69,SV-I-m-B-05425.05,Aşezare,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la Epoca bronzului a
70,SV-I-m-B-05425.06,Aşezare,sat MITOCU DRAGOMIRNEI; comuna MITOCU DRAGOMIRNEI,"""La Stratulat” pe pârâul Hraniţa, cca. 500 m E de staţia de epurare apei Lipoveni",la Neolitic a
71,SV-I-s-B-05426,Necropola de la Moara,sat MOARA; comuna MOARA,Pe terenul de sport al Şcolii Generale,sec. IV a. Chr.
72,SV-I-s-A-05427,Ruinele curţii logofătului Gavril Trotuşan de la Părhăuţi,sat PĂRHĂUŢI; comuna TODIREŞTI,"""Pe beci”, la cca. 150 m de şcoală","sec. XV-XVI, Latène târziu"
73,SV-I-s-B-05428,Necropola tumulară de Părhăuţi,la sat PĂRHĂUŢI; comuna TODIREŞTI,"""Poiana”, Dealul lui Ivan, la cca km de sat","1,9 sec. II - III p. Chr."
74,SV-I-s-B-05429,Necropola de incineraţie la Podeni,de sat PODENI; comuna BUNEŞTI,"În varta satului, în curtea cetăţeanului Modest Croitorul",sec. III
75,SV-I-s-B-05430,"Situl arheologic de la Preuţeşti, punct ""Cetăţuia""",sat PREUTEŞTI; comuna PREUTEŞTI,"""Cetăţuia”, pe pârâul Brana la 5 de centrul satului",km
76,SV-I-m-B-05430.01,Fortificaţie,sat PREUTEŞTI; comuna PREUTEŞTI,"""Cetăţuia”, pe pârâul Brana la 5 de centrul satului",km sec. XII - X a. Chr.
77,SV-I-m-B-05430.02,Aşezare,sat PREUTEŞTI; comuna PREUTEŞTI,"""Cetăţuia”, Pe pârâul Brana la 5 de centrul satului","km Neolitic, Cultura Cucuteni, faza A, B şi AB"
78,SV-I-s-B-05431,"Aşezarea de la Preuţeşti, punct ""La haltă""",sat PREUTEŞTI; comuna PREUTEŞTI,"""La Haltă”, în vatra satului la halta CFR","Neolitic, Cultura Cucuteni, faze A, B"
