Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,SJ-I-s-B-04841,"Situl arheologic de la Zalău, punct ""Tăneiul lui Winkler”",municipiul ZALĂU,"""Tăneiul lui Winkler”, pe valea Mitii, la S de Laminorul de ţevi",
2,SJ-I-m-B-04841.01,Aşezare,municipiul ZALĂU,"""Tăneiul lui Winkler”, pe valea Mitii, la S de Laminorul de ţevi",Neolitic
3,SJ-I-m-B-04841.02,Aşezare,municipiul ZALĂU,"""Tăneiul lui Winkler”, pe valea Mitii, la S de Laminorul de ţevi",Epoca bronzului
4,SJ-I-m-B-04841.03,Aşezare,municipiul ZALĂU,"""Tăneiul lui Winkler”, pe valea Mitii, la S de Laminorul de ţevi",Hallstatt
5,SJ-I-m-B-04841.04,Aşezare,municipiul ZALĂU,"""Tăneiul lui Winkler”, pe valea Mitii, la S de Laminorul de ţevi","sec. I a.Chr. - I p. Chr., Latène"
6,SJ-I-m-B-04841.05,Aşezare,municipiul ZALĂU,"""Tăneiul lui Winkler”, pe valea Mitii, la S de Laminorul de ţevi","sec. II - III p. Chr., Epoca romană"
7,SJ-I-s-B-04842,"Situl arheologic de la Zalău, punct ""Palvar”",municipiul ZALĂU,"Str. 22 Decembrie 1989, ""Palvar”",sec.X - XIII
8,SJ-I-m-B-04842.01,Aşezare deschisă,municipiul ZALĂU,"Str. 22 Decembrie 1989, ""Palvar”",sec.X - XIII
9,SJ-I-m-B-04842.02,Fortificaţie de pământ,municipiul ZALĂU,"Str. 22 Decembrie 1989, ""Palvar”",sec.X - XIII
10,SJ-I-m-B-04842.03,Necropolă,municipiul ZALĂU,"Str. 22 Decembrie 1989, ""Palvar”",sec.X - XIII
11,SJ-I-s-B-04843,Sistem de supraveghere şi apărare a limesului Daciei sectorul Zalău,municipiul ZALĂU în,,sec. II - III p. Chr.
12,SJ-I-m-B-04843.01,Baraj de tip clausura,municipiul ZALĂU,"""Vârful Păstaie-Pârâul Pietrii”",sec. II - III p. Chr.
