Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,TR-I-s-B-14184,"Aşezarea de tip tell de la Albeni, punct ""Gropării""",sat ALBENI; comuna SCURTU MARE,"""Gropării”, la NE de sat, la N de DC Albeni-Cătunu, pe Valea Gropării","Eneolitic, Cultura Gumelniţa"
3,TR-I-s-B-14185,"Cetatea de la Albeşti, punct ""Măgura lui Panait”",sat ALBEŞTI; comuna VEDEA,"""Măgura lui Panait”, la NV de sat, pe Dealul Cornetului, aproape de confluenţa pârâului Burdea cu râul Vedea","sec. IV - III a. Chr., Latène, Cultura geto- dacică"
4,TR-I-s-B-14186,"Aşezarea de tip tell de la Balaci, punct ""Măgura de la Hodorog”",sat BALACI; comuna BALACI,"""Măgura de la Hodorog”, la SE de sat, malul drept al pârâului Burdea","pe Eneolitic, Cultura Gumelniţa"
5,TR-I-s-B-14187,"Aşezarea de tip tell de la Balaci, punct ""Măgura de la Baltă”",sat BALACI; comuna BALACI,"""Măgura de la Baltă”, în partea de satului, traversată de şoseaua Roşiorii Vede - Piteşti","N a Eneolitic, Cultura de Gumelniţa"
6,TR-I-s-B-14188,"Situl arheologic de la Băneasa, punct ""La Cetate""",sat BĂNEASA; comuna SALCIA,"""La Cetate”, la SE de sat, la V de şoseaua Turnu Măgurele - Roşiorii de Vede","sec. II-III p. Chr., Epoca romană"
7,TR-I-m-B-14188.01,Castrul mare,sat BĂNEASA; comuna SALCIA,"""La Cetate”, la SE de sat, la V de şoseaua Turnu Măgurele - Roşiorii de Vede","sec. II-III p. Chr., Epoca romană"
8,TR-I-m-B-14188.02,Castrul mic,sat BĂNEASA; comuna SALCIA,"""La Cetate”, la SE de sat, la V de şoseaua Turnu Măgurele - Roşiorii de Vede","sec. II-III p. Chr., Epoca romană"
9,TR-I-m-B-14220,"Aşezarea de tip tell de la Frumoasa, punct ""Cetăţuia"" Brebina, punct ""Măgura din",sat BRAGADIRU; comuna BRAGADIRU SCRIOAŞTEA,"""Cetăţuia"", la S de fostul sat Răreanca, terasa râului Vedea satului, lângă biserică","pe Eneolitic, Cultura Gumelniţa Gumelniţa"
11,TR-I-s-B-14190,"Aşezarea de tip tell de la Burdeni, punct ""La Măgura”",sat BURDENI; comuna BALACI,"""La Măgura”, la marginea E a satului, malul drept al pârâului Burdea","pe Eneolitic, Cultura Gumelniţa"
12,TR-I-s-B-14191,"Aşezarea de la Călineşti, punct ""Grădina lui Avram""",sat CĂLINEŞTI; comuna CĂLINEŞTI,"""Grădina lui Avram”, la marginea de satului, pe terasa E a pârâului Câinelui","N a sec. II-I a. Chr., Latène, Cultura geto-dacică"
