Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,TM-I-s-B-06049,Situl arheologic de la Timişoara,municipiul TIMIŞOARA,"""Cioreni” (Gara Ronaţ)",
2,TM-I-m-B-06049.01,Aşezare medieval timpurie,municipiul TIMIŞOARA,"""Cioreni” (Gara Ronaţ)",Epoca medievală timpurie
3,TM-I-m-B-06049.02,Aşezare daco-romană,municipiul TIMIŞOARA,"""Cioreni” (Gara Ronaţ)","sec. III - IV p. Chr., Epoca daco -romană"
4,TM-I-s-A-06050,Fortificaţiile cetăţii Timişoara,municipiul TIMIŞOARA,"Str. Cuza Alexandru Ioan 1, Parcul Botanic",sec. XVIII
5,TM-I-s-B-06051,Cetate de pământ,sat ALIOŞ; comuna MAŞLOC,"""Cetatea Turcească”, la 1 km SE de",sat sec. XIV - XV
6,TM-I-s-B-06052,"Situl arheologic ""Dealul Crucii""",sat BECICHERECU MIC; comuna BECICHERECU MIC,"""Satul vechi"", la 2 km NV de sat",sec. XIV - XV
7,TM-I-s-B-06053,"Cetatea ""Dosul""",sat BENCECU DE JOS; comuna PIŞCHIA,"""Dosul”, la 1,2 km NV de sat",sec. XII - XIV
8,TM-I-s-B-06054,Tell-ul de la Bucovăţ,sat BUCOVĂŢ; comuna BUCOVĂŢ,"""Gruniul cu cremene"", la 150-200 m de sat","N mil. IV a. Chr., Neolitic"
9,TM-I-s-A-06055,Cetatea Morisena,sat CENAD; comuna CENAD,Centrul satului,sec. X - XVII
10,TM-I-s-B-06056,Câmp de tumuli,sat CHECEA; comuna CHECEA,În hotarul satului,"mil. II a. Chr., Epoca bronzului"
11,TM-I-s-B-06057,Tell-ul de la Chişoda,sat CHIŞODA; comuna GIROC,"""Livezile”, la 1 km NE de sat","mil. IV a. Chr., Neolitic"
12,TM-I-s-B-06058,Val roman,sat CHIŞODA; comuna GIROC,"Extravilan, între CET şi Şag","mil. I p. Chr., Epoca romană"
13,TM-I-s-A-06059,Cetatea medievală de Făget,la oraş FĂGET,"""Cetate”, la 500 m NE de sat",sec. XV - XVII
14,TM-I-s-B-06060,Cetate,sat GIARMATA; comuna GIARMATA,"""Cetățuica"", la 4 km de sat",sec. XIV - XV
15,TM-I-s-B-06061,Cetate de pământ,sat GIROC; comuna GIROC,În pădure,"mil. II a. Chr., Epoca bronzului"
16,TM-I-s-A-06062,Aşezarea fortificată de Herneacova,la sat aparţinător HERNEACOVA; oraş RECAŞ,"""Cetate”, la N de sat","mil. I a. Chr., Hallstatt, Latène"
17,TM-I-s-B-06063,Situl arheologic de la Hodoni,sat HODONI; comuna SATCHINEZ,"""La Picioroane”, la 500 m SE de sat",
18,TM-I-m-B-06063.01,Necropolă,sat HODONI; comuna SATCHINEZ,"""La Picioroane”, la 500 m SE de sat","sec. XI - XII, Epoca medievală timpurie"
19,TM-I-m-B-06063.02,Aşezare,sat HODONI; comuna SATCHINEZ,"""La Picioroane”, la 500 m SE de sat","mil. III a. Chr., Neolitic"
20,TM-I-s-B-06064,Aşezare,sat HODONI; comuna SATCHINEZ,"Spre SE, în hotarul satului","sec. III - IV, Epoca daco - romană"
21,TM-I-s-B-06065,Cetate turcească,sat IANOVA; comuna REMETEA MARE,"""Cetatea Turcească”, la 2 km S de sat",sec. XIV - XVI
22,TM-I-s-B-06066,Aşezare,sat aparţinător IZVIN; oraş RECAŞ,"""După vii”, la 4 km N de sat","mil. VI a. Chr., Paleolitic"
23,TM-I-s-A-06067,Cetatea Jdioarei,sat JDIOARA; comuna CRICIOVA,La 1 km NE de sat,sec. XIII - XVI
24,TM-I-s-B-06068,Cetate medievală,sat MARGINA; comuna MARGINA,"În NE, lângă pădurea Turcoanea",sec. XIV - XVI
25,TM-I-s-B-06069,Cetate de pământ,sat MAŞLOC; comuna MAŞLOC,"""Şanţul turcilor”, la 300 m E de sat",sec. XIV
26,TM-I-s-B-06070,Aşezarea şi biserica medievală de la Mănăştur,sat MĂNĂŞTUR; comuna MĂNĂŞTUR,La 100 m E de sat,
27,TM-I-m-B-06070.01,Ruine biserică,sat MĂNĂŞTUR; comuna MĂNĂŞTUR,La 100 m E de sat,sec. XIV
28,TM-I-m-B-06070.02,Aşezare,sat MĂNĂŞTUR; comuna MĂNĂŞTUR,La 100 m E de sat,sec. XIV - XVII
29,TM-I-s-B-06071,Aşezare,sat MORAVIŢA; comuna MORAVIŢA,"""Islaz”, ""La Cărămidari”, la 2 km N sat","de mil. III a. Chr., Neolitic"
30,TM-I-s-B-06072,Tumuli,sat MOŞNIŢA VECHE; comuna MOŞNIŢA NOUĂ,"""Satul bătrân”, sub pădurea Bistra, 3 km N de sat","la mil. II a. Chr., Epoca bronzului"
31,TM-I-s-B-06073,Câmp de tumuli,sat NERĂU; comuna TEREMIA MARE,,"mil. II a. Chr., Epoca bronzului"
32,TM-I-s-B-06074,Tumuli,sat OFSENIŢA; comuna BANLOC,"""Gomila”, la 2 km NE de sat","mil. II a. Chr., Epoca bronzului"
33,TM-I-s-B-06075,Fortificaţie medievală,sat aparţinător OPATIŢA; oraş DETA,La 500 m NE de sat,sec. XII - XVI
34,TM-I-s-B-06076,Aşezare,sat PĂDURENI; comuna PĂDURENI,"""Selişte”, la SE de sat","mil. III a. Chr., Neolitic"
35,TM-I-s-B-06077,Necropolă,sat PERIAM; comuna PERIAM,La E de sat,"mil. I a. Chr., Hallstatt, Latène"
36,TM-I-s-B-06078,"Situl arheologic de la Remetea Mare, punct ""Gomila lui Gabor”",sat REMETEA MARE; comuna REMETEA MARE,"""Gomila lui Gabor”, la 1 km SE de sat",
37,TM-I-m-B-06078.01,Aşezare,sat REMETEA MARE; comuna REMETEA MARE,"""Gomila lui Gabor”, la 1 km SE de sat",Epoca medievală timpurie
38,TM-I-m-B-06078.02,Aşezare,sat REMETEA MARE; comuna REMETEA MARE,"""Gomila lui Gabor”, la 1 km SE de sat","mil. I a. Chr., Hallstatt, Latène"
39,TM-I-s-B-06079,Mănăstire (ruine),sat REMETEA MARE; comuna REMETEA MARE,"""Cetate”, la 500 m SV de sat",sec. XII - XVI
40,TM-I-s-B-06080,Aşezare,sat ROMANEŞTI; comuna TOMEŞTI,"Pe terasă, la 600 m NV de sat","mil. VI a. Chr., Paleolitic"
41,TM-I-s-B-06081,"Situl arheologic de la ""Peştera cu Apă""",sat ROMANEŞTI; comuna TOMEŞTI,"""Peştera cu apă”, la 6 km N de sat",
42,TM-I-m-B-06081.01,Aşezare,sat ROMANEŞTI; comuna TOMEŞTI,"""Vârful lui Filip”,, la 6 km N de sat","Perioada de tranziţie la epoca bronzului, Cultura Coţofeni"
43,TM-I-m-B-06081.02,Aşezare în peşteră,sat ROMANEŞTI; comuna TOMEŞTI,"""Peştera cu apă”, la 6 km N de sat","Neolitic, Cultura Tisa"
44,TM-I-s-B-06082,Cetate de pământ,sat SATCHINEZ; comuna SATCHINEZ,"""Grădişte”, la marginea rezervaţiei ornitologice, la 800 m E de sat",sec. XIII - XVI
45,TM-I-s-B-06083,Aşezare,oraş SÂNNICOLAU MARE,"""Viile”, la 500 m E de localitate","mil. II a. Chr., Epoca bronzului"
46,TM-I-s-B-06084,Aşezare romană,oraş SÂNNICOLAU MARE,"""La Fabrica de cărămizi”, la 1,5 km de localitate","SE sec. II - III p. Chr., Epoca romană"
47,TM-I-s-B-06085,Aşezare medievală,oraş SÂNNICOLAU MARE,"""Selişte”, la 1 km E de localitate","sec. XII - XIII, Epoca medievală timpurie"
48,TM-I-s-B-06086,Cetate de pământ,sat SECEANI; comuna ORŢIŞOARA,În intravilan,sec. XII - XIV
49,TM-I-s-B-06087,Aşezare,sat aparţinător STANCIOVA; oraş RECAŞ,"""Grădişte”, la 3 km N de sat","mil. VI a. Chr., Paleolitic"
50,TM-I-s-B-06088,Aşezare,sat UNIP; comuna SACOŞU TURCESC,"""Oceala”, la 1,5 km SE de sat","mil. VI a. Chr., Paleolitic"
51,TM-I-s-B-06089,Aşezare,sat UNIP; comuna SACOŞU TURCESC,"""Dealul Cetăţuica”, la 3 km NV de sat","mil. VI a. Chr., Paleolitic"
52,TM-I-s-B-06090,Tumuli,sat VIZEJDIA; comuna GOTTLOB,Pe terenul fostului CAP,"mil. II a. Chr., Epoca bronzului"
53,TM-I-s-B-06091,Aşezare medievală,sat VOITEG; comuna VOITEG,"""Selişte”, la 6 km V de sat",sec. XII - XIV
54,TM-I-s-B-06092,Situl arheologic de la Voiteg,sat VOITEG; comuna VOITEG,La 3 km V de sat,
55,TM-I-m-B-06092.01,Necropolă,sat VOITEG; comuna VOITEG,La 3 km V de sat,"sec. X, Epoca medievală timpurie"
56,TM-I-m-B-06092.02,Aşezare,sat VOITEG; comuna VOITEG,La 3 km V de sat,"mil. II a. Chr., Epoca bronzului"
57,TM-I-m-B-06092.03,Necropolă,sat VOITEG; comuna VOITEG,La 3 km V de sat,"mil. II a. Chr., Epoca bronzului"
58,TM-II-m-A-06093,"Biserica de lemn ""Sf. Arhangheli”",municipiul TIMIŞOARA,"""Pădurea Verde"", în NE oraşului, în Muzeul Satului Bănăţean",1750 - 1800
59,TM-II-m-A-06094,Centrală hidroelectrică,municipiul TIMIŞOARA,Pe canalul Bega,1907 - 1910
60,TM-II-s-A-06095,"Situl urban Cartierul ""Cetatea Timişoara""",municipiul TIMIŞOARA,Piaţa Victoriei-Piaţa Huniade Iancu Str. Telbisz Carol - Str. Proclamaţia la Timişoara - Str. Hector - Piaţa Brătianu Ionel I.C. - Str. Oituz - Str. Dima Gh. - Str. Sf. Ioan,- sec. XVIII - XX de
61,TM-II-s-B-06096,"Situl urban ""Fabric"" (I)",municipiul TIMIŞOARA,"Str. Timocului - Str. Dacilor (ambele fronturi) - Str. Ştefan cel Mare (ambele fronturi) - Str. Şcolii - Str. Comăneşti - Piaţa Suluţiu Sterca Al., mitropolit - Piaţa Vlaicu Aurel - Str. Petrescu - Titel Constantin - Str.",sec. XVIII - XIX
62,TM-II-a-A-06097,"Ansamblul urban ""Fabric"" (II)",municipiul TIMIŞOARA,"Pod Neptun - Splaiul Nistrului - Str. Linţia Dionisie, professor - Str. 3 August 1919 (nr. 33) - Str. Mirceşti (până la intersecţia cu Str. Abrud) - Piaţa Romanilor - Str. Nischbach Joseph, episcop",sec. XX
63,TM-II-s-B-06098,"Situl urban ""Vechiul cartier Iosefin""",municipiul TIMIŞOARA,"Splaiul Vladimirescu Tudor - Str. Dragalina Ion, general - Str. 16 Decembrie 1989 - Str. Odobescu - Romulus - Str. Doja Gheorghe - Str. Braşov",sec. XIX - XX Str.
64,TM-II-a-B-06099,Ansamblul urban I,municipiul TIMIŞOARA,Str. Memorandului (între nr. 1-114) Piaţa Adamachi Vasile,- sec. XVIII - XX
65,TM-II-a-B-06100,Ansamblul urban II,municipiul TIMIŞOARA,"Piaţa Huniade Iancu - Str. 20 Decembrie 1989 - Bd. Loga C.D. - Str. Cristea Miron, patriarh",sec. XIX - XX
66,TM-II-a-B-06101,Cămine muncitoreşti interbelice,municipiul TIMIŞOARA,Bd. Ionescu Take - Str. Baader - Str. Înfrăţirii,sec. XX
67,TM-II-a-B-06102,Ansamblul urban III,municipiul TIMIŞOARA,"Str. Virtuţii (nr. 4) - Str. Kogălniceanu Mihail (nr. 19, 21)",sec. XIX - XX
68,TM-II-a-A-06103,Cetatea Timişoara,municipiul TIMIŞOARA,Calea Cuza Al. Ioan - Str. Brediceanu Coriolan - Str. Luther Martin - Str. Hector,1723 - 1730
69,TM-II-m-A-06103.03,Fragment fortificaţie,municipiul TIMIŞOARA,Str. Luther Martin - Str. Hector,1723 - 1730
70,TM-II-a-B-06104,Ansamblul urban IV,municipiul TIMIŞOARA,Intersecţia Bd. Regele Carol I cu Str. Văcărescu I.,sec. XIX - XX
71,TM-II-a-B-06105,Ansamblul urban V,municipiul TIMIŞOARA,Intersecţia Bd. Regele Carol I cu Str. Maniu Iuliu,sec. XIX - XX
72,TM-II-a-B-06106,Ansamblul urban VI,municipiul TIMIŞOARA,"Str. 1 Decembrie (între nr. 2-10), Str. Feldioara (între nr. 2-6)",sec. XX
73,TM-II-a-B-06107,Ansamblul urban VII,municipiul TIMIŞOARA,"Str. Dr. Gabor Liviu (nr. 1, 4), Str. Paris (nr. 1)",sec. XX
74,TM-II-a-B-06114,Ansamblul urban IX,municipiul TIMIŞOARA,"Bd. Revoluţiei din 1989 şi Piaţa Murgu Eftimie (între nr. 1-7, 15-17), cu Poşta, Banca Naţională, Institutul de Medicină, două cămine studenţeşti",sec. XIX - XX
75,TM-II-s-B-06116,Muzeul Satului Bănăţean,municipiul TIMIŞOARA,"""Pădurea Verde"", în NE oraşului",sec. XIX - XX
76,TM-II-a-A-06159,Ansamblul Liceului Piarist,municipiul TIMIŞOARA,Piaţa Regina Maria - Bd. Regele Ferdinand I - Str. Piatra Craiului,1908
77,TM-II-m-B-06117,Cazarma pompierilor din Iosefin,municipiul TIMIŞOARA,Bd. 16 Decembrie 1989 50,sec. XX
78,TM-II-m-A-06118,Teatrul Naţional,municipiul TIMIŞOARA,Str. Alba Iulia 2,"1874, ref. parţial 1923 - 1928"
79, TM-II-m-B-06119, Casă, municipiul TIMIŞOARA, Str. Alecsandri Vasile 3, sec. XVIII
