Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,TL-I-s-A-05718,"Situl arheologic ""Aegyssus""","municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor",
2,TL-I-m-A-05718.01,Aşezare medievală,"municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor",Epoca medievală
3,TL-I-m-A-05718.02,Cetatea Aegyssus,"municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor",Epoca romană târzie
4,TL-I-m-A-05718.03,Aşezare civilă Aegyssus,"municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor",Epoca romană
5,TL-I-m-A-05718.04,Necropola cetăţii Aegyssus,"municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor",Epoca romană
6,TL-I-m-A-05718.05,Cetatea romană,"municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor",Epoca romană
7,TL-I-m-A-05718.06,Cetate,"municipiul TULCEA În Parcul din Prislav, Independenţei,","partea de NE a oraşului, str. Gloriei, Monumentului; perimetrul format str. Nufărului, Orizontului, Brumărel, Walter, 9 Mai, Grigore Antipa, Mistreţului, Grădinarilor","Latène, Cultura geto - dacică"
8, TL-I-s-B-05719," Situl arheologic de la Tulcea, punct ""La via judecătorului""", municipiul TULCEA La judecătorului”," 4 km E de mun. Tulcea, punctul ""La via",
9,TL-I-m-B-05719.01,Fortificaţie romană,municipiul TULCEA La judecătorului”,"4 km E de mun. Tulcea, punctul ""La via",Epoca romană
10,TL-I-m-B-05719.02,Aşezare civilă,municipiul TULCEA La judecătorului”,"4 km E de mun. Tulcea, punctul ""La via",Epoca romană
11,TL-I-s-B-05720,"Situl arheologic de la Tulcea, punct ""Dealul Taberei”","municipiul TULCEA ""Dealul",Taberei”,
12,TL-I-m-B-05720.01,Aşezare,"municipiul TULCEA ""Dealul",Taberei”,Epoca medievală
13,TL-I-m-B-05720.02,Aşezare,"municipiul TULCEA ""Dealul",Taberei”,Epoca romană
14,TL-I-s-A-05721,Sit arheologic subacvatic,Platforma românesc,continentală a litoralului al Mării negre,
15,TL-I-m-A-05721.01,Vestigii arheologice subacvatice,Platforma românesc,continentală a litoralului al Mării negre,Epoca modernă
16,TL-I-m-A-05721.02,Vestigii arheologice subacvatice,Platforma românesc,continentală a litoralului al Mării negre,Epoca medievală
17,TL-I-m-A-05721.03,Vestigii arheologice subacvatice,Platforma românesc,continentală a litoralului al Mării negre,Epoca romano - bizantină
18,TL-I-m-A-05721.04,Vestigii arheologice subacvatice,Platforma românesc,continentală a litoralului al Mării negre,Epoca romană
19,TL-I-m-A-05721.05,Vestigii arheologice subacvatice,Platforma românesc,continentală a litoralului al Mării negre,Epoca elenistică
20,TL-I-m-A-05721.06,Vestigii arheologice subacvatice,Platforma românesc,continentală a litoralului al Mării negre,Epoca greacă
21,TL-I-s-B-05723,Situl arheologic de la Agighiol,"sat AGIGHIOL; Intravilan, comuna VALEA NUCARILOR",sector E,
22,TL-I-m-B-05723.01,Aşezare rurală,"sat AGIGHIOL; Intravilan, comuna VALEA NUCARILOR",sector E,"sec. X - XII, Epoca medievală timpurie"
23,TL-I-m-B-05723.02,Aşezare getică,"sat AGIGHIOL; Intravilan, comuna VALEA NUCARILOR",sector E,"Epoca romană, Cultura geto - dacică"
