Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
1,VS-I-s-B-06656,"Cetatea de pământ de la Vaslui, punct ""Dealul Paiului""",municipiul VASLUI,"Dealul Paiului, pct. “Cetăţuia”, la 2.5 km SV de mun.Vaslui; tarla 109, parcela cadastrală 1643","sec. XV, Epoca medievală"
2,VS-I-s-A-06657,Zona curţilor domneşti din Vaslui,municipiul VASLUI,"Str. Ghica Vodă, la S de biserica ""Sf. Ioan""","sec. XV - XVI, Epoca medievală"
3,VS-I-s-B-06658,Situl arheologic de la Armăşeni,sat ARMĂŞENI; comuna BUNEŞTI-AVEREŞTI,"Pe malul stâng al pârâului Crasna, la cca 2 km S de sat şi la 200 m N de moara Negruţi; tarla 71, parcela cadastrală 1427",
4,VS-I-m-B-06658.01,Aşezare,sat ARMĂŞENI; comuna BUNEŞTI-AVEREŞTI,"Pe malul stâng al pârâului Crasna, la cca 2 km S de sat şi la 200 m N de moara Negruţi; tarla 71, parcela cadastrală 1427","sec. X - XI, Epoca medieval timpurie"
5,VS-I-m-B-06658.02,Aşezare,sat ARMĂŞENI; comuna BUNEŞTI-AVEREŞTI,"Pe malul stâng al pârâului Crasna, la cca 2 km S de sat şi la 200 m N de moara Negruți; tarla 71, parcela cadastrală 1427","sec. VIII - IX, Epoca medieval timpurie"
6,VS-I-m-B-06658.03,Aşezare,sat ARMĂŞENI; comuna BUNEŞTI-AVEREŞTI,"Pe malul stâng al pârâului Crasna, la cca 2 km S de sat şi la 200 m N de moara Negruţi; tarla 71, parcela cadastrală 1427","sec. VI - VII, Epoca migraţiilor"
7,VS-I-m-B-06658.04,Aşezare,sat ARMĂŞENI; comuna BUNEŞTI-AVEREŞTI,"Pe malul stâng al pârâului Crasna, la cca 2 km S de sat şi la 200 m N de moara Negruţi; tarla 71, parcela cadastrală 1427",sec. III - IV p.Chr.
8,VS-I-m-B-06658.05,Aşezare,sat ARMĂŞENI; comuna BUNEŞTI-AVEREŞTI,"Pe malul stâng al pârâului Crasna, la cca 2 km S de sat şi la 200 m N de moara Negruţi; tarla 71, parcela cadastrală 1427","Epoca bronzului târziu, cultura Noua"
9,VS-I-s-A-06659,"Cetăţuia de la Arsura, punct ""Mogoşeşti""",sat ARSURA; comuna ARSURA,"""Cetăţuia Mogoşeşti”, 1 km N de sat ; tarla 10","sec. IV - III a. Chr., Latène, cultura geto - dacică"
10,VS-I-s-B-06660,"Situl arheologic de la Arsura, punct ""Cetăţuia Mogoşeşti""",sat ARSURA; comuna ARSURA,"La marginea de NE a satului şi la E de pct.""Cetăţuia Mogoşeşti""; tarla 9",
11,VS-I-m-B-06660.01,Aşezare,sat ARSURA; comuna ARSURA,"La marginea de NE a satului şi la E de pct.""Cetăţuia Mogoşeşti""; tarla 9","sec. X - XI, Epoca medieval timpurie"
12,VS-I-m-B-06660.02,Necropolă,sat ARSURA; comuna ARSURA,"La marginea de NE a satului şi la E de pct.""Cetăţuia Mogoşeşti"" ; tarla 9","sec. X - XI, Epoca medieval timpurie"
13,VS-I-m-B-06660.03,Aşezare,sat ARSURA; comuna ARSURA,"La marginea de NE a satului şi la E de pct.""Cetăţuia Mogoşeşti""; tarla 9","sec. VIII - IX, Epoca medieval timpurie"
14,VS-I-m-B-06660.04,Aşezare,sat ARSURA; comuna ARSURA,"La marginea de NE a satului şi la E de pct.""Cetăţuia Mogoşeşti ; tarla 9","sec. VI - VII, Epoca migraţiilor"
15,VS-I-m-B-06660.05,Aşezare,sat ARSURA; comuna ARSURA,"La marginea de NE a satului şi la E de pct.""Cetăţuia Mogoşeşti"" ; tarla 9","sec. IV p.Chr., Epoca romană târzie"
16,VS-I-s-B-06661,"Situl arheologic de la Bârlăleşti, punct ""Stanţia""",sat BÂRLĂLEŞTI; comuna EPURENI,"""Stanţia” (""La Arie”), tarla 43, parcela cadastrală 999",
17,VS-I-m-B-06661.01,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Stanţia” (""La Arie”), tarla 43, parcela cadastrală 999","sec. X - XI, Epoca medieval timpurie"
18,VS-I-m-B-06661.02,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Stanţia” (""La Arie”), tarla 43, parcela cadastrală 999","sec. VII - IX, Epoca migraţiilor"
19,VS-I-m-B-06661.03,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Stanţia” (""La Arie”), tarla 43, parcela cadastrală 999","sec. V - VI, Epoca migraţiilor"
20,VS-I-m-B-06661.04,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Stanţia” (""La Arie”), tarla 43, parcela cadastrală 999","sec. IV p.Chr., Epoca romană târzie"
21,VS-I-m-B-06661.05,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Stanţia” (""La Arie”), tarla 43, parcela cadastrală 999","Eneolitic târziu, cultura Stoicani-Aldeni"
22,VS-I-s-B-06662,"Situl arheologic de la Bârlăleşti, punct ""Sturza""",sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrala 1137", ;
23,VS-I-m-B-06662.01,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137","sec. XII - XIII, Epoca ; medievală"
24,VS-I-m-B-06662.02,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137","sec. X - XI, Epoca medievală ; timpurie"
25,VS-I-m-B-06662.03,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137","sec. VI - VII, Epoca ; medievală timpurie"
26, VS-I-m-B-06662.04, Aşezare, sat BÂRLĂLEŞTI; comuna EPURENI," ""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137", Latène ;
27,VS-I-m-B-06662.05,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137",Hallstatt ;
28,VS-I-m-B-06662.06,Aşezare,sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137","Epoca bronzului, cultura ; Noua"
29,VS-I-m-B-06662.07,Aşezare fortificată,sat BÂRLĂLEŞTI; comuna EPURENI,"""Sturza”, pe platoul şi panta de NV a dealului Ciomaga, la cca. 1 km S de sat tarlaua 38, parcela cadastrală 1137","Eneolitic, Cultura Cucuteni ; AII, AIII, B"
30,VS-I-s-A-06663,Cetate,sat BUNEŞTI; comuna BUNEŞTI-AVEREŞTI,"""Dealul Bobului (Bob)”, la 1 km E de sat, tarla 15, parcela cadastrală 452","sec. IV - III a. Chr., Latène, cultura geto - dacică"
31,VS-I-s-B-06664,Cetate,sat CORNI - ALBEŞTI; comuna ALBEŞTI,"La cca. 6 km E de sat şi la 300 m S-SV locul fostului schit Vladnic (în pădure); tarla 13, parcela cadastrală 249","de sec. IV - III a. Chr., Latène"
32,VS-I-s-B-06665,Cetate,sat CREŢEŞTI; comuna CREŢEŞTI,"""Dealul Cetăţii”, 2 km NE de sat şi 500 S de drumul forestier (pădure); tarla 55, parcela cadastrală 1150","m sec. IV - III a. Chr., Latène, cultura geto - dacică"
33,VS-I-s-B-06666,Aşezare,sat DĂNEŞTI; comuna DĂNEŞTI,"""La Islaz” la 500 m S de sat (păşune); tarla 42, parcela cadastrală 621","sec. IX - XV, Epoca medievală"
34,VS-I-s-B-06667,"Situl arheologic de la Dodeşti, punct ""La Şipot""",sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55", –
35,VS-I-m-B-06667.01,Necropolă,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55","sec. XVII - XVIII, Epoca medievală –"
36,VS-I-m-B-06667.02,Aşezare,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55","sec. VIII - XI, Epoca medieval timpurie –"
37,VS-I-m-B-06667.03,Aşezare,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55","sec. V - VII, Epoca migraţiilor –"
38,VS-I-m-B-06667.04,Aşezare,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55","sec. IV p.Chr., Epoca romană târzie –"
39,VS-I-m-B-06667.05,Aşezare,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55","sec. II - III p.Chr., Epoca romană –"
40,VS-I-m-B-06667.06,Aşezare,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55",Hallstatt –
41,VS-I-m-B-06667.07,Aşezare,sat DODEŞTI; comuna DODEŞTI,"""La Şipot” şi ""Călugăreasca”, între vatra satului Dodeşti şi vatra cartierului Tămăşeni (în mijlocul actualei localităţi teren sport); tarla 55","Epoca bronzului, cultura Noua –"
