Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,VN-I-s-B-06340,"Aşezarea de la Adjud, punct „Moviliţa”",oraş ADJUD,"""Moviliţa”, zona de N-V a oraşului, în dreapta drumului spre Urecheşti","Epoca bronzului, Cultura Monteoru, faza Ic 3"
3,VN-I-s-B-06341,"Aşezarea de la Adjud, punct „Lutărie”",oraş ADJUD,"""Lutărie”, fostul sat Adjudu Vechi, actual cartier al oraşului, la E","Epoca bronzului, Cultura Monteoru, faza Ic 3"
4,VN-I-s-B-06342,"Aşezarea medievală de la Adjud, punct „Lutărie”",oraş ADJUD,"""Lutărie”, fostul sat Adjudu Vechi, actual cartier al oraşului, la S","sec. XVII, Epoca medievală"
5,VN-I-s-B-06343,"Situl arheologic de la Adjud, punct „Islaz”",oraş ADJUD,"""Islaz”, fostul sat Adjudu Vechi, actual cartier al oraşului, la 1,5 km S de fosta vatră a satului",
6,VN-I-s-B-06344,Situl arheologic de la Adjud,oraş ADJUD,Str. Cuza Alexandru Ioan,Epoca bronzului
7,VN-I-m-B-06344.01,Aşezare,oraş ADJUD,Str. Cuza Alexandru Ioan,Epoca medievală
8,VN-I-m-B-06344.02,Aşezare,oraş ADJUD,Str. Cuza Alexandru Ioan,"Epoca bronzului, Cultura Monteoru, faza II b"
9,VN-I-m-B-06344.03,Aşezare,oraş ADJUD,Str. Cuza Alexandru Ioan,"Epoca bronzului, Cultura Monteoru, faza II a"
10,VN-I-s-B-06345,Aşezare Andreiaşu,oraş ADJUD JOS; comuna,"Str. Islaz, pe direcţia şoselei spre Copăceşti","Epoca bronzului, Cultura Monteoru"
12,VN-I-m-B-06346.01,Aşezare,sat ANDREIAŞU DE JOS; comuna ANDREIAŞU,La 500 m SV de sat,"Epoca bronzului, Cultura Monteoru"
13,VN-I-m-B-06346.02,Aşezare,sat ANDREIAŞU DE JOS; comuna ANDREIAŞU,La 500 m SV de sat,"Eneolitic, Cultura Cucuteni"
14,VN-I-s-A-06347,Situl arheologic de la Angheleşti,sat ANGHELEŞTI; comuna RUGINEŞTI,"”Cetăţuia”, la N de sat",
15,VN-I-m-A-06347.01,Aşezare,sat ANGHELEŞTI; comuna RUGINEŞTI,"”Cetăţuia”, la N de sat",Epoca bronzului
16,VN-I-m-A-06347.02,Aşezare fortificată,sat ANGHELEŞTI; comuna RUGINEŞTI,"”Cetăţuia”, la N de sat",Eneolitic
17,VN-I-s-B-06348,Situl arheologic de la Băleşti,sat BĂLEŞTI; comuna BĂLEŞTI,"La SE de sat, punct ""Movila”",
18,VN-I-m-B-06348.01,Aşezare,sat BĂLEŞTI; comuna BĂLEŞTI,"La SE de sat, punct ""Movila”","Hallstatt, Cultura Basarabi"
19,VN-I-m-B-06348.02,Aşezare,sat BĂLEŞTI; comuna BĂLEŞTI,"La SE de sat, punct ""Movila”",Epoca bronzului
20,VN-I-s-B-06349,"Aşezarea de la Bătineşti, punct ""Igeşti""",sat BĂTINEŞTI; comuna ŢIFEŞTI,"""Igeşti”, la intrare în satul Igeşti","sec. XIV - XVIII, Epoca medievală"
21,VN-I-s-B-06350,Cimitir,sat BĂTINEŞTI; comuna ŢIFEŞTI,"""Magazin sătesc”","sec. XIV - XVIII, Epoca medievală"
22,VN-I-s-A-06351,Necropolă tumulară de incineraţie,sat BÂRSEŞTI; comuna BÂRSEŞTI,"""Lacul Dumbrăvii”, la 2 km S-E de sat","sec. VI - V a. Chr., Hallstatt târziu, Cultura Ferigile -"
23,VN-I-s-B-06352,"Aşezarea de la Bârseşti, punct „Gogoi”",sat BÂRSEŞTI; comuna BÂRSEŞTI,"""Gogoi”, la 1 km de sat","Neolitic timpuriu, Cultura Starcevo - Criş"
24,VN-I-s-B-06353,"Aşezarea de la Bârseşti, punct „Podul Vâlcelei”",sat BÂRSEŞTI; comuna BÂRSEŞTI,"""Podul Vâlcelei”, la 200 m V de sat","sec. II - III p. Chr., Cultura carpică"
25,VN-I-s-B-06354,"Aşezarea de la Bârseşti, punct „Varniţa”",sat BÂRSEŞTI; comuna BÂRSEŞTI,"""Varniţa”, la 600-700 m spre sud","sec. II - III p. Chr., Latène, Cultura carpică"
26,VN-I-s-B-06355,Situl arheologic de la Beciu,sat BECIU; comuna VÂRTEŞCOIU,"Zona de NE a satului, în dreapta râului Milcov",
27,VN-I-m-B-06355.01,Aşezare,sat BECIU; comuna VÂRTEŞCOIU,"Zona de NE a satului, în dreapta râului Milcov","Epoca bronzului, Cultura Monteoru, fazele Ic 4, Ic 3, II"
28,VN-I-m-B-06355.02,Aşezare,sat BECIU; comuna VÂRTEŞCOIU,"Zona de NE a satului, în dreapta râului Milcov","Eneolitic, Cultura Cucuteni"
