Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
2,VL-I-m-B-09506.01,Aşezare,municipiul RÂMNICU VÂLCEA,,Hallstatt
3,VL-I-m-B-09506.02,Aşezare,municipiul RÂMNICU VÂLCEA,,Latène
4,VL-I-s-B-09507,"Situl arheologic de la Râmnicu Vâlcea, punct ""Dealul Cetăţuia”",municipiul RÂMNICU VÂLCEA,"""Dealul Cetăţuia”",
5,VL-I-m-B-09507.01,Așezare,municipiul RÂMNICU VÂLCEA,"""Dealul Cetăţuia”",Epoca romană
6,VL-I-m-B-09507.02,Așezare,municipiul RÂMNICU VÂLCEA,"""Dealul Cetăţuia”",Latène
7,VL-I-m-B-09507.03,Așezare,municipiul RÂMNICU VÂLCEA,"""Dealul Cetăţuia”",Epoca bronzului
8,VL-I-s-A-09508,Situl arheologic de la Râmnicu Vâlcea,municipiul RÂMNICU VÂLCEA,Cartier Copăcelu (Valea Răii),
9,VL-I-m-A-09508.01,Situl arheologic de la Râmnicu Vâlcea,municipiul RÂMNICU VÂLCEA,Cartier Copăcelu (Valea Răii),Epoca bronzului
10,VL-I-m-A-09508.02,"Situl arheologic de la Râmnicu Vâlcea Vâlcea, punct ""Cartier",municipiul RÂMNICU VÂLCEA VÂLCEA,Cartier Copăcelu (Valea Răii),Neolitic
12,VL-I-m-B-09509.01,Așezare,municipiul RÂMNICU VÂLCEA,Cartier Căzăneşti,Epoca romană
13,VL-I-m-B-09509.02,Așezare,municipiul RÂMNICU VÂLCEA,Cartier Căzăneşti,Latène
14,VL-I-m-B-09509.03,Așezare,municipiul RÂMNICU VÂLCEA,Cartier Căzăneşti,Epoca bronzului
15,VL-I-s-B-09510,Aşezare,sat AMĂRĂŞTI; comuna AMĂRĂŞTI,,Epoca bronzului
16,VL-I-s-B-09511,Aşezare,sat ARSANCA; comuna MIHĂIEŞTI,,sec. IV - VI p. Chr.
17,VL-I-s-B-09512,Aşezarea Latène de la Băbeni,oraş BĂBENI,"""Dealul Rumânilor”",Latène
18,VL-I-s-B-09513,Situl arheologic de la Bălceşti,sat BĂLCEŞTI; oraş BĂLCEŞTI,,
19,VL-I-m-B-09513.01,Aşezare,sat BĂLCEŞTI; oraş BĂLCEŞTI,la N de moară,Epoca romană
20,VL-I-m-B-09513.02,Aşezare,sat BĂLCEŞTI; oraş BĂLCEŞTI,la N de moară,Epoca bronzului
21,VL-I-s-B-09514,Situl arheologic de la Bârseşti,sat BÂRSEŞTI; comuna MIHĂEŞTI,,
22,VL-I-m-B-09514.01,Aşezare,sat BÂRSEŞTI; comuna MIHĂEŞTI,"în lunca pârâului Govora, pe malul drept al apei",Epoca romană
23,VL-I-m-B-09514.02,Aşezare,sat BÂRSEŞTI; comuna MIHĂEŞTI comuna BERISLĂVEŞTI,"în lunca pârâului Govora, pe malul drept al apei",Neolitic
25,VL-I-s-B-09516,Aşezare,sat BERISLĂVEŞTI; comuna BERISLĂVEŞTI,,sec. XVIII
26,VL-I-s-B-09517,Necropolă,sat BISTRIŢA; comuna COSTEŞTI,,Epoca medievală
27,VL-I-s-B-09518,Aşezarea romană de la Bujoreni,sat BUJORENI; comuna BUJORENI,"""Malul Alb”",Epoca romană
28,VL-I-s-B-09519,Situl arheologic de la Buleta,sat BULETA; comuna MIHĂIEŞTI,,
29,VL-I-m-B-09519.01,Așezare,sat BULETA; comuna MIHĂIEŞTI,,Epoca romană
30,VL-I-m-B-09519.02,Așezare,sat BULETA; comuna MIHĂIEŞTI,"la E de sat, spre localitatea Arsanca",Hallstatt
31,VL-I-m-B-09519.03,Așezare,sat BULETA; comuna MIHĂIEŞTI,"la E de sat, spre localitatea Arsanca",Epoca bronzului
32,VL-I-s-B-09520,Situl arheologic de la Buneşti,sat BUNEŞTI; comuna BUNEŞTI,,
33,VL-I-m-B-09520.01,Așezare,sat BUNEŞTI; comuna BUNEŞTI,"în vatra satului, la NE de DN 67",Epoca romană
34,VL-I-m-B-09520.02,Așezare,sat BUNEŞTI; comuna BUNEŞTI,"în vatra satului, la NE de DN 67","Latène, Cultura geto - dacică"
35,VL-I-m-B-09520.03,Aşezare,sat BUNEŞTI; comuna BUNEŞTI,"în vatra satului, la NE de DN 67",Hallstatt
36,VL-I-s-B-09521,Aşezare Mari,oraş CĂLIMĂNEŞTI comuna CÂINENI,Între Pârâul Poştei şi tabăra de copii,Latène
38,VL-I-m-B-09522.01,"Ruinele cetăţii austriece ""Arxavia”",sat CÂINENII MARI; comuna CÂINENI,la V de podul peste Olt şi pe malul podului,"1717 - 1719, Epoca medievală"
39,VL-I-m-B-09522.02,Așezare,sat CÂINENII MARI; comuna CÂINENI,la V de podul peste Olt şi pe malul podului,Epoca romană
40,VL-I-s-B-09523,Punct fosilifer,sat CIUNGETU; comuna MALAIA,"""Peştera Laptelui”",Paleolitic inferior
41,VL-I-s-B-09524,Situl arheologic de la Cocoru,sat COCORU; comuna GALICEA,,
42,VL-I-m-B-09524.01,Așezare,sat COCORU; comuna GALICEA,între DJ 678 A şi Valea Topologului,"Latène, Cultura geto - dacică"
43,VL-I-m-B-09524.02,Așezare,sat COCORU; comuna GALICEA,între DJ 678 A şi Valea Topologului,Hallstatt
44,VL-I-s-A-09525,Situl arheologic de la Copăceni,sat COPĂCENI; comuna RACOVIŢA,"""La moară”",
45,VL-I-m-A-09525.01,"Castrul roman ""Praetorium",I” sat COPĂCENI; comuna RACOVIŢA,"""La moară”",sec. II - III p. Chr.
46,VL-I-m-A-09525.02,Așezare civilă,sat COPĂCENI; comuna RACOVIŢA,"""La moară”",sec. II - III p. Chr.
47,VL-I-m-A-09525.03,Terme,sat COPĂCENI; comuna RACOVIŢA,"""La moară”",sec. II - III p. Chr.
48,VL-I-s-B-09526,Necropolă tumulară de incineraţie,sat COSTEŞTI; comuna COSTEŞTI,,"Hallstatt târziu, Cultura Ferigile - Bârseşti"
49,VL-I-m-B-09527,Așezare civilă,localitatea COŞOTA; oraş OCNELE MARI comuna GALICEA,"""Valea Bradului”","sec. II a. Chr. - I p. Chr., Latène, Cultura geto - dacică"
51,VL-I-m-B-09528.01,Așezare,sat CREMENARI; comuna GALICEA,Între vatra satului şi firul Văii Turciturilor,"Latène, Cultura geto - dacică"
52,VL-I-m-B-09528.02,Așezare,sat CREMENARI; comuna GALICEA,Între vatra satului şi firul Văii Turciturilor,Neolitic
